2018 Advanced Course Completion Report (District)  - Economically Disadvantaged,,,,,,,,,,
District Name,District Code,#_11_12_student_lowincome,# _advanced_students_lowincome,%_complete_advanced_lowincome,%_ELA_lowincome,%_math_lowincome,%_science_tech_lowincome,%_history_socialscience_lowincome,%_arts_lowincome,%_other_subjects_lowincome
Weymouth,03360000,         240,         236,  98.3,  76.7,  84.2,  65.0,  54.6,  24.2,  47.0
Whitman-Hanson,07800000,         136,          52,  38.2,  17.6,  25.7,  11.0,  13.2,   0.0,   0.0
Whittier Regional Vocational Technical,08850000,         201,         127,  63.2,  41.3,  62.7,  39.8,  39.8,  13.4,  40.0
Wilmington,03420000,          47,          27,  57.4,   8.5,  55.3,  12.8,  17.0,   0.0,   9.0
Winchendon,03430000,          75,          27,  36.0,  22.7,  25.3,   8.0,  14.7,   0.0,   0.0
Winchester,03440000,          47,          47, 100.0,  76.6,  95.7,  78.7,  74.5,  29.8,  98.0
Winthrop,03460000,          79,          54,  68.4,  17.7,  65.8,  20.3,  15.2,   0.0,   0.0
Woburn,03470000,         156,          77,  49.4,   1.3,  37.8,  19.2,   6.4,   0.6,   1.0
Worcester,03480000,"       2,012","       1,040",  51.7,  11.1,  36.3,  16.6,  11.4,   2.0,   9.0
State Totals,00000000,"      42,037","      20,527",  48.8,  15.3,  40.1,  16.6,  13.1,   2.4,   9.0
