2018 Advanced Course Completion Report (District)  - Students with disabilities,,,,,,,,,,
District Name,District Code,#_11_12_student_disabled,# _advanced_students_disabled,%_complete_advanced_disabled,%_ELA_disabled,%_math_disabled,%_science_tech_disabled,%_history_socialscience_disabled,%_arts_disabled,%_other_subjects_disabled
Watertown,03140000,          73,          23,  31.5,   0.0,  27.4,   4.1,   1.4,   0.0,   7.0
Wayland,03150000,          83,          63,  75.9,   0.0,  73.5,   2.4,   6.0,   3.6,   5.0
Webster,03160000,          31,           9,  29.0,   3.2,  25.8,   3.2,   3.2,   0.0,   0.0
Wellesley,03170000,         123,          55,  44.7,   0.0,  37.4,  29.3,   0.8,   0.0,   6.0
West Boylston,03220000,           9,           1,  11.1,   0.0,  11.1,   0.0,   0.0,   0.0,   0.0
West Bridgewater,03230000,          14,          14, 100.0,  78.6,  92.9,  85.7,  92.9,  50.0,  93.0
West Springfield,03320000,         110,           6,   5.5,   1.8,   1.8,   0.0,   5.5,   0.0,   2.0
Westborough,03210000,          46,          13,  28.3,   0.0,  28.3,   0.0,   2.2,   0.0,   2.0
Westfield,03250000,         155,          24,  15.5,   4.5,   6.5,   0.0,   7.1,   0.0,   2.0
Westford,03260000,          75,          14,  18.7,   1.3,  16.0,   1.3,   2.7,   1.3,   3.0
Weston,03300000,          65,          44,  67.7,   0.0,  67.7,   1.5,  23.1,   0.0,   2.0
Westport,03310000,          20,           4,  20.0,   5.0,  15.0,   0.0,   0.0,   5.0,   0.0
Westwood,03350000,          88,          29,  33.0,   2.3,  29.5,   1.1,   5.7,   0.0,   1.0
Weymouth,03360000,         125,         121,  96.8,  88.8,  82.4,  64.0,  58.4,  19.2,  31.0
Whitman-Hanson,07800000,          75,          12,  16.0,   4.0,  10.7,   1.3,   5.3,   0.0,   0.0
Whittier Regional Vocational Technical,08850000,         143,          92,  64.3,  35.7,  64.3,  35.7,  35.7,  10.5,  36.0
Wilmington,03420000,          48,          12,  25.0,   0.0,  22.9,   4.2,   0.0,   0.0,   0.0
Winchendon,03430000,          38,           5,  13.2,   7.9,   2.6,   0.0,   7.9,   0.0,   0.0
Winchester,03440000,         112,         112, 100.0,  85.7,  90.2,  82.1,  70.5,  27.7,  99.0
Winthrop,03460000,          48,          28,  58.3,   6.3,  50.0,  18.8,  10.4,   0.0,   0.0
Woburn,03470000,          98,          13,  13.3,   0.0,  10.2,   4.1,   0.0,   0.0,   0.0
Worcester,03480000,         797,         283,  35.5,   1.4,  24.2,   8.3,   5.1,   1.3,  12.0
State Totals,00000000,"      21,402","       7,082",  33.1,   9.2,  27.7,  10.5,   8.7,   2.3,   8.0
