2017-18 Advanced Placement Performance - All Subjects - Economically Disadvantaged,,,,,,,,,
District Name,District Code,tests_taken_lowincome,score=1_lowincome,score=2_lowincome,score=3_lowincome,score=4_lowincome,score=5_lowincome,%_score_1-2_lowincome,%_score_3-5_lowincome
Greater New Bedford Regional Vocational Technical,8250000,23,6,7,8,1,1,56.5,43.5
Greenfield,1140000,35,5,10,14,3,3,42.9,57.1
Groton-Dunstable,6730000,13,1,2,4,3,3,23.1,76.9
Hadley,1170000,8,,,,,,,
Hamilton-Wenham,6750000,5,,,,,,,
Hampden Charter School of Science East (District),4990000,31,7,11,7,3,3,58.1,41.9
Hampden-Wilbraham,6800000,14,1,0,3,7,3,7.1,92.9
Hampshire,6830000,4,,,,,,,
Hanover,1220000,17,0,3,7,5,2,17.6,82.4
Harvard,1250000,14,0,1,0,6,7,7.1,92.9
Hatfield,1270000,2,,,,,,,
Haverhill,1280000,57,6,17,17,14,3,40.4,59.6
Hingham,1310000,8,,,,,,,
Holbrook,1330000,16,7,4,5,0,0,68.8,31.3
Holliston,1360000,18,1,5,8,4,0,33.3,66.7
Holyoke,1370000,151,63,54,20,12,2,77.5,22.5
Hopedale,1380000,2,,,,,,,
Hopkinton,1390000,38,0,3,6,13,16,7.9,92.1
Hudson,1410000,29,3,8,10,6,2,37.9,62.1
Hull,1420000,8,,,,,,,
Ipswich,1440000,5,,,,,,,
KIPP Academy Lynn Charter (District),4290000,155,48,44,33,27,3,59.4,40.6
King Philip,6900000,53,3,12,15,16,7,28.3,71.7
Lawrence,1490000,172,73,35,32,20,12,62.8,37.2
Lee,1500000,13,7,2,2,2,0,69.2,30.8
Leicester,1510000,21,8,8,5,0,0,76.2,23.8
Lenox,1520000,9,,,,,,,
Leominster,1530000,67,8,31,16,6,6,58.2,41.8
Lexington,1550000,83,7,2,12,24,38,10.8,89.2
Lincoln-Sudbury,6950000,15,0,3,1,3,8,20,80
Littleton,1580000,2,,,,,,,
Longmeadow,1590000,12,0,1,4,6,1,8.3,91.7
Lowell,1600000,174,40,60,45,23,6,57.5,42.5
Ludlow,1610000,47,9,14,12,9,3,48.9,51.1
Lunenburg,1620000,21,1,12,6,1,1,61.9,38.1
Lynn,1630000,276,99,79,65,26,7,64.5,35.5
Lynnfield,1640000,33,1,7,10,8,7,24.2,75.8
MATCH Charter Public School (District),4690000,83,19,28,22,14,0,56.6,43.4
Ma Academy for Math and Science,4680000,3,,,,,,,
Malden,1650000,307,92,75,74,45,21,54.4,45.6
Manchester Essex Regional,6980000,30,3,2,11,8,6,16.7,83.3
Mansfield,1670000,12,0,3,4,5,0,25,75
Marblehead,1680000,26,1,7,5,11,2,30.8,69.2
Marlborough,1700000,86,24,28,23,10,1,60.5,39.5
Marshfield,1710000,47,2,10,15,13,7,25.5,74.5
Martha's Vineyard,7000000,29,5,7,11,5,1,41.4,58.6
Masconomet,7050000,12,0,2,3,7,0,16.7,83.3
Mashpee,1720000,27,1,12,9,5,0,48.1,51.9
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,4,,,,,,,
Maynard,1740000,4,,,,,,,
Medfield,1750000,14,2,1,8,2,1,21.4,78.6
Medford,1760000,34,0,4,8,11,11,11.8,88.2
Medway,1770000,33,4,7,9,9,4,33.3,66.7
Melrose,1780000,31,7,10,5,8,1,54.8,45.2
Mendon-Upton,7100000,27,3,7,10,7,0,37,63
Methuen,1810000,111,22,42,21,17,9,57.7,42.3
Middleborough,1820000,28,3,11,9,5,0,50,50
Milford,1850000,50,14,9,13,9,5,46,54
Millbury,1860000,16,3,4,6,2,1,43.8,56.3
Millis,1870000,12,0,4,5,2,1,33.3,66.7
Milton,1890000,52,3,11,13,18,7,26.9,73.1
Minuteman Regional Vocational Technical,8300000,1,,,,,,,
Mohawk Trail,7170000,14,2,6,4,2,0,57.1,42.9
Monomoy Regional School District,7120000,40,3,11,11,10,5,35,65
Monson,1910000,19,3,4,7,5,0,36.8,63.2
