"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Southbridge,02770000,"34,099,756.00","           2,050.9","16,626.73","39,527,478.00","           2,433.1","16,245.73",
Southeastern Regional Vocational Technical,08720000,"30,809,598.00","           1,509.3","20,413.17","30,819,598.00","           1,511.3","20,392.77",
Southern Berkshire,07650000,"16,183,134.00",             673.1,"24,042.69","17,172,033.00",             783.9,"21,905.90",
Southern Worcester County Regional Vocational Technical,08760000,"21,098,560.00","           1,085.6","19,434.93","21,303,455.00","           1,118.0","19,054.97",
Southwick-Tolland-Granville Regional School District,07660000,"21,899,997.00","           1,521.1","14,397.47","24,315,776.00","           1,622.7","14,984.76",
Spencer-E Brookfield,07670000,"22,057,041.00","           1,397.7","15,780.96","27,130,289.00","           1,694.8","16,007.96",
Springfield,02810000,"408,939,871.00","          25,776.0","15,865.14","483,216,706.00","          30,587.9","15,797.64",
Springfield Preparatory Charter School (District),35100000,"3,340,874.28",             210.4,"15,880.94","3,340,874.28",             210.4,"15,880.94",
Stoneham,02840000,"36,854,270.00","           2,328.2","15,829.51","41,483,597.00","           2,488.0","16,673.47",
Stoughton,02850000,"52,819,675.00","           3,542.6","14,909.86","59,058,170.00","           3,743.8","15,774.93",
Sturbridge,02870000,"12,095,814.00",             908.9,"13,308.19","14,342,947.00",             940.4,"15,251.96",
Sturgis Charter Public (District),04890000,"12,051,521.00",             819.1,"14,712.95","12,051,521.00",             819.1,"14,712.95",
Sudbury,02880000,"43,066,245.00","           2,701.1","15,943.97","45,864,515.00","           2,770.3","16,555.79",
Sunderland,02890000,"3,589,952.00",             236.0,"15,211.66","3,704,079.00",             253.0,"14,640.63",
Sutton,02900000,"19,092,202.00","           1,409.8","13,542.49","20,446,250.00","           1,451.3","14,088.23",
Swampscott,02910000,"35,061,895.00","           2,199.6","15,940.12","38,282,453.00","           2,268.4","16,876.41",
Swansea,02920000,"27,962,514.00","           2,075.2","13,474.61","29,214,884.00","           2,137.8","13,665.86",
TEC Connections Academy Commonwealth Virtual School District,39020000,"13,329,377.74","           1,692.6","7,875.09","13,329,377.74","           1,692.6","7,875.09",
Tantasqua,07700000,"25,684,249.00","           1,757.2","14,616.58","25,892,750.00","           1,795.7","14,419.31",
Taunton,02930000,"108,287,930.00","           8,092.4","13,381.44","116,899,685.00","           8,399.9","13,916.79",
Tewksbury,02950000,"56,048,310.00","           3,478.8","16,111.39","63,196,607.00","           3,658.0","17,276.27",
Tisbury,02960000,"8,460,526.00",             310.2,"27,274.42","9,383,113.00",             388.1,"24,177.05",
Topsfield,02980000,"10,596,822.00",             640.2,"16,552.36","10,871,301.00",             646.2,"16,823.43",
Tri-County Regional Vocational Technical,08780000,"20,347,193.00","           1,024.1","19,868.37","20,357,955.00","           1,024.1","19,878.87",
Triton,07730000,"41,303,794.00","           2,506.7","16,477.36","44,928,268.00","           2,662.1","16,877.00",
Truro,03000000,"4,555,899.00",             104.5,"43,597.12","6,993,634.00",             222.3,"31,460.34",
Tyngsborough,03010000,"24,564,878.00","           1,690.1","14,534.57","27,241,871.00","           1,824.7","14,929.51",
UP Academy Charter School of Boston (District),04800000,"7,899,684.62",             502.0,"15,735.58","7,899,684.62",             502.0,"15,735.58",
UP Academy Charter School of Dorchester (District),35050000,"10,611,003.79",             733.7,"14,461.92","10,611,003.79",             733.7,"14,461.92",
Up-Island Regional,07740000,"10,833,301.00",             400.8,"27,029.19","12,208,549.00",             459.4,"26,574.99",
Upper Cape Cod Regional Vocational Technical,08790000,"17,017,246.00",             791.5,"21,500.00","17,055,678.00",             798.5,"21,359.65",
Uxbridge,03040000,"25,935,107.00","           1,720.9","15,070.66","30,119,919.00","           1,960.0","15,367.31",
Veritas Preparatory Charter School (District),04980000,"5,815,591.82",             317.6,"18,313.94","5,815,591.82",             317.6,"18,313.94",
Wachusett,07750000,"88,501,507.00","           7,207.1","12,279.77","96,733,192.00","           7,440.6","13,000.72",
Wakefield,03050000,"50,749,409.00","           3,489.6","14,543.04","56,217,105.00","           3,605.1","15,593.77",
Wales,03060000,"2,138,463.00",             160.4,"13,332.06","2,402,999.00",             177.7,"13,522.79",
Walpole,03070000,"56,872,538.00","           3,812.1","14,918.95","62,189,368.00","           3,931.0","15,820.24",
Waltham,03080000,"115,980,768.00","           5,565.9","20,837.74","124,498,232.00","           5,750.8","21,648.85",
Ware,03090000,"17,448,670.00","           1,191.2","14,647.98","19,958,691.00","           1,389.6","14,362.90",
Wareham,03100000,"39,560,210.00","           2,311.5","17,114.52","46,125,517.00","           2,662.0","17,327.39",
Watertown,03140000,"52,172,570.00","           2,597.4","20,086.46","59,887,949.00","           2,747.8","21,794.87",
Wayland,03150000,"49,225,960.00","           2,718.6","18,107.10","52,028,230.00","           2,774.7","18,750.94",
Webster,03160000,"27,467,850.00","           1,865.5","14,724.12","31,375,150.00","           2,076.1","15,112.54",
Wellesley,03170000,"95,548,909.00","           5,002.4","19,100.61","103,454,102.00","           5,076.1","20,380.63",
Wellfleet,03180000,"3,595,787.00",             113.6,"31,653.05","3,776,943.00",             129.6,"29,143.08",
West Boylston,03220000,"14,171,833.00",             908.8,"15,594.01","16,489,962.00","           1,009.9","16,328.31",
West Bridgewater,03230000,"17,114,860.00","           1,292.8","13,238.60","18,670,129.00","           1,332.1","14,015.56",
West Springfield,03320000,"54,675,404.00","           4,184.6","13,065.86","60,750,888.00","           4,346.7","13,976.32",
Westborough,03210000,"59,285,174.00","           3,971.7","14,926.90","63,852,710.00","           4,031.4","15,838.84",
Westfield,03250000,"76,103,664.00","           5,421.2","14,038.16","81,922,837.00","           5,671.3","14,445.16",
Westford,03260000,"70,957,588.00","           5,066.9","14,004.14","76,239,622.00","           5,149.1","14,806.40",
Westhampton,03270000,"2,189,913.00",             121.5,"18,023.98","2,814,415.00",             155.4,"18,110.78",
Weston,03300000,"51,564,562.00","           2,104.1","24,506.71","54,255,566.00","           2,138.8","25,367.29",
Westport,03310000,"21,903,809.00","           1,439.2","15,219.43","23,692,587.00","           1,542.2","15,362.85",
Westwood,03350000,"56,839,965.00","           3,127.3","18,175.41","57,680,627.00","           3,150.2","18,310.15",
Weymouth,03360000,"90,796,831.00","           5,949.2","15,262.02","102,507,584.00","           6,331.9","16,189.07",
Whately,03370000,"2,166,266.00",             139.3,"15,551.08","2,457,276.00",             156.1,"15,741.68",
Whitman-Hanson,07800000,"49,260,605.00","           3,866.5","12,740.36","53,301,709.00","           3,982.0","13,385.66",
Whittier Regional Vocational Technical,08850000,"25,095,428.00","           1,216.7","20,625.81","25,162,598.00","           1,218.4","20,652.17",
Williamsburg,03400000,"2,688,360.00",             165.9,"16,204.70","3,385,887.00",             214.7,"15,770.31",
Williamstown,03410000,"7,971,746.00",             457.1,"17,439.83","8,082,151.00",             466.6,"17,321.37",
Wilmington,03420000,"52,852,442.00","           3,309.8","15,968.47","60,304,117.00","           3,394.1","17,767.34",
Winchendon,03430000,"17,234,161.00","           1,267.3","13,599.12","20,170,201.00","           1,468.2","13,738.05",
Winchester,03440000,"62,544,715.00","           4,649.7","13,451.34","66,571,000.00","           4,714.1","14,121.68",
Winthrop,03460000,"25,850,178.00","           1,986.9","13,010.31","27,758,470.00","           2,027.6","13,690.31",
Woburn,03470000,"77,684,083.00","           4,594.3","16,908.80","83,877,592.00","           4,748.0","17,665.88",
Worcester,03480000,"361,462,449.00","          25,559.0","14,142.28","415,444,078.00","          28,713.1","14,468.80",
Worthington,03490000,"1,084,616.00",              64.5,"16,815.75","1,947,619.00",             136.8,"14,236.98",
Wrentham,03500000,"15,967,285.00","           1,019.1","15,668.03","16,776,675.00","           1,047.4","16,017.45",
State Totals,00000000,"15,242,477,034.29","         955,237.3","15,956.74","17,046,942,198.29","       1,033,460.7","16,495.01",
