"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Lowell Community Charter Public (District),04560000,"12,557,430.44",             805.4,"15,592.32","12,557,430.44",             805.4,"15,592.32",
Lowell Middlesex Academy Charter (District),04580000,"1,980,029.13",              96.1,"20,603.84","1,980,029.13",              96.1,"20,603.84",
Ludlow,01610000,"41,715,945.00","           2,629.1","15,867.01","44,753,449.00","           2,735.7","16,359.05",
Lunenburg,01620000,"22,175,146.00","           1,620.5","13,684.14","24,391,811.00","           1,763.9","13,828.34",
Lynn,01630000,"213,368,871.00","          15,551.9","13,719.79","248,538,262.00","          17,447.4","14,245.00",
Lynnfield,01640000,"33,703,540.00","           2,221.3","15,172.89","35,848,507.00","           2,256.3","15,888.18",
MATCH Charter Public School (District),04690000,"24,286,936.00","           1,217.6","19,947.06","24,286,936.00","           1,217.6","19,947.06",
Malden,01650000,"91,166,268.00","           6,501.1","14,023.21","111,592,885.00","           7,635.9","14,614.24",
Manchester Essex Regional,06980000,"24,589,297.00","           1,378.8","17,833.84","25,816,830.00","           1,407.4","18,343.63",
Mansfield,01670000,"59,683,200.00","           3,807.4","15,675.58","65,431,615.00","           3,944.5","16,588.06",
Marblehead,01680000,"48,947,396.00","           3,102.2","15,778.28","53,366,592.00","           3,320.8","16,070.40",
Marblehead Community Charter Public (District),04640000,"3,707,912.00",             229.4,"16,161.41","3,707,912.00",             229.4,"16,161.41",
Marion,01690000,"6,892,845.00",             455.9,"15,119.20","7,620,896.00",             467.6,"16,297.90",
Marlborough,01700000,"75,681,592.00","           4,639.8","16,311.39","90,798,119.00","           5,403.9","16,802.33",
Marshfield,01710000,"54,524,234.00","           4,135.1","13,185.71","59,274,862.00","           4,231.0","14,009.66",
Martha's Vineyard,07000000,"19,491,637.00",             631.7,"30,855.84","21,250,546.00",             674.7,"31,496.29",
Martha's Vineyard Charter (District),04660000,"5,172,765.00",             184.8,"27,997.21","5,172,765.00",             184.8,"27,997.21",
Martin Luther King Jr. Charter School of Excellence (District),04920000,"6,732,107.31",             356.6,"18,878.60","6,732,107.31",             356.6,"18,878.60",
Masconomet,07050000,"31,229,965.00","           1,792.6","17,421.60","34,405,164.00","           1,844.3","18,654.86",
Mashpee,01720000,"28,436,919.00","           1,643.3","17,304.76","31,748,814.00","           1,799.5","17,643.13",
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,"4,525,355.50",             582.3,"7,771.52","4,525,355.50",             582.3,"7,771.52",
Mattapoisett,01730000,"8,196,474.00",             448.2,"18,287.54","9,181,941.00",             465.0,"19,746.11",
Maynard,01740000,"22,491,554.00","           1,386.0","16,227.67","26,083,395.00","           1,521.3","17,145.46",
Medfield,01750000,"39,631,461.00","           2,596.7","15,262.24","41,891,619.00","           2,636.4","15,889.71",
Medford,01760000,"76,865,199.00","           4,359.3","17,632.46","86,500,693.00","           4,808.2","17,990.24",
Medway,01770000,"31,891,128.00","           2,280.4","13,984.88","35,431,876.00","           2,380.0","14,887.34",
Melrose,01780000,"46,143,571.00","           3,905.1","11,816.23","51,776,744.00","           4,200.2","12,327.21",
Mendon-Upton,07100000,"34,515,326.00","           2,252.3","15,324.48","38,587,598.00","           2,361.0","16,343.75",
Methuen,01810000,"89,628,065.00","           6,978.6","12,843.27","103,900,066.00","           7,314.5","14,204.67",
Middleborough,01820000,"42,345,144.00","           2,971.2","14,251.87","46,168,203.00","           3,113.0","14,830.78",
Middleton,01840000,"12,102,576.00",             687.7,"17,598.63","12,546,140.00",             693.5,"18,091.05",
