2017-18 Advanced Placement Performance - All Subjects - Asian,,,,,,,,,
District Name,District Code,tests_taken_asian,score=1_asian,score=2_asian,score=3_asian,score=4_asian,score=5_asian,%_score_1-2_asian,%_score_3-5_asian
Hampden-Wilbraham,06800000,      12,       1,       0,       7,       2,       2,   8.3,  91.7
Hanover,01220000,      11,       0,       2,       4,       4,       1,  18.2,  81.8
Harvard,01250000,      63,       0,       2,       8,      24,      29,   3.2,  96.8
Hatfield,01270000,       3,,,,,,,
Haverhill,01280000,      18,       1,       7,       7,       3,       0,  44.4,  55.6
Hingham,01310000,      25,       1,       1,       4,      12,       7,   8.0,  92.0
Holliston,01360000,      49,       4,      15,      11,      16,       3,  38.8,  61.2
Holyoke,01370000,       4,,,,,,,
Hopedale,01380000,       2,,,,,,,
Hopkinton,01390000,     168,       1,      13,      20,      56,      78,   8.3,  91.7
Hudson,01410000,      11,       0,       3,       1,       4,       3,  27.3,  72.7
Hull,01420000,       1,,,,,,,
Innovation Academy Charter (District),04350000,       2,,,,,,,
Ipswich,01440000,       7,,,,,,,
KIPP Academy Lynn Charter (District),04290000,      17,       3,       4,       5,       2,       3,  41.2,  58.8
King Philip,06900000,      25,       2,       5,       5,      10,       3,  28.0,  72.0
Lawrence,01490000,      19,       6,       7,       5,       1,       0,  68.4,  31.6
Lee,01500000,       2,,,,,,,
Leicester,01510000,       4,,,,,,,
Lenox,01520000,      11,       1,       4,       4,       1,       1,  45.5,  54.5
Leominster,01530000,      29,       6,       6,       7,       6,       4,  41.4,  58.6
Lexington,01550000,     915,      14,      36,     139,     295,     431,   5.5,  94.5
Lincoln-Sudbury,06950000,      62,       0,       2,       7,      13,      40,   3.2,  96.8
Littleton,01580000,       4,,,,,,,
Longmeadow,01590000,      98,       1,       5,      24,      36,      32,   6.1,  93.9
Lowell,01600000,     253,      70,      91,      50,      28,      14,  63.6,  36.4
Lunenburg,01620000,      13,       0,       7,       5,       1,       0,  53.8,  46.2
Lynn,01630000,     159,      43,      56,      37,      17,       6,  62.3,  37.7
Lynnfield,01640000,      20,       1,       4,       3,       6,       6,  25.0,  75.0
Ma Academy for Math and Science,04680000,      53,       0,       6,      18,      20,       9,  11.3,  88.7
Malden,01650000,     378,      95,      95,      86,      61,      41,  50.3,  49.7
Manchester Essex Regional,06980000,       2,,,,,,,
Mansfield,01670000,      38,       0,      10,       8,       8,      12,  26.3,  73.7
Marblehead,01680000,      10,       1,       2,       4,       2,       1,  30.0,  70.0
Marlborough,01700000,      56,      11,      23,      10,       8,       4,  60.7,  39.3
Marshfield,01710000,      12,       0,       0,       2,       6,       4,    .0, 100.0
Masconomet,07050000,      29,       0,       6,       7,       8,       8,  20.7,  79.3
Mashpee,01720000,       6,,,,,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       1,,,,,,,
Maynard,01740000,      12,       1,       4,       3,       3,       1,  41.7,  58.3
Medfield,01750000,      60,       2,       6,      15,      17,      20,  13.3,  86.7
Medford,01760000,      51,       0,       6,      10,      14,      21,  11.8,  88.2
Medway,01770000,      19,       1,       3,       4,       4,       7,  21.1,  78.9
Melrose,01780000,      28,       5,       7,       7,       6,       3,  42.9,  57.1
Mendon-Upton,07100000,      11,       2,       3,       3,       1,       2,  45.5,  54.5
Methuen,01810000,      65,       5,      21,      17,      13,       9,  40.0,  60.0
Middleborough,01820000,       4,,,,,,,
Milford,01850000,      40,       5,      12,       7,       7,       9,  42.5,  57.5
Millbury,01860000,       6,,,,,,,
Millis,01870000,       3,,,,,,,
Milton,01890000,      86,       2,      11,      25,      26,      22,  15.1,  84.9
Monomoy Regional School District,07120000,       6,,,,,,,
Monson,01910000,       1,,,,,,,
Mount Greylock,07150000,       3,,,,,,,
Mystic Valley Regional Charter (District),04700000,       2,,,,,,,
Nantucket,01970000,       3,,,,,,,
Nashoba,07250000,      17,       1,       0,       6,       5,       5,   5.9,  94.1
Nashoba Valley Regional Vocational Technical,08520000,       2,,,,,,,
Natick,01980000,      82,       7,      14,      14,      21,      26,  25.6,  74.4
Nauset,06600000,      21,       3,       3,       8,       5,       2,  28.6,  71.4
Needham,01990000,      98,       0,       4,      15,      26,      53,   4.1,  95.9
New Bedford,02010000,      21,       2,       8,       7,       1,       3,  47.6,  52.4
Newburyport,02040000,       2,,,,,,,
Newton,02070000,     540,       6,      34,     100,     173,     227,   7.4,  92.6
North Andover,02110000,      50,       1,       8,      13,      16,      12,  18.0,  82.0
North Attleborough,02120000,      65,       3,       6,      17,      19,      20,  13.8,  86.2
North Middlesex,07350000,       3,,,,,,,
North Reading,02170000,      19,       2,       5,       6,       4,       2,  36.8,  63.2
Northampton,02100000,      19,       2,       1,       6,       3,       7,  15.8,  84.2
Northboro-Southboro,07300000,     183,       1,       8,      40,      55,      79,   4.9,  95.1
Northbridge,02140000,       5,,,,,,,
Northeast Metropolitan Regional Vocational Technical,08530000,       2,,,,,,,
Norton,02180000,      11,       0,       1,       3,       4,       3,   9.1,  90.9
Norwell,02190000,      10,       0,       2,       4,       2,       2,  20.0,  80.0
Norwood,02200000,      12,       0,       3,       6,       1,       2,  25.0,  75.0
Old Rochester,07400000,      29,       4,       2,       6,      12,       5,  20.7,  79.3
Oxford,02260000,       6,,,,,,,
Palmer,02270000,      13,       3,       6,       0,       3,       1,  69.2,  30.8
Peabody,02290000,      33,       5,      11,       8,       6,       3,  48.5,  51.5
Pembroke,02310000,       6,,,,,,,
Pentucket,07450000,      13,       1,       2,       4,       4,       2,  23.1,  76.9
