2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
Lee,01500000,          57,          32,  56.1,  35.1,  43.9,  22.8,   5.3,   0.0,  14.0,   0.0
Leicester,01510000,         114,          60,  52.6,  14.9,  46.5,   0.9,  17.5,   0.0,   1.0,   0.0
Lenox,01520000,          55,          43,  78.2,   0.0,  74.5,  41.8,   0.0,   0.0,  24.0,   0.0
Leominster,01530000,         509,         325,  63.9,  13.2,  36.0,  23.2,  15.9,   0.4,  37.0,   5.1
Lexington,01550000,         580,         501,  86.4,   0.0,  82.9,  41.2,  41.0,   0.9,  15.0,   0.0
Lincoln-Sudbury,06950000,         386,         324,  83.9,   0.0,  83.4,  15.5,   0.0,   0.8,   7.0,   0.0
Littleton,01580000,         112,         110,  98.2,  72.3,  92.0,  62.5,  67.9,   0.0,  36.0,   0.0
Longmeadow,01590000,         241,         182,  75.5,  16.2,  63.9,  56.8,  23.7,   3.3,  16.0,   0.0
Lowell,01600000,         811,         523,  64.5,  10.4,  38.1,  40.6,  16.9,   0.0,   1.0,   0.0
Lowell Middlesex Academy Charter (District),04580000,          31,           6,  19.4,  19.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Ludlow,01610000,         208,          82,  39.4,   9.6,  29.3,  23.1,  10.6,   0.0,   1.0,   1.4
Lunenburg,01620000,         101,          64,  63.4,  32.7,  39.6,  17.8,  49.5,   1.0,   1.0,   0.0
Lynn,01630000,"       1,060",         565,  53.3,  11.0,  51.1,  14.8,  13.1,   0.9,   8.0,   7.2
Lynnfield,01640000,         167,         148,  88.6,  26.9,  86.8,  23.4,  40.1,   0.0,   9.0,   0.0
MATCH Charter Public School (District),04690000,          69,          51,  73.9,  37.7,  26.1,  37.7,  36.2,   1.4,  41.0,   0.0
Ma Academy for Math and Science,04680000,          48,          48, 100.0,  47.9, 100.0,  33.3,  37.5,  10.4,  38.0,   0.0
