2017-18 SAT Performance Report - All Students,,,,
District Name,District Code,sat_tests_taken_all,reading_writing_all,math_all
Milton,1890000,326,577,588
Minuteman Regional Vocational Technical,8300000,77,561,527
Mohawk Trail,7170000,61,571,550
Monomoy Regional School District,7120000,122,578,567
Monson,1910000,54,563,571
Montachusett Regional Vocational Technical,8320000,207,529,521
Mount Greylock,7150000,109,616,598
Mystic Valley Regional Charter (District),4700000,125,583,596
Nantucket,1970000,163,540,516
Narragansett,7200000,71,553,548
Nashoba,7250000,294,601,609
Nashoba Valley Regional Vocational Technical,8520000,106,520,514
Natick,1980000,448,584,590
Nauset,6600000,275,589,577
Needham,1990000,445,618,624
New Bedford,2010000,177,476,479
Newburyport,2040000,230,584,585
Newton,2070000,"1,033",622,636
Norfolk County Agricultural,9150000,135,529,531
North Adams,2090000,64,513,493
North Andover,2110000,469,578,568
North Attleborough,2120000,321,569,573
North Brookfield,2150000,14,533,533
North Middlesex,7350000,186,574,548
North Reading,2170000,246,575,574
Northampton,2100000,244,608,594
Northampton-Smith Vocational Agricultural,4060000,25,501,482
Northboro-Southboro,7300000,464,596,604
Northbridge,2140000,140,544,526
Northeast Metropolitan Regional Vocational Technical,8530000,164,489,479
Northern Berkshire Regional Vocational Technical,8510000,61,529,500
Norton,2180000,179,558,560
Norwell,2190000,240,597,579
Norwood,2200000,281,558,564
Old Colony Regional Vocational Technical,8550000,61,516,521
Old Rochester,7400000,244,567,566
Oxford,2260000,75,512,518
Palmer,2270000,73,548,539
Pathfinder Regional Vocational Technical,8600000,44,511,495
Paulo Freire Social Justice Charter School (District),35010000,50,467,453
Peabody,2290000,363,531,531
Pembroke,2310000,273,568,575
Pentucket,7450000,207,576,585
Phoenix Academy Public Charter High School Springfield (District),35080000,17,456,426
Phoenix Charter Academy (District),4930000,3,,
Pioneer Charter School of Science (District),4940000,67,548,599
Pioneer Charter School of Science II (PCSS-II) (District),35060000,48,583,649
Pioneer Valley,7500000,58,536,527
Pioneer Valley Chinese Immersion Charter (District),4970000,17,623,624
Pioneer Valley Performing Arts Charter Public (District),4790000,68,595,540
Pittsfield,2360000,262,536,530
Plymouth,2390000,770,536,526
Prospect Hill Academy Charter (District),4870000,130,511,518
Quabbin,7530000,158,558,544
Quaboag Regional,7780000,71,587,564
Quincy,2430000,756,541,565
Ralph C Mahar,7550000,80,557,552
Randolph,2440000,140,498,519
Reading,2460000,415,579,586
Revere,2480000,571,501,508
Rising Tide Charter Public (District),4830000,86,576,532
Rockland,2510000,151,542,546
Rockport,2520000,72,572,532
Roxbury Preparatory Charter (District),4840000,75,504,516
Sabis International Charter (District),4410000,122,519,512
Salem,2580000,266,482,479
Salem Academy Charter (District),4850000,82,542,527
Sandwich,2610000,190,551,556
Saugus,2620000,195,531,516
Scituate,2640000,279,580,575
Seekonk,2650000,168,558,551
Sharon,2660000,340,619,636
Shawsheen Valley Regional Vocational Technical,8710000,226,526,517
Shrewsbury,2710000,526,595,612
Silver Lake,7600000,367,580,582
Sizer School: A North Central Charter Essential (District),4740000,20,531,496
Somerset Berkley Regional School District,7630000,262,562,574
Somerville,2740000,245,543,537
South Hadley,2780000,127,568,593
South Middlesex Regional Vocational Technical,8290000,84,496,481
South Shore Charter Public (District),4880000,72,552,535
South Shore Regional Vocational Technical,8730000,63,515,502
Southbridge,2770000,71,470,452
Southeastern Regional Vocational Technical,8720000,206,481,469
Southern Berkshire,7650000,31,594,557
Southern Worcester County Regional Vocational Technical,8760000,181,516,508
Southwick-Tolland-Granville Regional School District,7660000,107,550,546
Spencer-E Brookfield,7670000,48,549,539
Springfield,2810000,"2,273",431,427
Stoneham,2840000,217,559,550
Stoughton,2850000,253,545,546
Sturgis Charter Public (District),4890000,273,595,574
Sutton,2900000,108,558,551
Swampscott,2910000,196,580,596
Swansea,2920000,97,557,548
TEC Connections Academy Commonwealth Virtual School District,39020000,73,599,563
Tantasqua,7700000,261,573,607
Taunton,2930000,532,513,502
Tewksbury,2950000,289,561,567
Tri-County Regional Vocational Technical,8780000,139,534,533
Triton,7730000,198,552,559
Tyngsborough,3010000,174,556,575
Upper Cape Cod Regional Vocational Technical,8790000,85,525,532
Uxbridge,3040000,125,549,534
Wachusett,7750000,629,589,591
Wakefield,3050000,327,570,570
Walpole,3070000,403,570,566
Waltham,3080000,383,518,522
Ware,3090000,32,541,561
Wareham,3100000,96,535,538
Watertown,3140000,194,545,558
Wayland,3150000,241,629,645
Webster,3160000,84,534,528
Wellesley,3170000,378,630,642
West Boylston,3220000,59,582,566
West Bridgewater,3230000,110,569,554
West Springfield,3320000,206,545,548
Westborough,3210000,317,612,633
Westfield,3250000,304,551,541
Westford,3260000,506,609,627
Weston,3300000,153,623,639
Westport,3310000,64,580,556
Westwood,3350000,337,591,609
Weymouth,3360000,481,547,534
Whitman-Hanson,7800000,323,548,532
Whittier Regional Vocational Technical,8850000,170,523,505
Wilmington,3420000,266,561,554
Winchendon,3430000,38,529,529
Winchester,3440000,355,617,637
Winthrop,3460000,142,540,538
Woburn,3470000,381,551,552
Worcester,3480000,"1,891",478,481
State Totals,0,"70,155",550,552
