2018 Advanced Course Completion Report (District)  - Asian,,,,,,,,,,
District Name,District Code,#_11_12_student_asian,# _advanced_students_asian,%_complete_advanced_asian,%_ELA_asian,%_math_asian,%_science_tech_asian,%_history_socialscience_asian,%_arts_asian,%_other_subjects_asian
Essex North Shore Agricultural and Technical School District,08170000,           8,           5,  62.5,  37.5,  25.0,  62.5,  25.0,   0.0,  25.0
Everett,00930000,          50,          36,  72.0,  16.0,  68.0,  12.0,  20.0,   0.0,   0.0
Excel Academy Charter (District),04100000,           4,,,,,,,,
Fairhaven,00940000,           5,,,,,,,,
Fall River,00950000,          56,          32,  57.1,   5.4,  51.8,  10.7,   8.9,   3.6,   5.0
Falmouth,00960000,          18,          14,  77.8,  11.1,  77.8,  44.4,  22.2,   0.0,   6.0
Fitchburg,00970000,          38,          35,  92.1,  31.6,  57.9,  52.6,  21.1,  15.8,  45.0
Foxborough,00990000,          11,          10,  90.9,  54.5,  45.5,  45.5,  45.5,   0.0,  18.0
Foxborough Regional Charter (District),04460000,          13,          11,  84.6,  53.8,  76.9,  15.4,  15.4,   0.0,  31.0
Framingham,01000000,          71,          63,  88.7,  23.9,  70.4,  28.2,  39.4,   5.6,   7.0
Francis W. Parker Charter Essential (District),04780000,           2,,,,,,,,
Franklin,01010000,          44,          44, 100.0,  25.0,  95.5,  68.2,  63.6,   9.1,  52.0
Franklin County Regional Vocational Technical,08180000,           1,,,,,,,,
Freetown-Lakeville,06650000,           8,           5,  62.5,   0.0,  50.0,   0.0,  37.5,  12.5,   0.0
Frontier,06700000,           3,,,,,,,,
Gardner,01030000,           7,           6,  85.7,  28.6,  85.7,  28.6,  28.6,   0.0,   0.0
Gateway,06720000,           1,,,,,,,,
Georgetown,01050000,           3,,,,,,,,
Global Learning Charter Public (District),04960000,           1,,,,,,,,
Gloucester,01070000,           8,           3,  37.5,  12.5,  37.5,  12.5,   0.0,   0.0,   0.0
Grafton,01100000,          43,          37,  86.0,  39.5,  79.1,  69.8,  27.9,   0.0,  19.0
Granby,01110000,           4,,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,           8,           6,  75.0,  50.0,  75.0,  50.0,  50.0,   0.0,  50.0
Greater Lawrence Regional Vocational Technical,08230000,           6,           4,  66.7,  33.3,  66.7,  16.7,  16.7,   0.0,  17.0
Greater Lowell Regional Vocational Technical,08280000,         173,         158,  91.3,  83.2,  87.9,  54.3,  24.9,   1.2,  26.0
Greater New Bedford Regional Vocational Technical,08250000,           9,           8,  88.9,  66.7,  55.6,  44.4,  66.7,   0.0,  22.0
Greenfield,01140000,           6,           6, 100.0,  83.3,  83.3,  66.7,  66.7,   0.0,   0.0
Groton-Dunstable,06730000,          25,          22,  88.0,  32.0,  84.0,  64.0,  16.0,   4.0,   8.0
Hadley,01170000,           3,,,,,,,,
Hamilton-Wenham,06750000,           9,           9, 100.0,  11.1,  77.8,  55.6,  33.3,   0.0,  33.0
Hampden Charter School of Science East (District),04990000,           5,,,,,,,,
Hampden-Wilbraham,06800000,          12,          11,  91.7,  33.3,  91.7,  66.7,  16.7,   0.0,   0.0
Hanover,01220000,           7,           7, 100.0,  85.7,  71.4,  85.7,  42.9,  28.6,  86.0
Harvard,01250000,          24,          23,  95.8,  20.8,  95.8,  66.7,  33.3,   0.0,  38.0
Hatfield,01270000,           2,,,,,,,,
Haverhill,01280000,          18,           9,  50.0,  22.2,  50.0,  22.2,   0.0,   0.0,  11.0
Hingham,01310000,          17,          17, 100.0,  47.1,  94.1,  70.6,  35.3,  11.8,  18.0
Holbrook,01330000,           5,,,,,,,,
Holliston,01360000,          19,          17,  89.5,  26.3,  84.2,  36.8,  52.6,   0.0,  11.0
Holyoke,01370000,           4,,,,,,,,
Hopedale,01380000,           1,,,,,,,,
Hopkinton,01390000,          52,          47,  90.4,  28.8,  80.8,  63.5,  42.3,   5.8,  17.0
Hudson,01410000,          10,           8,  80.0,  40.0,  70.0,  10.0,  30.0,   0.0,  20.0
Hull,01420000,           1,,,,,,,,
Innovation Academy Charter (District),04350000,          12,          12, 100.0,  75.0,  75.0,  41.7,  41.7,   0.0,  17.0
Ipswich,01440000,           6,           4,  66.7,  33.3,  66.7,  33.3,  50.0,   0.0,   0.0
KIPP Academy Lynn Charter (District),04290000,           7,           7, 100.0,  85.7, 100.0,  57.1,  28.6,   0.0,   0.0
King Philip,06900000,          11,          10,  90.9,  36.4,  81.8,  36.4,  45.5,   0.0,  27.0
Lawrence,01490000,          28,          26,  92.9,  14.3,  89.3,  53.6,  28.6,   0.0,   0.0
Lee,01500000,           4,,,,,,,,
Leicester,01510000,           5,,,,,,,,
Lenox,01520000,           5,,,,,,,,
Leominster,01530000,          39,          34,  87.2,  23.1,  61.5,  43.6,  23.1,   2.6,  38.0
Lexington,01550000,         372,         357,  96.0,   0.0,  90.9,  60.2,  57.8,   1.3,  17.0
Lincoln-Sudbury,06950000,          49,          48,  98.0,   0.0,  95.9,  36.7,   0.0,   8.2,   6.0
Littleton,01580000,          10,          10, 100.0,  80.0,  90.0,  30.0,  60.0,   0.0,  50.0
Longmeadow,01590000,          38,          34,  89.5,  36.8,  73.7,  78.9,  31.6,   7.9,  34.0
Lowell,01600000,         506,         417,  82.4,  14.8,  54.0,  53.8,  25.7,   0.0,   1.0
Lowell Middlesex Academy Charter (District),04580000,          15,           2,  13.3,  13.3,   0.0,   0.0,   0.0,   0.0,   0.0
Ludlow,01610000,           2,,,,,,,,
Lunenburg,01620000,          10,           6,  60.0,  60.0,  20.0,  30.0,  30.0,   0.0,   0.0
Lynn,01630000,         179,         125,  69.8,  13.4,  68.2,  24.6,  24.0,   3.4,   3.0
Lynnfield,01640000,          12,          12, 100.0,  58.3,  91.7,  41.7,  58.3,   0.0,   8.0
Ma Academy for Math and Science,04680000,          44,          44, 100.0,  45.5, 100.0,  31.8,  38.6,  13.6,  30.0
Malden,01650000,         223,         159,  71.3,  15.7,  62.3,  41.3,  29.1,   3.6,   4.0
Manchester Essex Regional,06980000,           1,,,,,,,,
Mansfield,01670000,          23,          20,  87.0,  26.1,  73.9,  39.1,  34.8,   0.0,  22.0
Marblehead,01680000,          10,           5,  50.0,   0.0,  40.0,  20.0,   0.0,   0.0,   0.0
Marlborough,01700000,          19,          19, 100.0,  73.7,  94.7,  63.2,  42.1,   0.0,  26.0
Marshfield,01710000,           6,           6, 100.0,  50.0,  83.3,  66.7,  66.7,   0.0,  33.0
Martha's Vineyard,07000000,           4,,,,,,,,
Martha's Vineyard Charter (District),04660000,           1,,,,,,,,
Masconomet,07050000,          22,          21,  95.5,  22.7,  95.5,  40.9,  27.3,   0.0,  27.0
Mashpee,01720000,           3,,,,,,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,           3,,,,,,,,
