2018 Advanced Course Completion Report (District)  - High Needs,,,,,,,,,,,
District Name,District Code,#_11_12_student_highneeds,# _advanced_students_highneeds,%_complete_advanced_highneeds,%_ELA_highneeds,%_math_highneeds,%_science_tech_highneeds,%_history_socialscience_highneeds,%_arts_highneeds,%_other_subjects_highneeds,
West Boylston,03220000,          27,           9,  33.3,  14.8,  33.3,   3.7,   3.7,   0.0,   0.0,
West Bridgewater,03230000,          43,          43, 100.0,  79.1,  86.0,  83.7,  90.7,  44.2,  98.0,
West Springfield,03320000,         314,          79,  25.2,  14.3,  19.4,   4.8,  12.7,   0.0,   1.0,
Westborough,03210000,          97,          36,  37.1,   0.0,  37.1,   2.1,  11.3,   0.0,   2.0,
Westfield,03250000,         348,         100,  28.7,  10.1,  17.8,   2.9,   9.2,   0.3,   4.0,
Westford,03260000,         110,          32,  29.1,   4.5,  27.3,   8.2,   7.3,   2.7,   7.0,
Weston,03300000,          92,          65,  70.7,   0.0,  70.7,   6.5,  28.3,   0.0,   4.0,
Westport,03310000,          51,          20,  39.2,  13.7,  25.5,   3.9,   3.9,   5.9,   2.0,
Westwood,03350000,         109,          42,  38.5,   5.5,  33.9,   1.8,   9.2,   0.0,   1.0,
Weymouth,03360000,         334,         329,  98.5,  80.8,  84.7,  65.6,  55.1,  23.4,  44.0,
Whitman-Hanson,07800000,         177,          60,  33.9,  15.3,  22.6,   8.5,  12.4,   0.0,   0.0,
Whittier Regional Vocational Technical,08850000,         304,         191,  62.8,  40.8,  62.5,  39.8,  39.8,  12.5,  40.0,
Wilmington,03420000,          88,          38,  43.2,   4.5,  40.9,   9.1,   9.1,   0.0,   5.0,
Winchendon,03430000,          94,          30,  31.9,  20.2,  20.2,   6.4,  13.8,   0.0,   0.0,
Winchester,03440000,         158,         158, 100.0,  82.9,  91.8,  82.9,  70.9,  25.9,  99.0,
Winthrop,03460000,         112,          77,  68.8,  15.2,  64.3,  19.6,  12.5,   0.0,   1.0,
Woburn,03470000,         233,          96,  41.2,   0.9,  30.5,  15.9,   4.7,   0.4,   1.0,
Worcester,03480000,"       2,487","       1,269",  51.0,  10.4,  35.3,  16.3,  10.7,   1.8,  10.0,
State Totals,00000000,"      57,649","      26,748",  46.4,  14.0,  38.3,  15.6,  12.3,   2.4,   9.0,
