2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,
District Name,District Code,#_11_12_student_male,# _advanced_students_male,%_complete_advanced_male,%_ELA_male,%_math_male,%_science_tech_male,%_history_socialscience_male,%_arts_male,%_other_subjects_male
Easthampton,860000,109,50,45.9,43.1,25.7,1.8,0.9,1.8,2
Easton,880000,289,196,67.8,1.4,61.9,28,36.3,2.4,4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,62,50,80.6,33.9,62.9,12.9,11.3,0,0
Essex North Shore Agricultural and Technical School District,8170000,274,168,61.3,32.8,55.1,40.5,36.9,0,32
Everett,930000,512,193,37.7,3.1,29.7,3.3,9.2,0,4
Excel Academy Charter (District),4100000,46,32,69.6,13,63,19.6,13,2.2,35
Fairhaven,940000,135,66,48.9,11.1,45.9,3,5.9,0,0
Fall River,950000,565,183,32.4,2.7,31.2,5.5,3.7,0.7,2
Falmouth,960000,193,107,55.4,7.8,54.4,14.5,15.5,1,9
Fitchburg,970000,414,276,66.7,24.2,47.1,39.9,32.4,19.8,17
Four Rivers Charter Public (District),4130000,39,26,66.7,0,64.1,0,5.1,5.1,3
Foxborough,990000,230,136,59.1,10.9,44.8,10,35.2,1.3,4
Foxborough Regional Charter (District),4460000,56,46,82.1,25,62.5,23.2,32.1,1.8,23
Framingham,1000000,526,384,73,7.2,49,27.2,17.1,1,6
Francis W. Parker Charter Essential (District),4780000,61,52,85.2,0,85.2,44.3,0,0,0
Franklin,1010000,446,443,99.3,59.4,95.3,49.1,51.1,35,76
Franklin County Regional Vocational Technical,8180000,160,72,45,29.4,42.5,29.4,29.4,1.9,32
Freetown-Lakeville,6650000,192,104,54.2,15.1,49,21.9,24.5,1,2
Frontier,6700000,103,76,73.8,12.6,68.9,12.6,25.2,0,2
Gardner,1030000,123,92,74.8,8.1,74.8,20.3,3.3,2.4,0
Gateway,6720000,44,24,54.5,11.4,47.7,20.5,15.9,0,2
Georgetown,1050000,103,51,49.5,7.8,46.6,2.9,9.7,0,1
Gill-Montague,6740000,55,26,47.3,12.7,43.6,7.3,5.5,0,5
Global Learning Charter Public (District),4960000,42,24,57.1,0,42.9,33.3,0,0,0
Gloucester,1070000,211,87,41.2,12.3,36,11.4,10.4,0,5
Grafton,1100000,196,75,38.3,9.2,30.6,17.9,13.3,0,7
Granby,1110000,53,34,64.2,28.3,47.2,3.8,13.2,0,9
Greater Fall River Regional Vocational Technical,8210000,377,223,59.2,47.2,58.9,46.9,46.7,0,47
Greater Lawrence Regional Vocational Technical,8230000,348,207,59.5,23.6,52.6,41.7,21.3,0,21
Greater Lowell Regional Vocational Technical,8280000,601,576,95.8,90.3,91.7,51.2,36.8,0.5,36
Greater New Bedford Regional Vocational Technical,8250000,514,416,80.9,45.5,56.6,51.6,67.5,0,20
Greenfield,1140000,81,31,38.3,14.8,29.6,21,16,0,7
Groton-Dunstable,6730000,210,168,80,11.9,75.2,37.6,12.9,0.5,7
Hadley,1170000,39,29,74.4,25.6,66.7,43.6,23.1,0,5
Hamilton-Wenham,6750000,146,114,78.1,8.2,73.3,30.1,28.8,0,19
Hampden Charter School of Science East (District),4990000,25,13,52,12,48,28,24,0,0
Hampden-Wilbraham,6800000,283,177,62.5,7.4,60.4,24,12.7,0.4,2
Hampshire,6830000,97,74,76.3,3.1,51.5,52.6,11.3,0,10
Hanover,1220000,230,228,99.1,78.3,86.1,73,53.9,27,76
Harvard,1250000,109,95,87.2,2.8,87.2,31.2,22.9,0,6
Hatfield,1270000,28,16,57.1,10.7,53.6,28.6,14.3,0,0
Haverhill,1280000,408,161,39.5,2.2,32.6,10.3,10.8,0,3
Hingham,1310000,303,301,99.3,40.3,96.4,78.5,37.6,1,47
Holbrook,1330000,66,63,95.5,71.2,93.9,24.2,57.6,21.2,52
Holliston,1360000,187,140,74.9,13.4,68.4,29.9,24.1,0,13
Holyoke,1370000,372,138,37.1,15.3,28.8,10.2,13.7,0,1
Hopedale,1380000,85,55,64.7,2.4,61.2,18.8,24.7,1.2,6
Hopkinton,1390000,281,211,75.1,16,59.8,38.1,36.7,11,12
Hudson,1410000,187,94,50.3,18.2,44.4,11.2,16,0,5
Hull,1420000,76,53,69.7,14.5,57.9,22.4,50,0,0
Innovation Academy Charter (District),4350000,84,51,60.7,15.5,50,22.6,11.9,0,12
Ipswich,1440000,119,67,56.3,12.6,47.9,20.2,25.2,0,9
KIPP Academy Lynn Charter (District),4290000,104,77,74,46.2,64.4,14.4,7.7,0,11
King Philip,6900000,350,246,70.3,22.9,69.7,9.7,27.4,0.6,7
Lawrence,1490000,811,472,58.2,4.9,41.2,31.4,5.7,0.7,1
Lee,1500000,57,32,56.1,35.1,43.9,22.8,5.3,0,14
Leicester,1510000,114,60,52.6,14.9,46.5,0.9,17.5,0,1
Lenox,1520000,55,43,78.2,0,74.5,41.8,0,0,24
Leominster,1530000,509,325,63.9,13.2,36,23.2,15.9,0.4,37
Lexington,1550000,580,501,86.4,0,82.9,41.2,41,0.9,15
Lincoln-Sudbury,6950000,386,324,83.9,0,83.4,15.5,0,0.8,7
Littleton,1580000,112,110,98.2,72.3,92,62.5,67.9,0,36
Longmeadow,1590000,241,182,75.5,16.2,63.9,56.8,23.7,3.3,16
Lowell,1600000,811,523,64.5,10.4,38.1,40.6,16.9,0,1
Lowell Middlesex Academy Charter (District),4580000,31,6,19.4,19.4,0,0,0,0,0
Ludlow,1610000,208,82,39.4,9.6,29.3,23.1,10.6,0,1
Lunenburg,1620000,101,64,63.4,32.7,39.6,17.8,49.5,1,1
Lynn,1630000,"1,060",565,53.3,11,51.1,14.8,13.1,0.9,8
Lynnfield,1640000,167,148,88.6,26.9,86.8,23.4,40.1,0,9
MATCH Charter Public School (District),4690000,69,51,73.9,37.7,26.1,37.7,36.2,1.4,41
Ma Academy for Math and Science,4680000,48,48,100,47.9,100,33.3,37.5,10.4,38
Malden,1650000,444,232,52.3,4.7,41.2,19.6,18.9,1.1,3
Manchester Essex Regional,6980000,85,67,78.8,5.9,64.7,57.6,41.2,0,11
Mansfield,1670000,307,182,59.3,9.1,49.5,15.3,19.9,1.6,3
Marblehead,1680000,232,162,69.8,6.5,54.7,31.9,0,0,3
Marlborough,1700000,302,281,93,70.9,76.2,52.6,47.4,3,39
Marshfield,1710000,328,256,78,9.5,61.6,39.6,22,0.9,4
Martha's Vineyard,7000000,159,87,54.7,14.5,47.2,13.8,15.7,2.5,9
Martha's Vineyard Charter (District),4660000,10,10,100,0,50,90,0,0,0
Masconomet,7050000,280,226,80.7,4.6,78.6,27.9,22.9,1.1,9
Mashpee,1720000,110,72,65.5,19.1,63.6,25.5,17.3,1.8,3
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,42,6,14.3,4.8,11.9,0,0,0,0
Maynard,1740000,89,56,62.9,13.5,56.2,13.5,16.9,0,3
Medfield,1750000,202,184,91.1,6.4,88.6,10.4,58.9,0.5,4
Medford,1760000,352,194,55.1,12.5,51.1,6,15.3,0,9
Medway,1770000,190,179,94.2,15.3,93.2,14.2,36.3,0,16
Melrose,1780000,240,168,70,19.6,65.4,24.6,27.9,0,17
Mendon-Upton,7100000,142,107,75.4,13.4,62,29.6,26.1,0.7,7
Methuen,1810000,516,245,47.5,7,43,9.7,16.9,0,1
Middleborough,1820000,172,157,91.3,52.9,82.6,48.3,47.1,9.3,40
Milford,1850000,267,150,56.2,9,50.6,18.4,18.7,0.4,2
Millbury,1860000,106,106,100,84.9,84,59.4,65.1,40.6,98
Millis,1870000,102,71,69.6,9.8,64.7,8.8,20.6,1,24
Milton,1890000,241,167,69.3,20.3,52.3,29,35.7,3.3,15
Minuteman Regional Vocational Technical,8300000,166,89,53.6,8.4,41.6,30.1,16.9,0.6,4
Mohawk Trail,7170000,66,28,42.4,15.2,36.4,6.1,12.1,0,0
Monomoy Regional School District,7120000,127,58,45.7,18.9,35.4,11.8,17.3,0,6
Monson,1910000,72,41,56.9,33.3,51.4,11.1,8.3,1.4,0
Montachusett Regional Vocational Technical,8320000,369,190,51.5,29.8,50.9,29.8,28.7,1.9,29
Mount Greylock,7150000,83,58,69.9,19.3,68.7,14.5,47,1.2,4
Mystic Valley Regional Charter (District),4700000,86,82,95.3,66.3,83.7,80.2,74.4,2.3,53
Nantucket,1970000,142,78,54.9,12,54.2,7.7,5.6,0,11
Narragansett,7200000,84,67,79.8,14.3,76.2,17.9,19,0,5
Nashoba,7250000,239,199,83.3,6.3,82,36.4,50.6,0.8,7
Nashoba Valley Regional Vocational Technical,8520000,192,127,66.1,39.6,65.6,24,22.4,11.5,19
Natick,1980000,389,264,67.9,7.7,59.6,19.5,43.2,0,11
Nauset,6600000,219,134,61.2,6.4,48.9,32.9,26.9,9.1,0
Needham,1990000,424,365,86.1,21.7,84.2,15.1,32.8,0.7,9
New Bedford,2010000,459,105,22.9,8.3,20,5.2,1.3,0.4,3
Newburyport,2040000,178,106,59.6,12.9,47.8,19.7,16.9,2.8,2
Newton,2070000,"1,010",693,68.6,7.1,55.9,20.5,29.6,1.2,4
Norfolk County Agricultural,9150000,90,35,38.9,0,38.9,0,0,0,8
North Adams,2090000,67,40,59.7,56.7,32.8,19.4,16.4,0,1
North Andover,2110000,374,216,57.8,5.6,54,15.2,26.7,1.9,4
North Attleborough,2120000,298,149,50,8.1,45,14.1,19.5,0,6
North Brookfield,2150000,34,19,55.9,26.5,52.9,2.9,14.7,0,0
North Middlesex,7350000,173,79,45.7,0,37.6,24.9,8.1,0,1
North Reading,2170000,186,114,61.3,15.1,50,19.9,27.4,0,3
Northampton,2100000,204,162,79.4,43.1,71.6,26.5,25.5,0,2
Northampton-Smith Vocational Agricultural,4060000,150,75,50,31.3,44.7,30,19.3,0,31
Northboro-Southboro,7300000,336,221,65.8,13.7,55.7,14.3,42.3,3.3,7
Northbridge,2140000,141,76,53.9,11.3,44.7,17,21.3,1.4,6
Northeast Metropolitan Regional Vocational Technical,8530000,310,245,79,55.8,65.2,45.8,33.5,0,40
Northern Berkshire Regional Vocational Technical,8510000,141,141,100,86.5,88.7,83,87.2,0,60
Norton,2180000,206,106,51.5,0,49,7.3,14.6,0.5,0
Norwell,2190000,171,164,95.9,10.5,94.2,14,44.4,3.5,8
Norwood,2200000,238,236,99.2,49.6,93.3,67.6,60.5,13.4,49
Old Colony Regional Vocational Technical,8550000,149,85,57,36.2,57,36.2,21.5,0,36
Old Rochester,7400000,180,138,76.7,17.2,73.3,26.1,22.8,0,4
Oxford,2260000,111,47,42.3,9,35.1,5.4,15.3,5.4,0
Palmer,2270000,95,62,65.3,15.8,58.9,29.5,9.5,0,1
Pathfinder Regional Vocational Technical,8600000,171,81,47.4,24.6,43.3,20.5,14.6,0,17
Paulo Freire Social Justice Charter School (District),35010000,64,20,31.3,15.6,26.6,1.6,12.5,3.1,8
Peabody,2290000,367,142,38.7,0,29.7,10.9,11.2,0,2
Pembroke,2310000,255,184,72.2,6.7,68.2,12.9,22,0,17
Pentucket,7450000,160,111,69.4,6.3,66.3,23.8,21.9,1.3,13
Phoenix Academy Public Charter High School Springfield (District),35080000,12,0,0,0,0,0,0,0,0
Phoenix Charter Academy (District),4930000,15,0,0,0,0,0,0,0,0
Pioneer Charter School of Science (District),4940000,38,24,63.2,7.9,63.2,7.9,2.6,0,13
Pioneer Charter School of Science II (PCSS-II) (District),35060000,39,34,87.2,28.2,76.9,43.6,28.2,0,10
Pioneer Valley,7500000,65,56,86.2,16.9,86.2,23.1,36.9,0,11
Pioneer Valley Chinese Immersion Charter (District),4970000,12,12,100,100,100,100,100,0,100
Pioneer Valley Performing Arts Charter Public (District),4790000,38,16,42.1,2.6,36.8,5.3,2.6,2.6,0
Pittsfield,2360000,359,180,50.1,18.1,39.6,12.8,14.8,1.7,10
Plymouth,2390000,588,395,67.2,8.5,63.3,21.3,20.2,1.4,7
Prospect Hill Academy Charter (District),4870000,64,57,89.1,29.7,62.5,32.8,40.6,0,31
Quabbin,7530000,152,145,95.4,94.7,51.3,11.2,19.1,5.9,11
Quaboag Regional,7780000,92,45,48.9,29.3,35.9,22.8,25,1.1,0
Quincy,2430000,751,340,45.3,10,41.7,3.9,15.8,0.5,6
Ralph C Mahar,7550000,126,54,42.9,4.8,30.2,28.6,4.8,0,0
Randolph,2440000,178,77,43.3,20.8,35.4,20.2,2.2,0,8
Reading,2460000,300,179,59.7,0.7,58.7,19.3,10.3,1.3,13
