2017-18 Class Size by Race/Ethnicity Report ,,,,,,,,
District Name,District Code,%_class_aa,%class_asian,%_class_hispanic,%_class_white,%_class_native,%_class_islander,%_class_multirace
Tisbury,2960000,3.1,0.6,27.7,59.1,2.2,0,7.2
Topsfield,2980000,0.6,1.6,1.7,93.1,0.6,0,2.3
Tri-County Regional Vocational Technical,8780000,0.5,0.7,5.2,89.2,0.2,0.1,4.1
Triton,7730000,1,1.7,2.8,92.4,0.1,0.2,1.8
Truro,3000000,6.6,0,12.3,67,0,0,14.2
Tyngsborough,3010000,3.5,6.2,4.6,82.4,0.2,0,3.1
UP Academy Charter School of Boston (District),4800000,44.6,7.7,41.3,3.4,0.2,0.6,2.2
UP Academy Charter School of Dorchester (District),35050000,55.3,1.1,40,1.1,0.3,0.3,2
Up-Island Regional,7740000,1,0.8,5.8,80.9,4,0,7.5
Upper Cape Cod Regional Vocational Technical,8790000,4.3,2.2,2,86.4,0.4,0,4.6
Uxbridge,3040000,1.4,1.4,4,90.7,0.3,0.1,2
Veritas Preparatory Charter School (District),4980000,17.2,0.6,76.3,4.2,0,0,1.6
Wachusett,7750000,2.1,3,5.1,87.2,0.1,0.1,2.3
Wakefield,3050000,2.6,3.3,6.4,84.3,0.2,0.3,3
Wales,3060000,1.9,0.6,3.1,90.6,0.6,0,3.1
Walpole,3070000,3.5,6.1,5.4,82.2,0.3,0,2.5
Waltham,3080000,9.9,5.5,39.7,42.4,0.1,0.1,2.4
Ware,3090000,1.8,0.6,6.9,86.2,0.1,0.2,4.1
Wareham,3100000,8.3,1,7.3,71.5,1.2,0.1,10.6
Watertown,3140000,3.9,8.3,15.9,65.9,0.5,0.1,5.3
Wayland,3150000,5.2,15.8,4.3,68.9,0,0.3,5.5
Webster,3160000,4.5,2.1,26.5,60,0.2,0.2,6.6
Wellesley,3170000,4.1,13.7,4.9,70.5,0,0,6.6
Wellfleet,3180000,1.7,1.7,5.8,82.6,0,0,8.3
West Boylston,3220000,2.5,2,9.8,81.1,0.1,0,4.6
West Bridgewater,3230000,4.5,1.1,3.3,86.6,0.2,0.2,4.1
West Springfield,3320000,3.8,7.8,19.5,66.2,0,0,2.7
Westborough,3210000,2,32.6,6.1,56.1,0.1,0.1,3
Westfield,3250000,2.2,3.3,14.6,77.8,0.1,0,2
Westford,3260000,1,25.8,1.7,67.9,0.1,0,3.6
Westhampton,3270000,0,0.8,4.8,92.7,0,0,1.6
Weston,3300000,6.4,16.3,6.4,65.6,0.2,0,5
Westport,3310000,0.3,0.7,2.8,91.5,0.3,0,4.4
Westwood,3350000,2.4,9.7,3.5,81.1,0,0,3.3
Weymouth,3360000,6.3,6,9.2,74.4,0.2,0.1,3.9
Whately,3370000,0.7,0.7,5.1,91.2,0,0,2.2
Whitman-Hanson,7800000,2.4,1.2,4.4,89.1,0.4,0.1,2.5
Whittier Regional Vocational Technical,8850000,1.4,1,19.1,75,0.2,0,3.3
Williamsburg,3400000,1.8,1.2,5.4,91.6,0,0,0
Williamstown,3410000,1.8,3.1,6.2,81.1,0,0,7.9
Wilmington,3420000,1.8,4.9,4.3,85.7,0.1,0.1,3.1
Winchendon,3430000,1.6,2.4,6.6,85.2,0.2,0.1,3.8
Winchester,3440000,1.1,17.2,3.4,72.9,0.1,0,5.2
Winthrop,3460000,1.3,1.1,15.2,80.3,0.2,0,1.8
Woburn,3470000,7.4,7.1,9.8,72.3,0.5,0.2,2.8
Worcester,3480000,16.2,7,42.8,29.6,0.2,0,4.1
Worthington,3490000,0,0,3.2,90.5,3.2,0,3.2
Wrentham,3500000,1.6,3.1,4.4,86,0.3,0.1,4.5
State Totals,0,9.2,6.9,20.5,59.5,0.2,0.1,3.6
