2017-18 Class Size by Race/Ethnicity Report ,,,,,,,,
District Name,District Code,%_class_aa,%class_asian,%_class_hispanic,%_class_white,%_class_native,%_class_islander,%_class_multirace
City on a Hill Charter Public School New Bedford (District),35070000,12.9,1.4,48.4,32.7,0,0,4.6
Clarksburg,630000,0,0.5,1,93.2,0,0,5.2
Clinton,640000,3.8,1.5,25,67.7,0.1,0.1,1.9
Codman Academy Charter Public (District),4380000,77.9,0,20,0.3,0.3,0.6,0.9
Cohasset,650000,2.9,2.4,1.2,92.1,0.2,0,1.2
Collegiate Charter School of Lowell (District),35030000,18.7,24.1,36.7,15.3,0.1,0,5.1
Community Charter School of Cambridge (District),4360000,63.1,4.2,22.3,5.4,0.8,0,4.2
Community Day Charter Public School - Gateway (District),4260000,1.3,0.6,95.6,2.5,0,0,0
Community Day Charter Public School - Prospect (District),4400000,0.5,0.5,96.3,2.8,0,0,0
Community Day Charter Public School - R. Kingman Webster (District),4310000,1.3,1.3,93.4,4.1,0,0,0
Concord,670000,4.1,6.7,6.3,76.4,0.2,0,6.3
Concord-Carlisle,6400000,4.2,8.8,4.5,78.7,0,0,3.9
Conservatory Lab Charter (District),4390000,48,2.5,38.2,8.5,0,0,2.9
Conway,680000,0.7,0,4.3,93.6,0,0,1.4
Danvers,710000,2.2,2.7,7.4,85,0.2,0.1,2.6
Dartmouth,720000,1.5,0.5,3.8,88.3,0,0,5.9
Dedham,730000,7.3,2.7,15.9,69.8,0.2,0,4
Deerfield,740000,0.2,1,6.1,86.1,0,0,6.6
Dennis-Yarmouth,6450000,9.2,2.4,12.2,67.9,2.1,0.2,6.1
Dighton-Rehoboth,6500000,1.1,1.2,4.5,89.9,0.1,0,3.2
Douglas,770000,0.2,1.2,3.5,92.6,0,0.2,2.3
Dover,780000,3.8,15.9,3.8,72.3,0,0.2,4
Dover-Sherborn,6550000,2.3,8.6,3.2,81.4,0.2,0,4.3
Dracut,790000,6.2,6.1,8.7,76.9,0.2,0.1,1.8
Dudley Street Neighborhood Charter School (District),4070000,62.2,0,35.3,1,0,0,1.4
Dudley-Charlton Reg,6580000,1.6,1.2,8.2,86,0.2,0.1,2.7
Duxbury,820000,0.3,1.4,2.3,92.9,0.1,0,3
East Bridgewater,830000,3.1,0.7,2.1,91,0.4,0.1,2.6
East Longmeadow,870000,3.1,5.3,7.4,81.5,0.2,0.1,2.4
Eastham,850000,6.4,2.7,2.7,85.6,0.5,0,2.1
Easthampton,860000,1.3,3.9,12.9,78.7,0.3,0.1,2.8
Easton,880000,5.9,3.2,5.2,82.3,0.3,0.1,3.1
Edgartown,890000,3.1,0.3,20.3,69.6,2.2,0,4.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,42.5,1.9,48.3,3.9,0.3,0,3.1
Erving,910000,0.7,0,4.2,84.7,0,0,10.4
Essex North Shore Agricultural and Technical School District,8170000,1.2,1.5,11.5,82.4,0.3,0.1,3.1
Everett,930000,16.7,5,52.4,23.8,0.4,0.1,1.6
Excel Academy Charter (District),4100000,6.9,1.4,79.1,10.7,1,0.4,0.5
Fairhaven,940000,1.7,1.8,5.6,86.6,0.6,0,3.6
Fall River,950000,8.1,4,27,52.5,0.2,0.1,8.2
Falmouth,960000,5,2.2,5.9,79.5,1.1,0.1,6.3
Farmington River Reg,6620000,0,0,0.8,98.4,0,0,0.8
Fitchburg,970000,6.1,4.9,50.9,30.9,0,0.1,7.2
Florida,980000,0,1.2,0,98.8,0,0,0
Four Rivers Charter Public (District),4130000,0.4,1.8,7.2,85.7,0.4,0,4.5
Foxborough,990000,4.6,4,5.3,83.2,0.4,0.1,2.4
Foxborough Regional Charter (District),4460000,42.1,10.2,4.9,37.3,0.3,0.1,5.1
Framingham,1000000,7.3,5,27.1,56.6,0.1,0.1,3.8
Francis W. Parker Charter Essential (District),4780000,0.5,1.8,2.8,90.3,0,0,4.8
Franklin,1010000,1.7,5.2,3,87.6,0.1,0.6,1.8
Franklin County Regional Vocational Technical,8180000,1.2,0.2,2.6,95.7,0,0,0.2
Freetown-Lakeville,6650000,1.4,0.9,1.8,93.9,0.1,0.1,1.7
Frontier,6700000,1.8,2.9,4.6,87.8,0,0.2,2.7
Gardner,1030000,2.5,2.1,18.3,69.4,0.2,0,7.4
Gateway,6720000,1,0.4,3.8,92,0.4,0.1,2.4
Georgetown,1050000,0.8,1.2,1.8,94.7,0.1,0.1,1.3
Gill-Montague,6740000,1.1,0.3,11.7,80,0.2,0.2,6.5
Global Learning Charter Public (District),4960000,10.3,0.8,35.8,47.1,0.8,0,5.1
Gloucester,1070000,2,1.4,9.9,82.9,0.3,0.3,3.1
Gosnold,1090000,0,0,0,0,0,0,0
Grafton,1100000,1.3,11.7,4.3,79.3,0.1,0.1,3
Granby,1110000,0.1,2,9.3,85.2,0.4,0,3
Greater Fall River Regional Vocational Technical,8210000,2.3,1.7,9.7,79.6,0.5,0.1,6.1
Greater Lawrence Regional Vocational Technical,8230000,1,1.2,82,15.7,0.1,0,0
Greater Lowell Regional Vocational Technical,8280000,3.8,16.1,32.3,44.2,0.3,0,3.4
