2018 Advanced Course Completion Report (District)  - Hispanic or Latino,,,,,,,,,,,
District Name,District Code,#_11_12_student_hispanic,# _advanced_students_hispanic,%_complete_advanced_hispanic,%_ELA_hispanic,%_math_hispanic,%_science_tech_hispanic,%_history_socialscience_hispanic,%_arts_hispanic,%_other_subjects_hispanic,
Swampscott,02910000,          24,          10,  41.7,   8.3,  41.7,   8.3,  29.2,   0.0,  17.0,
Swansea,02920000,           5,,,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,          60,          10,  16.7,   3.3,  15.0,   0.0,   0.0,   0.0,   0.0,
Tantasqua,07700000,          29,          14,  48.3,  17.2,  37.9,  20.7,   0.0,   6.9,   3.0,
Taunton,02930000,          98,          37,  37.8,   6.1,  34.7,   1.0,  11.2,   0.0,   7.0,
Tewksbury,02950000,          16,           8,  50.0,   0.0,  50.0,   0.0,  18.8,   6.3,   6.0,
Tri-County Regional Vocational Technical,08780000,          21,          11,  52.4,  23.8,  52.4,  23.8,  14.3,   0.0,  14.0,
Triton,07730000,          10,           2,  20.0,   0.0,  10.0,  20.0,   0.0,   0.0,   0.0,
Tyngsborough,03010000,          10,           7,  70.0,  10.0,  60.0,  30.0,   0.0,   0.0,   0.0,
Upper Cape Cod Regional Vocational Technical,08790000,           4,,,,,,,,,
Uxbridge,03040000,          18,           3,  16.7,   0.0,  16.7,  11.1,   0.0,   0.0,   0.0,
Wachusett,07750000,          44,          25,  56.8,   9.1,  56.8,   6.8,  18.2,   4.5,   5.0,
Wakefield,03050000,          11,           4,  36.4,   9.1,  36.4,   9.1,   0.0,   0.0,   9.0,
Walpole,03070000,          32,          17,  53.1,  12.5,  43.8,  15.6,   9.4,   6.3,  13.0,
Waltham,03080000,         264,         119,  45.1,   6.8,  42.8,   4.9,  13.3,   4.9,  11.0,
Ware,03090000,          10,           1,  10.0,   0.0,  10.0,  10.0,   0.0,   0.0,   0.0,
Wareham,03100000,          16,           4,  25.0,  18.8,  25.0,  12.5,   6.3,   0.0,   6.0,
Watertown,03140000,          48,          24,  50.0,   0.0,  50.0,  14.6,   4.2,   0.0,   4.0,
Wayland,03150000,          15,          10,  66.7,   6.7,  46.7,   6.7,   6.7,   6.7,  27.0,
Webster,03160000,          45,          19,  42.2,  13.3,  22.2,  17.8,   6.7,   0.0,   2.0,
Wellesley,03170000,          35,          23,  65.7,   0.0,  62.9,  42.9,  11.4,   0.0,  29.0,
West Boylston,03220000,           7,           1,  14.3,   0.0,  14.3,   0.0,  14.3,   0.0,   0.0,
West Bridgewater,03230000,           2,,,,,,,,,
West Springfield,03320000,          91,          30,  33.0,  16.5,  23.1,   4.4,  14.3,   0.0,   0.0,
Westborough,03210000,          25,           9,  36.0,   0.0,  36.0,   4.0,   8.0,   0.0,   4.0,
Westfield,03250000,          82,          35,  42.7,  13.4,  26.8,   8.5,  12.2,   0.0,  10.0,
Westford,03260000,           9,           3,  33.3,  11.1,  33.3,   0.0,  22.2,   0.0,  11.0,
Weston,03300000,          22,          16,  72.7,   0.0,  72.7,   0.0,  45.5,   0.0,  14.0,
Westport,03310000,           5,,,,,,,,,
Westwood,03350000,          10,           5,  50.0,  20.0,  40.0,  10.0,  40.0,   0.0,   0.0,
Weymouth,03360000,          69,          68,  98.6,  75.4,  85.5,  69.6,  52.2,  23.2,  57.0,
Whitman-Hanson,07800000,          17,           8,  47.1,  29.4,  29.4,  23.5,  29.4,   0.0,   0.0,
Whittier Regional Vocational Technical,08850000,         112,          68,  60.7,  40.2,  60.7,  39.3,  39.3,  12.5,  39.0,
Wilmington,03420000,          17,          12,  70.6,  11.8,  64.7,   5.9,  17.6,   0.0,  12.0,
Winchendon,03430000,          12,           2,  16.7,   8.3,  16.7,   0.0,   8.3,   0.0,   0.0,
Winchester,03440000,          27,          27, 100.0,  74.1,  88.9,  81.5,  55.6,  22.2,  96.0,
Winthrop,03460000,          39,          28,  71.8,  15.4,  69.2,  15.4,  10.3,   0.0,   0.0,
Woburn,03470000,          79,          41,  51.9,   3.8,  36.7,  27.8,  12.7,   0.0,   3.0,
Worcester,03480000,"       1,408",         696,  49.4,   9.7,  34.0,  12.1,   9.4,   1.8,  11.0,
State Totals,00000000,"      24,205","      12,219",  50.5,  14.4,  40.8,  17.1,  12.3,   2.0,  11.0,
