2018 Advanced Course Completion Report (District)  - Hispanic or Latino,,,,,,,,,,,
District Name,District Code,#_11_12_student_hispanic,# _advanced_students_hispanic,%_complete_advanced_hispanic,%_ELA_hispanic,%_math_hispanic,%_science_tech_hispanic,%_history_socialscience_hispanic,%_arts_hispanic,%_other_subjects_hispanic,
City on a Hill Charter Public School New Bedford (District),35070000,          27,          12,  44.4,   0.0,  44.4,   0.0,  14.8,   0.0,   0.0,
Clinton,00640000,          61,          18,  29.5,  19.7,  21.3,   4.9,   1.6,   0.0,   2.0,
Codman Academy Charter Public (District),04380000,          14,           9,  64.3,  42.9,  57.1,  42.9,   0.0,   0.0,  36.0,
Cohasset,00650000,           2,,,,,,,,,
Community Charter School of Cambridge (District),04360000,          24,          18,  75.0,  12.5,  54.2,  29.2,  20.8,   0.0,  33.0,
Concord-Carlisle,06400000,          31,          23,  74.2,   0.0,  64.5,  29.0,   0.0,   6.5,  19.0,
Danvers,00710000,          24,          13,  54.2,  20.8,  37.5,  20.8,  25.0,   0.0,   8.0,
Dartmouth,00720000,          15,           8,  53.3,  13.3,  40.0,   6.7,  26.7,   0.0,   0.0,
Dedham,00730000,          44,          18,  40.9,   6.8,  36.4,  11.4,  18.2,   0.0,   5.0,
Dennis-Yarmouth,06450000,          55,          11,  20.0,  12.7,   7.3,   7.3,  12.7,   0.0,   7.0,
Dighton-Rehoboth,06500000,          17,          11,  64.7,   5.9,  58.8,   5.9,   5.9,   5.9,   6.0,
Douglas,00770000,           5,,,,,,,,,
Dover-Sherborn,06550000,           7,           7, 100.0,  71.4,  85.7,  57.1,  71.4,  42.9,  86.0,
Dracut,00790000,          29,          12,  41.4,   0.0,  37.9,   3.4,  17.2,   0.0,  10.0,
Dudley-Charlton Reg,06580000,          34,          14,  41.2,   5.9,  26.5,  23.5,   5.9,   0.0,   9.0,
Duxbury,00820000,          10,          10, 100.0,  90.0, 100.0,  70.0,  50.0,   0.0,  50.0,
East Bridgewater,00830000,           3,,,,,,,,,
East Longmeadow,00870000,          20,           8,  40.0,  10.0,  30.0,  25.0,  10.0,   0.0,  10.0,
Easthampton,00860000,          26,           9,  34.6,  34.6,  15.4,   0.0,   0.0,   0.0,   0.0,
Easton,00880000,          35,          20,  57.1,   0.0,  48.6,  28.6,  11.4,   0.0,   3.0,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,          79,          67,  84.8,  35.4,  67.1,  11.4,  11.4,   0.0,   0.0,
Essex North Shore Agricultural and Technical School District,08170000,          75,          48,  64.0,  28.0,  50.7,  36.0,  29.3,   0.0,  24.0,
Everett,00930000,         443,         186,  42.0,   6.1,  29.8,   5.0,   9.0,   0.0,  14.0,
Excel Academy Charter (District),04100000,          72,          55,  76.4,  23.6,  65.3,  23.6,  13.9,   6.9,  40.0,
Fairhaven,00940000,          17,           6,  35.3,   0.0,  35.3,   0.0,   0.0,   0.0,   0.0,
Fall River,00950000,         255,          55,  21.6,   2.7,  19.2,   4.3,   2.0,   0.4,   2.0,
Falmouth,00960000,          22,          10,  45.5,  13.6,  45.5,   9.1,  13.6,   0.0,   5.0,
Fitchburg,00970000,         350,         244,  69.7,  26.3,  52.3,  42.0,  39.7,  22.9,  24.0,
Four Rivers Charter Public (District),04130000,           3,,,,,,,,,
Foxborough,00990000,           8,           3,  37.5,  12.5,  25.0,  12.5,  12.5,   0.0,  25.0,
Foxborough Regional Charter (District),04460000,           6,           6, 100.0,  16.7, 100.0,  33.3,  50.0,   0.0,   0.0,
Framingham,01000000,         228,         130,  57.0,   2.6,  27.6,  32.5,   4.8,   0.0,  14.0,
Francis W. Parker Charter Essential (District),04780000,           3,,,,,,,,,
Franklin,01010000,          17,          17, 100.0,  64.7,  88.2,  41.2,  58.8,  41.2,  59.0,
Franklin County Regional Vocational Technical,08180000,           9,           3,  33.3,  22.2,  22.2,  11.1,  11.1,  11.1,  22.0,
Freetown-Lakeville,06650000,           7,           6,  85.7,  42.9,  57.1,  42.9,  28.6,   0.0,   0.0,
Frontier,06700000,          10,           5,  50.0,  10.0,  50.0,  10.0,  10.0,   0.0,   0.0,
Gardner,01030000,          34,          19,  55.9,   8.8,  55.9,  20.6,   0.0,   0.0,   0.0,
Gateway,06720000,           4,,,,,,,,,
Georgetown,01050000,           6,           1,  16.7,   0.0,  16.7,   0.0,  16.7,   0.0,   0.0,
Gill-Montague,06740000,          10,           3,  30.0,  20.0,  30.0,   0.0,   0.0,   0.0,  10.0,
Global Learning Charter Public (District),04960000,          18,          14,  77.8,   0.0,  55.6,  50.0,   0.0,   0.0,   0.0,
Gloucester,01070000,          28,           9,  32.1,   3.6,  28.6,   7.1,   0.0,   0.0,   4.0,
Grafton,01100000,          11,           5,  45.5,  27.3,  18.2,  27.3,   9.1,   0.0,  18.0,
Granby,01110000,           8,           5,  62.5,  25.0,  62.5,  12.5,   0.0,   0.0,   0.0,
Greater Fall River Regional Vocational Technical,08210000,          62,          33,  53.2,  43.5,  53.2,  41.9,  41.9,   1.6,  44.0,
Greater Lawrence Regional Vocational Technical,08230000,         555,         343,  61.8,  23.2,  51.5,  46.3,  18.7,   0.0,  19.0,
Greater Lowell Regional Vocational Technical,08280000,         336,         324,  96.4,  86.9,  91.4,  53.3,  31.5,   0.6,  32.0,
Greater New Bedford Regional Vocational Technical,08250000,         221,         176,  79.6,  37.6,  56.1,  53.4,  64.3,   0.0,  16.0,
Greenfield,01140000,          29,           8,  27.6,  13.8,  20.7,   6.9,   3.4,   0.0,   7.0,
Groton-Dunstable,06730000,           4,,,,,,,,,
Hadley,01170000,           8,           5,  62.5,  37.5,  37.5,  12.5,  12.5,   0.0,   0.0,
Hamilton-Wenham,06750000,           9,           7,  77.8,   0.0,  77.8,  22.2,  11.1,   0.0,  33.0,
Hampden Charter School of Science East (District),04990000,          22,          17,  77.3,   9.1,  31.8,  31.8,  45.5,   0.0,   0.0,
Hampden-Wilbraham,06800000,          34,          17,  50.0,  17.6,  41.2,   2.9,  17.6,   0.0,   9.0,
Hampshire,06830000,           4,,,,,,,,,
Hanover,01220000,           3,,,,,,,,,
Harvard,01250000,           8,           7,  87.5,  12.5,  87.5,  50.0,  25.0,   0.0,  50.0,
Hatfield,01270000,           1,,,,,,,,,
Haverhill,01280000,         229,          63,  27.5,   0.0,  21.0,   7.4,   2.2,   0.0,   1.0,
Hingham,01310000,          13,          12,  92.3,  61.5,  92.3,  84.6,  53.8,   0.0,  31.0,
Holbrook,01330000,          17,          17, 100.0,  70.6, 100.0,  41.2,  41.2,   5.9,  53.0,
Holliston,01360000,           9,           6,  66.7,   0.0,  66.7,  22.2,  22.2,   0.0,  11.0,
Holyoke,01370000,         510,         164,  32.2,  14.9,  22.9,   8.4,   9.6,   0.0,   2.0,
Hopedale,01380000,           4,,,,,,,,,
Hopkinton,01390000,          18,          11,  61.1,  11.1,  44.4,  11.1,  22.2,  11.1,  11.0,
Hudson,01410000,          30,           5,  16.7,   3.3,  13.3,   6.7,   3.3,   0.0,   7.0,
Hull,01420000,           4,,,,,,,,,
Innovation Academy Charter (District),04350000,          14,           7,  50.0,  21.4,  42.9,  14.3,  35.7,   0.0,   0.0,
Ipswich,01440000,           9,           6,  66.7,   0.0,  55.6,  22.2,  33.3,   0.0,   0.0,
KIPP Academy Lynn Charter (District),04290000,         137,         110,  80.3,  58.4,  63.5,  23.4,   5.1,   0.0,  14.0,
King Philip,06900000,           8,           6,  75.0,  12.5,  62.5,  12.5,  25.0,   0.0,  13.0,
Lawrence,01490000,"       1,532",         946,  61.7,   5.4,  45.4,  30.6,   7.0,   1.0,   3.0,
Lee,01500000,           6,           3,  50.0,  16.7,  50.0,  16.7,   0.0,   0.0,   0.0,
Leicester,01510000,           9,           5,  55.6,   0.0,  55.6,  11.1,   0.0,   0.0,   0.0,
Lenox,01520000,          12,           9,  75.0,   0.0,  66.7,  33.3,   0.0,   0.0,  17.0,
Leominster,01530000,         251,         115,  45.8,   8.8,  18.7,  10.8,   8.4,   0.4,  32.0,
Lexington,01550000,          43,          32,  74.4,   0.0,  74.4,  20.9,  18.6,   0.0,  14.0,
Lincoln-Sudbury,06950000,          36,          26,  72.2,   0.0,  72.2,   8.3,   0.0,   5.6,   6.0,
Littleton,01580000,           5,,,,,,,,,
Longmeadow,01590000,          19,          11,  57.9,   5.3,  31.6,  52.6,   0.0,   5.3,  11.0,
Lowell,01600000,         395,         200,  50.6,   7.1,  22.3,  34.4,   7.6,   0.0,   8.0,
Lowell Middlesex Academy Charter (District),04580000,          17,           5,  29.4,  29.4,   0.0,   0.0,   0.0,   0.0,   0.0,
Ludlow,01610000,          42,          14,  33.3,   7.1,  23.8,   4.8,  11.9,   0.0,   0.0,
Lunenburg,01620000,           8,           2,  25.0,   0.0,  25.0,   0.0,  25.0,   0.0,   0.0,
Lynn,01630000,"       1,139",         577,  50.7,  10.7,  48.6,  13.3,   9.7,   0.9,  10.0,
Lynnfield,01640000,          20,          15,  75.0,   5.0,  70.0,   5.0,  25.0,   0.0,  10.0,
MATCH Charter Public School (District),04690000,          59,          52,  88.1,  44.1,  22.0,  47.5,  39.0,   0.0,  69.0,
Ma Academy for Math and Science,04680000,           3,,,,,,,,,
Malden,01650000,         223,         104,  46.6,   9.0,  31.8,   7.6,  15.2,   0.9,   6.0,
Manchester Essex Regional,06980000,           1,,,,,,,,,
Mansfield,01670000,          22,          13,  59.1,  13.6,  50.0,   9.1,  22.7,   0.0,   0.0,
Marblehead,01680000,          33,          18,  54.5,   0.0,  30.3,  42.4,   0.0,   0.0,   3.0,
Marlborough,01700000,         259,         249,  96.1,  82.2,  83.0,  62.5,  60.2,   1.5,  41.0,
Marshfield,01710000,          18,          15,  83.3,  11.1,  66.7,  33.3,   5.6,   0.0,  17.0,
Martha's Vineyard,07000000,          35,          11,  31.4,   8.6,  22.9,   0.0,   5.7,   0.0,   6.0,
Martha's Vineyard Charter (District),04660000,           1,,,,,,,,,
Masconomet,07050000,          15,           9,  60.0,   0.0,  60.0,   0.0,  20.0,   6.7,   0.0,
Mashpee,01720000,           9,           7,  77.8,  11.1,  66.7,  22.2,  11.1,   0.0,  11.0,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,          17,           1,   5.9,   5.9,   0.0,   0.0,   0.0,   0.0,   0.0,
Maynard,01740000,          27,          10,  37.0,  11.1,  29.6,  11.1,   3.7,   0.0,   4.0,
Medfield,01750000,           6,           4,  66.7,   0.0,  66.7,   0.0,   0.0,  16.7,   0.0,
Medford,01760000,          79,          37,  46.8,  12.7,  43.0,   3.8,  11.4,   0.0,   4.0,
Medway,01770000,          13,          11,  84.6,  15.4,  84.6,  23.1,  15.4,   0.0,   8.0,
Melrose,01780000,          19,          13,  68.4,  10.5,  63.2,   5.3,  15.8,   0.0,  37.0,
Mendon-Upton,07100000,           9,           4,  44.4,  11.1,  33.3,  22.2,  11.1,  11.1,   0.0,
Methuen,01810000,         329,         131,  39.8,   6.4,  31.9,   5.8,  13.7,   0.3,   5.0,
Middleborough,01820000,          15,          12,  80.0,  66.7,  66.7,  40.0,  33.3,  13.3,  20.0,
Milford,01850000,         146,          69,  47.3,   5.5,  41.8,   8.2,   7.5,   2.1,   4.0,
Millbury,01860000,          13,          13, 100.0,  84.6,  76.9,  38.5,  53.8,  53.8, 100.0,
Millis,01870000,           9,           7,  77.8,  11.1,  77.8,  11.1,  22.2,  22.2,  22.0,
Milton,01890000,          19,          13,  68.4,  31.6,  42.1,  10.5,  47.4,   5.3,  16.0,
Minuteman Regional Vocational Technical,08300000,          24,          12,  50.0,   0.0,  50.0,  12.5,   0.0,   0.0,   0.0,
Mohawk Trail,07170000,           7,           3,  42.9,  14.3,  28.6,   0.0,  14.3,   0.0,   0.0,
Monomoy Regional School District,07120000,          10,           3,  30.0,  10.0,  20.0,   0.0,  10.0,   0.0,   0.0,
Monson,01910000,           3,,,,,,,,,
Montachusett Regional Vocational Technical,08320000,          90,          36,  40.0,  21.1,  38.9,  20.0,  15.6,   2.2,  16.0,
Mount Greylock,07150000,           3,,,,,,,,,
Mystic Valley Regional Charter (District),04700000,          12,          12, 100.0,  66.7,  91.7,  83.3,  75.0,  16.7,  75.0,
Nantucket,01970000,          66,          22,  33.3,   4.5,  31.8,   3.0,   0.0,   0.0,   8.0,
Narragansett,07200000,          10,           7,  70.0,  10.0,  50.0,  10.0,  30.0,   0.0,   0.0,
Nashoba,07250000,          22,          11,  50.0,   0.0,  45.5,   9.1,  27.3,   0.0,   9.0,
Nashoba Valley Regional Vocational Technical,08520000,          17,          10,  58.8,  23.5,  58.8,   5.9,   5.9,   5.9,   6.0,
Natick,01980000,          44,          20,  45.5,   6.8,  36.4,  18.2,  34.1,   0.0,   9.0,
Nauset,06600000,          21,           9,  42.9,   0.0,  23.8,  28.6,   9.5,   0.0,   0.0,
Needham,01990000,          41,          33,  80.5,  17.1,  80.5,  14.6,  29.3,   2.4,   5.0,
New Bedford,02010000,         411,          89,  21.7,   7.3,  18.0,   4.9,   1.7,   0.2,   5.0,
Newburyport,02040000,          19,           5,  26.3,   5.3,  26.3,  15.8,   0.0,   0.0,   0.0,
Newton,02070000,         159,          79,  49.7,   8.2,  43.4,   8.8,  15.7,   0.0,   5.0,
Norfolk County Agricultural,09150000,          12,           7,  58.3,   0.0,  58.3,   0.0,   0.0,   0.0,  42.0,
North Adams,02090000,          12,           6,  50.0,  50.0,  16.7,  16.7,   8.3,   0.0,   0.0,
North Andover,02110000,          65,          20,  30.8,   1.5,  27.7,   0.0,   4.6,   1.5,   6.0,
North Attleborough,02120000,          35,          16,  45.7,   5.7,  37.1,   8.6,  17.1,   0.0,  14.0,
North Brookfield,02150000,           3,,,,,,,,,
North Middlesex,07350000,           8,           2,  25.0,   0.0,  25.0,  12.5,  12.5,   0.0,   0.0,
North Reading,02170000,           9,           6,  66.7,   0.0,  55.6,  11.1,  33.3,   0.0,   0.0,
Northampton,02100000,          61,          27,  44.3,  16.4,  39.3,   6.6,   6.6,   0.0,   3.0,
Northampton-Smith Vocational Agricultural,04060000,          38,          13,  34.2,  13.2,  28.9,  13.2,   5.3,   0.0,  13.0,
Northboro-Southboro,07300000,          38,          16,  42.1,   7.9,  23.7,   7.9,  21.1,  10.5,   5.0,
Northbridge,02140000,          25,          12,  48.0,  20.0,  48.0,  12.0,  12.0,   0.0,  16.0,
Northeast Metropolitan Regional Vocational Technical,08530000,         177,         155,  87.6,  60.5,  67.2,  48.0,  30.5,   0.0,  42.0,
Northern Berkshire Regional Vocational Technical,08510000,           5,,,,,,,,,
Norton,02180000,           8,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,
Norwell,02190000,          10,           9,  90.0,  10.0,  90.0,  30.0,  50.0,  20.0,   0.0,
Norwood,02200000,          58,          57,  98.3,  55.2,  94.8,  79.3,  74.1,  25.9,  38.0,
Old Colony Regional Vocational Technical,08550000,           4,,,,,,,,,
Old Rochester,07400000,           3,,,,,,,,,
Oxford,02260000,          20,           9,  45.0,   5.0,  40.0,   0.0,  10.0,   0.0,   0.0,
