2017-18 Advanced Placement Performance - All Subjects - High Needs,,,,,,,,,
District Name,District Code,tests_taken_highneeds,score=1_highneeds,score=2_highneeds,score=3_highneeds,score=4_highneeds,score=5_highneeds,%_score_1-2_highneeds,%_score_3-5_highneeds
Excel Academy Charter (District),04100000,      75,       2,      11,      21,      21,      20,  17.3,  82.7
Fairhaven,00940000,      24,       5,       4,      11,       3,       1,  37.5,  62.5
Fall River,00950000,     164,      40,      58,      50,      13,       3,  59.8,  40.2
Falmouth,00960000,      29,       4,       8,       8,       8,       1,  41.4,  58.6
Fitchburg,00970000,     202,     143,      36,      16,       5,       2,  88.6,  11.4
Foxborough,00990000,      45,       3,       6,      17,      10,       9,  20.0,  80.0
Foxborough Regional Charter (District),04460000,      28,       6,      11,       4,       6,       1,  60.7,  39.3
Framingham,01000000,      96,       1,      16,      22,      33,      24,  17.7,  82.3
Francis W. Parker Charter Essential (District),04780000,       1,,,,,,,
Franklin,01010000,      41,       7,      11,       8,       9,       6,  43.9,  56.1
Franklin County Regional Vocational Technical,08180000,      27,      15,      10,       1,       1,       0,  92.6,   7.4
Freetown-Lakeville,06650000,      18,       3,       6,       2,       6,       1,  50.0,  50.0
Frontier,06700000,      19,       2,       5,       7,       3,       2,  36.8,  63.2
Gardner,01030000,      51,      14,      16,       9,      11,       1,  58.8,  41.2
Gateway,06720000,       4,,,,,,,
Georgetown,01050000,      12,       0,       0,       4,       2,       6,    .0, 100.0
Gill-Montague,06740000,       5,,,,,,,
Gloucester,01070000,      36,       7,      10,      11,       6,       2,  47.2,  52.8
Grafton,01100000,      14,       1,       4,       5,       3,       1,  35.7,  64.3
Granby,01110000,       6,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,       9,,,,,,,
Greater Lawrence Regional Vocational Technical,08230000,       3,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      33,       5,      19,       8,       1,       0,  72.7,  27.3
Greater New Bedford Regional Vocational Technical,08250000,      23,       6,       7,       8,       1,       1,  56.5,  43.5
Greenfield,01140000,      35,       5,      10,      14,       3,       3,  42.9,  57.1
Groton-Dunstable,06730000,      16,       1,       2,       6,       4,       3,  18.8,  81.3
Hadley,01170000,       8,,,,,,,
Hamilton-Wenham,06750000,      13,       2,       4,       4,       3,       0,  46.2,  53.8
Hampden Charter School of Science East (District),04990000,      34,       8,      13,       7,       3,       3,  61.8,  38.2
Hampden-Wilbraham,06800000,      14,       1,       0,       3,       7,       3,   7.1,  92.9
Hampshire,06830000,       7,,,,,,,
Hanover,01220000,      24,       1,       4,       7,       7,       5,  20.8,  79.2
Harvard,01250000,      15,       0,       2,       0,       6,       7,  13.3,  86.7
Hatfield,01270000,       3,,,,,,,
Haverhill,01280000,      61,       7,      18,      19,      14,       3,  41.0,  59.0
Hingham,01310000,      12,       1,       2,       2,       3,       4,  25.0,  75.0
Holbrook,01330000,      18,       8,       4,       6,       0,       0,  66.7,  33.3
Holliston,01360000,      22,       1,       6,       9,       6,       0,  31.8,  68.2
Holyoke,01370000,     157,      68,      55,      20,      12,       2,  78.3,  21.7
Hopedale,01380000,       5,,,,,,,
Hopkinton,01390000,      59,       4,       7,       9,      21,      18,  18.6,  81.4
Hudson,01410000,      33,       4,       9,      12,       6,       2,  39.4,  60.6
Hull,01420000,       9,,,,,,,
Innovation Academy Charter (District),04350000,       1,,,,,,,
Ipswich,01440000,       7,,,,,,,
KIPP Academy Lynn Charter (District),04290000,     170,      55,      47,      37,      27,       4,  60.0,  40.0
King Philip,06900000,      59,       4,      13,      16,      16,      10,  28.8,  71.2
Lawrence,01490000,     195,      78,      39,      38,      26,      14,  60.0,  40.0
Lee,01500000,      13,       7,       2,       2,       2,       0,  69.2,  30.8
Leicester,01510000,      23,       9,       8,       5,       1,       0,  73.9,  26.1
