2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Shrewsbury,02710000,         595,         554,  93.1,  11.3,  93.1,  27.4,  26.6,   1.8,   2.0
Silver Lake,07600000,         573,         362,  63.2,  29.8,  54.3,  16.6,  28.6,   0.3,  12.0
Sizer School: A North Central Charter Essential (District),04740000,          58,          20,  34.5,   0.0,  34.5,   0.0,   0.0,   0.0,   0.0
Somerset Berkley Regional School District,07630000,         445,         424,  95.3,  58.7,  63.4,  46.1,  62.2,   7.6,  25.0
Somerville,02740000,         171,         120,  70.2,  31.0,  63.7,  28.1,  35.7,   0.0,   9.0
South Hadley,02780000,         229,         147,  64.2,  34.5,  56.3,  20.5,  26.2,   0.0,   5.0
South Middlesex Regional Vocational Technical,08290000,         149,         100,  67.1,  24.8,  59.1,  31.5,  18.1,   2.0,  23.0
South Shore Charter Public (District),04880000,          73,          49,  67.1,  20.5,  58.9,  19.2,   9.6,   0.0,   0.0
South Shore Regional Vocational Technical,08730000,         285,         126,  44.2,  29.5,  43.9,  30.9,   3.2,   0.0,  29.0
Southbridge,02770000,         106,          56,  52.8,  21.7,  50.0,   2.8,  14.2,   0.0,   2.0
Southeastern Regional Vocational Technical,08720000,         339,         212,  62.5,  38.3,  57.8,  33.6,  31.0,   1.2,  27.0
Southern Berkshire,07650000,          79,          38,  48.1,   0.0,  35.4,  25.3,  13.9,   0.0,   1.0
Southern Worcester County Regional Vocational Technical,08760000,         469,         252,  53.7,  37.5,  49.3,  32.4,  29.6,   0.0,  28.0
Southwick-Tolland-Granville Regional School District,07660000,         222,          88,  39.6,   2.7,  28.8,  15.8,   5.9,   0.0,   9.0
Spencer-E Brookfield,07670000,         138,         111,  80.4,  16.7,  75.4,  13.0,  13.8,   0.0,   1.0
Springfield,02810000,         445,         238,  53.5,  28.3,  41.3,   8.5,  10.8,   5.2,   6.0
Stoneham,02840000,         279,         206,  73.8,  21.9,  65.2,   6.1,  23.3,   0.0,  12.0
Stoughton,02850000,         339,         193,  56.9,  10.0,  55.2,  13.3,  12.7,   0.0,   7.0
Sturgis Charter Public (District),04890000,         320,         320, 100.0,  99.7,  99.4,  96.6, 100.0,  30.9,  93.0
Sutton,02900000,         194,         157,  80.9,  46.9,  74.2,  33.0,  25.3,   0.0,   7.0
Swampscott,02910000,         278,         184,  66.2,  11.5,  61.2,   9.0,  35.6,   3.2,   7.0
Swansea,02920000,         237,         147,  62.0,  44.3,  49.4,  32.5,   0.8,   0.0,  10.0
TEC Connections Academy Commonwealth Virtual School District,39020000,         396,         118,  29.8,   6.8,  25.3,   3.3,   6.3,   0.0,   0.0
Tantasqua,07700000,         522,         318,  60.9,  27.8,  53.3,  28.0,   7.5,   0.8,   1.0
Taunton,02930000,         673,         394,  58.5,  16.5,  53.5,   9.4,  21.1,   0.1,   5.0
Tewksbury,02950000,         433,         301,  69.5,   0.0,  62.8,   5.5,  29.6,   8.3,   1.0
Tri-County Regional Vocational Technical,08780000,         419,         259,  61.8,  29.1,  61.3,  27.4,  22.0,   0.0,  22.0
Triton,07730000,         338,         210,  62.1,   7.4,  53.8,  13.9,  22.5,   4.4,   8.0
Tyngsborough,03010000,         215,         163,  75.8,  14.0,  72.1,  23.3,   2.8,   0.0,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,         292,         197,  67.5,  43.5,  67.5,  42.5,   0.0,   0.0,  42.0
Uxbridge,03040000,         256,         119,  46.5,  16.8,  39.5,  30.9,  12.5,   0.0,   0.0
Wachusett,07750000,         952,         586,  61.6,   7.5,  57.2,   7.2,  23.3,   3.2,   2.0
Wakefield,03050000,         445,         320,  71.9,  34.6,  64.3,  17.1,  23.1,   2.2,   5.0
Walpole,03070000,         497,         291,  58.6,  16.7,  45.1,  27.6,  13.7,   4.4,   7.0
Waltham,03080000,         308,         245,  79.5,  13.6,  76.6,  10.4,  36.4,   2.9,   6.0
Ware,03090000,         120,          65,  54.2,  11.7,  47.5,  26.7,   4.2,   0.0,   0.0
Wareham,03100000,         190,          69,  36.3,  27.9,  30.0,  18.4,   3.7,   0.5,   5.0
Watertown,03140000,         242,         166,  68.6,  10.3,  66.5,  28.1,  11.6,   0.8,   8.0
Wayland,03150000,         290,         254,  87.6,   3.8,  81.7,  12.8,  25.9,   3.1,  19.0
Webster,03160000,         149,          97,  65.1,  40.9,  45.0,  40.9,  18.8,   0.0,   7.0
Wellesley,03170000,         564,         500,  88.7,   0.0,  85.1,  56.2,  16.7,   0.0,  14.0
West Boylston,03220000,         110,          75,  68.2,  14.5,  66.4,  10.9,  10.0,   0.0,   0.0
West Bridgewater,03230000,         181,         181, 100.0,  80.1,  86.2,  83.4,  79.0,  42.0,  99.0
West Springfield,03320000,         423,         191,  45.2,  27.2,  36.6,  15.6,  18.9,   0.0,   1.0
Westborough,03210000,         386,         274,  71.0,   5.4,  68.7,  17.1,  24.1,   3.4,   7.0
Westfield,03250000,         713,         392,  55.0,  19.8,  40.8,  17.5,  18.0,   1.1,   6.0
Westford,03260000,         616,         398,  64.6,   8.6,  56.0,  28.7,  21.1,   4.4,  10.0
Weston,03300000,         232,         147,  63.4,   0.0,  63.4,  14.7,  41.4,   0.0,   5.0
Westport,03310000,         152,          91,  59.9,  25.7,  46.7,  18.4,  11.8,   5.9,   1.0
Westwood,03350000,         452,         316,  69.9,  22.1,  61.9,  11.1,  40.7,   2.2,  12.0
Weymouth,03360000,         778,         774,  99.5,  71.9,  90.0,  65.4,  44.6,  22.9,  46.0
Whitman-Hanson,07800000,         547,         361,  66.0,  37.5,  53.4,  21.4,  31.8,   0.0,   3.0
Whittier Regional Vocational Technical,08850000,         482,         330,  68.5,  49.4,  68.3,  45.6,  45.6,  14.1,  46.0
Wilmington,03420000,         382,         259,  67.8,  16.2,  65.7,  20.2,  18.3,   0.3,   2.0
Winchendon,03430000,         138,          67,  48.6,  30.4,  34.1,  10.9,  21.7,   0.0,   0.0
Winchester,03440000,         474,         473,  99.8,  62.0,  96.6,  87.3,  67.1,  17.9,  99.0
Winthrop,03460000,         206,         177,  85.9,  39.3,  84.0,  32.5,  19.4,   0.0,   0.0
Woburn,03470000,         508,         347,  68.3,   6.5,  58.9,  28.5,  16.5,   0.8,   4.0
Worcester,03480000,         999,         617,  61.8,  17.8,  50.8,  22.9,  18.0,   2.7,   8.0
State Totals,00000000,"      90,697","      63,591",  70.1,  23.4,  61.6,  26.4,  26.3,   3.4,  13.0
