2017-18 Advanced Placement Performance - All Subjects - Female,,,,,,,,,
District Name,District Code,tests_taken_female,score=1_female,score=2_female,score=3_female,score=4_female,score=5_female,%_score_1-2_female,%_score_3-5_female
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      63,      38,      16,       5,       3,       1,  85.7,  14.3
Essex North Shore Agricultural and Technical School District,08170000,      55,       4,      14,      22,      11,       4,  32.7,  67.3
Everett,00930000,     330,      87,     130,      68,      31,      14,  65.8,  34.2
Excel Academy Charter (District),04100000,     119,       3,      20,      33,      27,      36,  19.3,  80.7
Fairhaven,00940000,     109,      10,      32,      39,      18,      10,  38.5,  61.5
Fall River,00950000,     293,      51,     106,     115,      17,       4,  53.6,  46.4
Falmouth,00960000,     146,      13,      33,      32,      48,      20,  31.5,  68.5
Fitchburg,00970000,     306,     178,      65,      35,      18,      10,  79.4,  20.6
Foxborough,00990000,     230,      11,      34,      87,      61,      37,  19.6,  80.4
Foxborough Regional Charter (District),04460000,     117,      16,      39,      31,      24,       7,  47.0,  53.0
Framingham,01000000,     415,       5,      53,     109,     134,     114,  14.0,  86.0
Francis W. Parker Charter Essential (District),04780000,       3,,,,,,,
Franklin,01010000,     543,      39,     100,     140,     158,     106,  25.6,  74.4
Franklin County Regional Vocational Technical,08180000,      24,      12,       9,       2,       1,       0,  87.5,  12.5
Freetown-Lakeville,06650000,     217,      13,      53,      63,      58,      30,  30.4,  69.6
Frontier,06700000,      74,       4,      22,      21,      18,       9,  35.1,  64.9
Gardner,01030000,     139,      31,      57,      31,      15,       5,  63.3,  36.7
Gateway,06720000,      39,      10,      14,      10,       4,       1,  61.5,  38.5
Georgetown,01050000,      48,       0,       4,      16,      16,      12,   8.3,  91.7
Gill-Montague,06740000,      15,       2,       5,       5,       3,       0,  46.7,  53.3
Gloucester,01070000,     126,      15,      39,      37,      25,      10,  42.9,  57.1
Grafton,01100000,     216,      11,      55,      78,      52,      20,  30.6,  69.4
Granby,01110000,      29,       4,       9,      12,       3,       1,  44.8,  55.2
Greater Fall River Regional Vocational Technical,08210000,      14,       2,      10,       0,       2,       0,  85.7,  14.3
Greater Lawrence Regional Vocational Technical,08230000,       6,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      42,       9,      21,      10,       2,       0,  71.4,  28.6
Greater New Bedford Regional Vocational Technical,08250000,      54,      13,      24,      12,       3,       2,  68.5,  31.5
Greenfield,01140000,      83,      12,      33,      25,      11,       2,  54.2,  45.8
Groton-Dunstable,06730000,     226,      11,      31,      64,      74,      46,  18.6,  81.4
Hadley,01170000,      34,       2,       6,      12,      10,       4,  23.5,  76.5
Hamilton-Wenham,06750000,     189,      27,      34,      58,      52,      18,  32.3,  67.7
Hampden Charter School of Science East (District),04990000,      63,      17,      18,      14,       9,       5,  55.6,  44.4
Hampden-Wilbraham,06800000,     166,       5,      24,      55,      54,      28,  17.5,  82.5
Hampshire,06830000,      60,       3,      16,      18,      15,       8,  31.7,  68.3
Hanover,01220000,     225,      14,      62,      81,      47,      21,  33.8,  66.2
Harvard,01250000,     141,       2,      10,      32,      50,      47,   8.5,  91.5
Hatfield,01270000,      23,       1,      10,       9,       1,       2,  47.8,  52.2
Haverhill,01280000,     292,      29,      88,      89,      64,      22,  40.1,  59.9
Hingham,01310000,     314,       2,      16,      76,     118,     102,   5.7,  94.3
Holbrook,01330000,      40,      10,      13,      12,       2,       3,  57.5,  42.5
Holliston,01360000,     258,      14,      52,      68,      87,      37,  25.6,  74.4
Holyoke,01370000,     255,      97,     100,      37,      20,       1,  77.3,  22.7
Hopedale,01380000,      56,       2,      12,      19,      10,      13,  25.0,  75.0
Hopkinton,01390000,     577,      15,      55,     123,     159,     225,  12.1,  87.9
Hudson,01410000,     175,       9,      31,      56,      51,      28,  22.9,  77.1
Hull,01420000,      60,       5,      22,      21,       9,       3,  45.0,  55.0
Innovation Academy Charter (District),04350000,       3,,,,,,,
Ipswich,01440000,     113,       3,      25,      31,      37,      17,  24.8,  75.2
KIPP Academy Lynn Charter (District),04290000,     214,      61,      74,      50,      25,       4,  63.1,  36.9
King Philip,06900000,     449,      23,      92,     160,     129,      45,  25.6,  74.4
Lawrence,01490000,     196,      75,      45,      36,      25,      15,  61.2,  38.8
Lee,01500000,      41,      15,      13,       6,       6,       1,  68.3,  31.7
Leicester,01510000,      96,      17,      37,      27,      11,       4,  56.3,  43.8
Lenox,01520000,      58,      13,      12,      15,      10,       8,  43.1,  56.9
Leominster,01530000,     251,      22,      80,      87,      50,      12,  40.6,  59.4
Lexington,01550000,     760,      13,      39,     144,     229,     335,   6.8,  93.2
Lincoln-Sudbury,06950000,     180,       1,       9,      23,      59,      88,   5.6,  94.4
Littleton,01580000,     119,       3,      12,      26,      51,      27,  12.6,  87.4
