2017-18 Advanced Placement Participation - All Subjects - Female,,,,,,,,,
District Name,District Code,test_takers_female,tests_taken_female,one_test_female,two_tests_female,three_tests_female,four_tests_female,five_ormore_tests_female,
Franklin County Regional Vocational Technical,08180000,      20,      24,      16,       4,       0,       0,       0,
Freetown-Lakeville,06650000,     123,     217,      51,      52,      18,       2,       0,
Frontier,06700000,      43,      74,      21,      15,       5,       2,       0,
Gardner,01030000,      78,     139,      47,      15,       9,       2,       5,
Gateway,06720000,      20,      39,       6,      10,       3,       1,       0,
Georgetown,01050000,      36,      48,      25,      10,       1,       0,       0,
Gill-Montague,06740000,      10,      15,       5,       5,       0,       0,       0,
Gloucester,01070000,      73,     126,      35,      26,       9,       3,       0,
Grafton,01100000,     124,     216,      58,      42,      23,       0,       1,
Granby,01110000,      19,      29,      12,       4,       3,       0,       0,
Greater Fall River Regional Vocational Technical,08210000,      12,      14,      10,       2,       0,       0,       0,
Greater Lawrence Regional Vocational Technical,08230000,       6,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      42,      42,      42,       0,       0,       0,       0,
Greater New Bedford Regional Vocational Technical,08250000,      41,      54,      32,       5,       4,       0,       0,
Greenfield,01140000,      41,      83,      12,      18,       9,       2,       0,
Groton-Dunstable,06730000,     119,     226,      43,      52,      18,       5,       1,
Hadley,01170000,      23,      34,      15,       6,       1,       1,       0,
Hamilton-Wenham,06750000,      89,     189,      38,      21,      15,      12,       3,
Hampden Charter School of Science East (District),04990000,      49,      63,      36,      12,       1,       0,       0,
Hampden-Wilbraham,06800000,     113,     166,      69,      36,       7,       1,       0,
Hampshire,06830000,      30,      60,      11,      10,       7,       2,       0,
Hanover,01220000,     128,     225,      64,      40,      18,       3,       3,
Harvard,01250000,      81,     141,      47,      16,      11,       6,       1,
Hatfield,01270000,      16,      23,       9,       7,       0,       0,       0,
Haverhill,01280000,     170,     292,      96,      47,      12,      10,       5,
Hingham,01310000,     172,     314,      74,      66,      22,       8,       2,
Holbrook,01330000,      19,      40,       6,       5,       8,       0,       0,
Holliston,01360000,     159,     258,      78,      64,      16,       1,       0,
Holyoke,01370000,     119,     255,      31,      48,      32,       8,       0,
Hopedale,01380000,      39,      56,      25,      11,       3,       0,       0,
Hopkinton,01390000,     261,     577,     103,      71,      35,      36,      16,
Hudson,01410000,     105,     175,      56,      36,       8,       3,       2,
Hull,01420000,      30,      60,      15,       6,       3,       6,       0,
Innovation Academy Charter (District),04350000,       3,,,,,,,
Ipswich,01440000,      55,     113,      17,      20,      16,       2,       0,
KIPP Academy Lynn Charter (District),04290000,     129,     214,      69,      36,      23,       1,       0,
King Philip,06900000,     219,     449,      78,      75,      47,      15,       4,
Lawrence,01490000,     166,     196,     141,      21,       3,       1,       0,
Lee,01500000,      22,      41,      10,       6,       5,       1,       0,
Leicester,01510000,      70,      96,      47,      20,       3,       0,       0,
Lenox,01520000,      33,      58,      19,       5,       7,       2,       0,
Leominster,01530000,     119,     251,      47,      34,      22,      12,       4,
Lexington,01550000,     447,     760,     240,     130,      55,      15,       7,
Lincoln-Sudbury,06950000,     130,     180,      90,      30,      10,       0,       0,
Littleton,01580000,      61,     119,      23,      21,      14,       3,       0,
Longmeadow,01590000,     123,     240,      46,      48,      20,       7,       2,
Lowell,01600000,     233,     423,     134,      47,      25,      18,       9,
Ludlow,01610000,      85,     160,      42,      21,      15,       4,       3,
Lunenburg,01620000,      65,     120,      20,      36,       8,       1,       0,
Lynn,01630000,     272,     503,     146,      63,      33,      20,      10,
Lynnfield,01640000,     110,     243,      38,      29,      29,      11,       3,
MATCH Charter Public School (District),04690000,      64,     107,      36,      19,       5,       2,       2,
Ma Academy for Math and Science,04680000,      19,      31,      12,       3,       3,       1,       0,
Malden,01650000,     243,     471,     108,      72,      42,      14,       7,
Manchester Essex Regional,06980000,      91,     207,      26,      33,      16,      13,       3,
Mansfield,01670000,     153,     265,      71,      58,      18,       6,       0,
Marblehead,01680000,     179,     348,      78,      60,      22,      11,       8,
Marlborough,01700000,     150,     297,      71,      35,      26,      12,       6,
Marshfield,01710000,     151,     309,      50,      62,      25,      10,       4,
Martha's Vineyard,07000000,      71,     121,      42,      18,       6,       3,       2,
Masconomet,07050000,     141,     269,      58,      47,      29,       6,       1,
Mashpee,01720000,      72,     118,      43,      16,      10,       2,       1,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       8,,,,,,,
Maynard,01740000,      62,      95,      34,      23,       5,       0,       0,
Medfield,01750000,     169,     349,      57,      61,      36,      13,       2,
Medford,01760000,     103,     162,      58,      34,       8,       3,       0,
Medway,01770000,     133,     282,      57,      35,      23,       8,      10,
Melrose,01780000,     179,     410,      63,      48,      42,      14,      12,
Mendon-Upton,07100000,     112,     232,      37,      41,      26,       5,       3,
Methuen,01810000,     219,     355,     126,      63,      19,       9,       2,
Middleborough,01820000,     106,     142,      76,      24,       6,       0,       0,
Milford,01850000,     164,     240,     111,      35,      13,       5,       0,
Millbury,01860000,      40,      71,      14,      21,       5,       0,       0,
Millis,01870000,      67,     112,      33,      25,       7,       2,       0,
Milton,01890000,     174,     394,      55,      51,      40,      24,       4,
Minuteman Regional Vocational Technical,08300000,       2,,,,,,,
Mohawk Trail,07170000,      31,      49,      17,      10,       4,       0,       0,
Monomoy Regional School District,07120000,      55,     119,      19,      19,       9,       6,       2,
Monson,01910000,      38,      47,      31,       5,       2,       0,       0,
Montachusett Regional Vocational Technical,08320000,      64,      95,      33,      31,       0,       0,       0,
Mount Greylock,07150000,      75,     144,      33,      21,      16,       4,       1,
Nantucket,01970000,      71,     129,      36,      17,      14,       3,       1,
Narragansett,07200000,      63,     108,      33,      18,      10,       1,       1,
Nashoba,07250000,     156,     286,      86,      35,      17,      12,       6,
Nashoba Valley Regional Vocational Technical,08520000,      46,      60,      36,       6,       4,       0,       0,
Natick,01980000,     273,     495,     144,      65,      41,      17,       6,
Nauset,06600000,     182,     383,      79,      43,      38,       8,      14,
Needham,01990000,     232,     364,     136,      68,      20,       8,       0,
New Bedford,02010000,     159,     268,      84,      50,      16,       9,       0,
Newburyport,02040000,     115,     222,      47,      41,      17,       8,       2,
Newton,02070000,     562,"   1,102",     244,     158,     106,      46,       8,
North Adams,02090000,     105,     174,      59,      27,      15,       4,       0,
North Andover,02110000,     190,     303,      98,      74,      15,       3,       0,
North Attleborough,02120000,     169,     284,      91,      54,      14,       7,       3,
North Brookfield,02150000,      18,      31,       6,      11,       1,       0,       0,
North Middlesex,07350000,     153,     241,      92,      41,      14,       5,       1,
North Reading,02170000,     154,     280,      74,      47,      24,       6,       3,
Northampton,02100000,     151,     298,      58,      54,      26,      11,       2,
Northampton-Smith Vocational Agricultural,04060000,       7,,,,,,,
Northboro-Southboro,07300000,     228,     440,     109,      61,      34,      17,       7,
Northbridge,02140000,      95,     152,      52,      29,      14,       0,       0,
Northeast Metropolitan Regional Vocational Technical,08530000,      13,      18,       8,       5,       0,       0,       0,
Northern Berkshire Regional Vocational Technical,08510000,      14,      16,      12,       2,       0,       0,       0,
Norton,02180000,     112,     196,      51,      41,      18,       1,       1,
Norwell,02190000,     161,     276,      80,      55,      19,       6,       1,
Norwood,02200000,      83,     119,      54,      23,       5,       1,       0,
Old Rochester,07400000,     158,     312,      67,      46,      30,      12,       3,
Oxford,02260000,      72,     118,      33,      32,       7,       0,       0,
Palmer,02270000,      39,      59,      25,      10,       3,       0,       1,
Pathfinder Regional Vocational Technical,08600000,      33,      34,      32,       1,       0,       0,       0,
Peabody,02290000,     189,     317,      99,      60,      22,       8,       0,
Pembroke,02310000,     140,     255,      58,      54,      24,       3,       1,
Pentucket,07450000,     101,     179,      47,      37,      11,       5,       1,
Pioneer Charter School of Science (District),04940000,      29,      57,      10,      11,       7,       1,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      37,      67,      21,       6,       6,       4,       0,
Pioneer Valley,07500000,       8,,,,,,,
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       4,,,,,,,
Pittsfield,02360000,     203,     323,     117,      58,      23,       4,       1,
Plymouth,02390000,     326,     660,     136,      80,      86,      15,       9,
Prospect Hill Academy Charter (District),04870000,      52,     112,      22,      11,      12,       4,       3,
Quabbin,07530000,      65,      92,      38,      27,       0,       0,       0,
