2017-18 Advanced Placement Participation - All Subjects - Hispanic/Latino,,,,,,,,
District Name,District Code,test_takers_hispanic,tests_taken_hispanic,one_test_hispanic,two_tests_hispanic,three_tests_hispanic,four_tests_hispanic,five_ormore_tests_hispanic
Marblehead,1680000,7,,,,,,
Marlborough,1700000,56,96,30,16,6,4,0
Marshfield,1710000,4,,,,,,
Martha's Vineyard,7000000,7,,,,,,
Masconomet,7050000,3,,,,,,
Mashpee,1720000,6,,,,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,1,,,,,,
Maynard,1740000,6,,,,,,
Medfield,1750000,1,,,,,,
Medford,1760000,18,24,13,4,1,0,0
Medway,1770000,5,,,,,,
Melrose,1780000,5,,,,,,
Mendon-Upton,7100000,3,,,,,,
Methuen,1810000,69,108,43,17,5,4,0
Middleborough,1820000,3,,,,,,
Milford,1850000,35,49,27,5,1,1,1
Millbury,1860000,2,,,,,,
Millis,1870000,6,,,,,,
Milton,1890000,15,27,7,5,2,1,0
Minuteman Regional Vocational Technical,8300000,1,,,,,,
Mohawk Trail,7170000,1,,,,,,
Monomoy Regional School District,7120000,2,,,,,,
Monson,1910000,1,,,,,,
Montachusett Regional Vocational Technical,8320000,8,,,,,,
Mount Greylock,7150000,4,,,,,,
Nantucket,1970000,9,,,,,,
Narragansett,7200000,4,,,,,,
Nashoba,7250000,7,,,,,,
Nashoba Valley Regional Vocational Technical,8520000,3,,,,,,
Natick,1980000,17,33,8,4,3,2,0
Nauset,6600000,6,,,,,,
Needham,1990000,17,32,6,9,0,2,0
New Bedford,2010000,69,104,39,25,5,0,0
Newburyport,2040000,5,,,,,,
Newton,2070000,50,87,25,14,10,1,0
North Adams,2090000,12,17,8,3,1,0,0
North Andover,2110000,3,,,,,,
North Attleborough,2120000,10,15,5,5,0,0,0
North Brookfield,2150000,1,,,,,,
North Middlesex,7350000,3,,,,,,
North Reading,2170000,4,,,,,,
Northampton,2100000,14,28,4,7,2,1,0
Northboro-Southboro,7300000,13,20,7,5,1,0,0
Northbridge,2140000,7,,,,,,
Northeast Metropolitan Regional Vocational Technical,8530000,5,,,,,,
Norwell,2190000,6,,,,,,
Norwood,2200000,5,,,,,,
Old Rochester,7400000,2,,,,,,
Oxford,2260000,5,,,,,,
Palmer,2270000,1,,,,,,
Pathfinder Regional Vocational Technical,8600000,2,,,,,,
Peabody,2290000,23,31,17,4,2,0,0
Pentucket,7450000,2,,,,,,
Pioneer Charter School of Science (District),4940000,5,,,,,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,9,,,,,,
Pioneer Valley Performing Arts Charter Public (District),4790000,1,,,,,,
Pittsfield,2360000,21,25,17,4,0,0,0
Plymouth,2390000,22,44,10,7,2,1,2
Prospect Hill Academy Charter (District),4870000,26,58,12,6,3,2,3
Quabbin,7530000,2,,,,,,
Quaboag Regional,7780000,4,,,,,,
Quincy,2430000,8,,,,,,
