2017-18 Advanced Placement Participation - All Subjects - Students w/ Disabilities,,,,,,,,,
District Name,District Code,test_takers_disabled,tests_taken_disabled,one_test_disabled,two_tests_disabled,three_tests_disabled,four_tests_disabled,five_ormore_tests_disabled,
Needham,01990000,      15,      21,      13,       0,       0,       2,       0,
Newburyport,02040000,       2,,,,,,,
Newton,02070000,      46,      68,      31,       8,       7,       0,       0,
North Adams,02090000,       5,,,,,,,
North Andover,02110000,       1,,,,,,,
North Middlesex,07350000,       3,,,,,,,
North Reading,02170000,       8,,,,,,,
Northampton,02100000,       6,,,,,,,
Northampton-Smith Vocational Agricultural,04060000,       1,,,,,,,
Northboro-Southboro,07300000,       4,,,,,,,
Norton,02180000,       2,,,,,,,
Norwell,02190000,       7,,,,,,,
Norwood,02200000,       4,,,,,,,
Old Rochester,07400000,       2,,,,,,,
Oxford,02260000,       1,,,,,,,
Pathfinder Regional Vocational Technical,08600000,       1,,,,,,,
Peabody,02290000,       8,,,,,,,
Pembroke,02310000,       3,,,,,,,
Pittsfield,02360000,       7,,,,,,,
Plymouth,02390000,       8,,,,,,,
Prospect Hill Academy Charter (District),04870000,       2,,,,,,,
Quabbin,07530000,       1,,,,,,,
Quincy,02430000,       4,,,,,,,
Reading,02460000,       5,,,,,,,
Revere,02480000,       1,,,,,,,
Rising Tide Charter Public (District),04830000,       1,,,,,,,
Rockport,02520000,       2,,,,,,,
Roxbury Preparatory Charter (District),04840000,      39,      63,      26,       2,      11,       0,       0,
Salem,02580000,       9,,,,,,,
Salem Academy Charter (District),04850000,       2,,,,,,,
Sandwich,02610000,       4,,,,,,,
Saugus,02620000,       1,,,,,,,
Scituate,02640000,       3,,,,,,,
Sharon,02660000,       5,,,,,,,
Somerville,02740000,       2,,,,,,,
South Hadley,02780000,       3,,,,,,,
South Middlesex Regional Vocational Technical,08290000,       4,,,,,,,
South Shore Charter Public (District),04880000,       1,,,,,,,
Southbridge,02770000,       3,,,,,,,
Southeastern Regional Vocational Technical,08720000,       5,,,,,,,
Southern Worcester County Regional Vocational Technical,08760000,       1,,,,,,,
Springfield,02810000,       6,,,,,,,
Stoneham,02840000,       1,,,,,,,
Swampscott,02910000,       4,,,,,,,
Tantasqua,07700000,       1,,,,,,,
Taunton,02930000,       3,,,,,,,
Tewksbury,02950000,       1,,,,,,,
Tri-County Regional Vocational Technical,08780000,       5,,,,,,,
Tyngsborough,03010000,       1,,,,,,,
Uxbridge,03040000,       1,,,,,,,
Wachusett,07750000,       8,,,,,,,
Wakefield,03050000,       3,,,,,,,
Walpole,03070000,       2,,,,,,,
Waltham,03080000,       3,,,,,,,
Watertown,03140000,       4,,,,,,,
Wayland,03150000,      12,      14,      10,       2,       0,       0,       0,
Webster,03160000,       1,,,,,,,
Wellesley,03170000,       8,,,,,,,
West Bridgewater,03230000,       1,,,,,,,
West Springfield,03320000,       3,,,,,,,
Westfield,03250000,       3,,,,,,,
Westford,03260000,       2,,,,,,,
Weston,03300000,      22,      31,      15,       5,       2,       0,       0,
Westwood,03350000,       8,,,,,,,
Weymouth,03360000,       3,,,,,,,
Whitman-Hanson,07800000,       5,,,,,,,
Wilmington,03420000,       1,,,,,,,
Winchendon,03430000,       2,,,,,,,
Winchester,03440000,       1,,,,,,,
Winthrop,03460000,       6,,,,,,,
Woburn,03470000,       2,,,,,,,
Worcester,03480000,     106,     162,      69,      24,      10,       2,       1,
State Totals,00000000,"   1,010","   1,432",     722,     186,      81,      14,       7,
