2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Hingham,01310000,1,1,100.0,       6,       6,100.0,     311,     289,92.9
Holbrook,01330000,1,1,100.0,       3,       2,66.7,      89,      81,91.0
Holland,01350000,1,1,100.0,       1,       1,100.0,      20,      20,100.0
Holliston,01360000,1,1,100.0,       4,       4,100.0,     219,     195,89.0
Holyoke,01370000,1,1,100.0,      11,       8,72.7,     441,     321,72.8
Holyoke Community Charter (District),04530000,1,1,100.0,       1,       1,100.0,      52,      37,71.2
Hopedale,01380000,1,0,0.0,       3,       3,100.0,      95,      83,87.4
Hopkinton,01390000,1,1,100.0,       5,       3,60.0,     272,     248,91.2
Hudson,01410000,1,1,100.0,       5,       5,100.0,     238,     211,88.7
Hull,01420000,1,1,100.0,       3,       3,100.0,      87,      75,86.2
Innovation Academy Charter (District),04350000,1,1,100.0,       3,       3,100.0,      80,      66,82.5
Ipswich,01440000,1,1,100.0,       4,       4,100.0,     165,     152,92.1
KIPP Academy Boston Charter School (District),04630000,1,1,100.0,       2,       1,50.0,      39,      23,59.0
KIPP Academy Lynn Charter (District),04290000,1,1,100.0,       4,       2,50.0,      94,      60,63.8
King Philip,06900000,1,1,100.0,       2,       2,100.0,     135,     123,91.1
Kingston,01450000,1,1,100.0,       2,       2,100.0,      65,      60,92.3
Lanesborough,01480000,1,1,100.0,       1,       1,100.0,      20,      17,85.0
Lawrence,01490000,1,1,100.0,      36,      31,86.1,"   1,056",     795,75.3
Lawrence Family Development Charter (District),04540000,1,1,100.0,       1,       1,100.0,      57,      42,73.7
Lee,01500000,1,1,100.0,       2,       2,100.0,      76,      66,86.8
Leicester,01510000,1,1,100.0,       4,       4,100.0,     107,      96,89.7
Lenox,01520000,1,1,100.0,       2,       2,100.0,      82,      77,93.9
Leominster,01530000,1,1,100.0,      10,      10,100.0,     458,     418,91.3
Leverett,01540000,1,1,100.0,       1,       1,100.0,      20,      13,65.0
Lexington,01550000,1,1,100.0,      10,       6,60.0,     600,     527,87.8
Lincoln,01570000,1,1,100.0,       4,       3,75.0,     126,     119,94.4
Lincoln-Sudbury,06950000,1,1,100.0,       1,       1,100.0,     140,     131,93.6
Littleton,01580000,1,1,100.0,       4,       3,75.0,     119,     108,90.8
Longmeadow,01590000,1,0,0.0,       6,       5,83.3,     245,     223,91.0
Lowell,01600000,1,1,100.0,      26,      24,92.3,"   1,035",     961,92.9
Lowell Community Charter Public (District),04560000,1,0,0.0,       1,       0,0.0,      62,      48,77.4
Lowell Middlesex Academy Charter (District),04580000,1,1,100.0,       1,       0,0.0,      10,       7,70.0
Ludlow,01610000,1,1,100.0,       5,       4,80.0,     238,     219,92.0
Lunenburg,01620000,1,1,100.0,       3,       3,100.0,     108,     102,94.4
Lynn,01630000,1,1,100.0,      26,      23,88.5,"   1,054",     924,87.7
Lynnfield,01640000,1,1,100.0,       4,       4,100.0,     169,     154,91.1
MATCH Charter Public School (District),04690000,1,1,100.0,       4,       4,100.0,      76,      41,53.9
Ma Academy for Math and Science,04680000,1,1,100.0,       1,       1,100.0,       7,       5,71.4
