2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Wellesley,03170000,1,1,100.0,       9,       9,100.0,     413,     356,86.2
Wellfleet,03180000,1,1,100.0,       1,       1,100.0,      19,      16,84.2
West Boylston,03220000,1,1,100.0,       2,       2,100.0,      81,      73,90.1
West Bridgewater,03230000,1,1,100.0,       3,       3,100.0,      97,      88,90.7
West Springfield,03320000,1,1,100.0,       9,       8,88.9,     314,     294,93.6
Westborough,03210000,1,1,100.0,       6,       6,100.0,     296,     253,85.5
Westfield,03250000,1,0,0.0,      12,       8,66.7,     438,     388,88.6
Westford,03260000,1,1,100.0,      10,      10,100.0,     375,     341,90.9
Westhampton,03270000,1,1,100.0,       1,       1,100.0,      14,      12,85.7
Weston,03300000,1,0,0.0,       5,       4,80.0,     215,     190,88.4
Westport,03310000,1,1,100.0,       4,       3,75.0,     124,     108,87.1
Westwood,03350000,1,1,100.0,       8,       8,100.0,     247,     217,87.9
Weymouth,03360000,1,0,0.0,      12,      11,91.7,     434,     388,89.4
Whately,03370000,1,0,0.0,       1,       1,100.0,      12,       9,75.0
Whitman-Hanson,07800000,1,1,100.0,       7,       6,85.7,     240,     227,94.6
Whittier Regional Vocational Technical,08850000,1,1,100.0,       1,       1,100.0,     114,     106,93.0
Williamsburg,03400000,1,1,100.0,       1,       1,100.0,      21,      19,90.5
Williamstown,03410000,1,1,100.0,       1,       1,100.0,      37,      35,94.6
Wilmington,03420000,1,1,100.0,       6,       6,100.0,     280,     246,87.9
Winchendon,03430000,1,1,100.0,       3,       1,33.3,      96,      87,90.6
Winchester,03440000,1,1,100.0,       7,       6,85.7,     361,     330,91.4
Winthrop,03460000,1,1,100.0,       3,       3,100.0,     151,     130,86.1
Woburn,03470000,1,1,100.0,      11,       8,72.7,     390,     372,95.4
Worcester,03480000,1,0,0.0,      48,      43,89.6,"   1,780","   1,582",88.9
Worthington,03490000,1,1,100.0,       1,       1,100.0,       8,       6,75.0
Wrentham,03500000,1,1,100.0,       2,       2,100.0,      80,      72,90.0
State Totals,00000000,400,326,81.5,"   1,751","   1,487",84.9,"  70,332","  61,542",87.5
