2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Old Rochester,07400000,  30.9,  43.5,   0.5,  15.2,   1.0,   0.0,   1.6,   1.6,   0.5,   5.2,     191
Oxford,02260000,  17.5,  25.2,   2.9,  35.9,   2.9,   0.0,  10.7,   1.9,   0.0,   2.9,     103
Palmer,02270000,  23.5,  23.5,   0.0,  31.8,   0.0,   0.0,  11.8,   2.4,   0.0,   7.1,      85
Pathfinder Regional Vocational Technical,08600000,  10.4,   3.7,   0.7,  23.1,   2.2,   1.5,  30.6,   6.7,  18.7,   2.2,     134
Paulo Freire Social Justice Charter School (District),35010000,  10.3,  31.0,   0.0,  37.9,   0.0,   1.7,  10.3,   1.7,   1.7,   5.2,      58
Peabody,02290000,  28.7,  32.2,   0.3,  16.5,   2.7,   0.5,  12.5,   2.7,   0.3,   3.5,     369
Pembroke,02310000,  30.5,  39.8,   0.0,  10.9,   0.0,   0.0,   0.0,   0.0,   0.0,  18.8,     266
Pentucket,07450000,  41.0,  35.0,   0.5,  12.0,   0.0,   0.0,   2.7,   3.3,   2.2,   3.3,     183
Phoenix Academy Public Charter High School Springfield (District),35080000,  21.1,   5.3,   0.0,  73.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      19
Phoenix Charter Academy (District),04930000,  25.0,   0.0,   0.0,  56.3,   0.0,   0.0,  18.8,   0.0,   0.0,   0.0,      16
Pioneer Charter School of Science (District),04940000,  46.9,  37.5,   0.0,  15.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      32
Pioneer Charter School of Science II (PCSS-II) (District),35060000,  26.7,  50.0,   0.0,  20.0,   0.0,   0.0,   0.0,   3.3,   0.0,   0.0,      30
Pioneer Valley,07500000,  14.5,  27.4,   0.0,  37.1,   0.0,   0.0,   9.7,   6.5,   4.8,   0.0,      62
Pioneer Valley Chinese Immersion Charter (District),04970000,  81.8,   9.1,   0.0,   9.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      11
Pioneer Valley Performing Arts Charter Public (District),04790000,  36.7,  11.7,   0.0,  30.0,   0.0,   0.0,  10.0,   0.0,   8.3,   3.3,      60
Pittsfield,02360000,  28.1,  16.1,   0.0,  27.8,   5.1,   0.0,   9.3,   2.4,   0.6,  10.7,     335
Plymouth,02390000,  23.8,  30.4,   0.7,  14.9,   5.0,   1.2,  15.6,   3.6,   2.3,   2.5,     563
Prospect Hill Academy Charter (District),04870000,  43.5,  53.6,   0.0,   2.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      69
Quabbin,07530000,  30.4,  26.1,   1.2,  21.7,   5.6,   0.0,   7.5,   7.5,   0.0,   0.0,     161
Quaboag Regional,07780000,  19.2,  17.8,   0.0,  34.2,   1.4,   0.0,  13.7,   1.4,   0.0,  12.3,      73
Quincy,02430000,  23.2,  39.6,   0.9,  15.0,   0.1,   2.5,   3.7,   2.4,   2.7,   9.8,     672
Ralph C Mahar,07550000,  16.5,  27.8,   0.0,  32.9,   3.2,   0.6,  12.0,   2.5,   1.9,   2.5,     158
Randolph,02440000,  16.3,  27.7,   4.8,  33.1,   1.8,   0.0,  11.4,   1.8,   2.4,   0.6,     166
Reading,02460000,  50.0,  38.4,   0.0,   6.2,   0.4,   0.0,   1.4,   0.7,   0.7,   2.2,     276
Revere,02480000,  18.9,  27.3,   1.1,  36.6,   1.7,   0.6,   9.2,   1.1,   1.9,   1.5,     465
Rising Tide Charter Public (District),04830000,  45.8,  26.4,   0.0,   6.9,   5.6,   0.0,   4.2,   2.8,   0.0,   8.3,      72
Rockland,02510000,  26.1,  40.3,   0.7,  13.4,   3.7,   2.2,   6.7,   2.2,   2.2,   2.2,     134
Rockport,02520000,  42.0,  31.9,   1.4,  13.0,   0.0,   0.0,   8.7,   0.0,   1.4,   1.4,      69
Sabis International Charter (District),04410000,  33.7,  18.3,   0.0,  34.6,   1.0,   0.0,   0.0,   0.0,   0.0,  12.5,     104
Salem,02580000,  10.8,  31.9,   1.3,  29.7,   1.7,   0.4,  12.9,   3.9,   2.2,   5.2,     232
Salem Academy Charter (District),04850000,  32.6,  53.5,   0.0,   7.0,   0.0,   0.0,   0.0,   0.0,   0.0,   7.0,      43
Sandwich,02610000,  35.9,  39.5,   0.6,  12.0,   0.0,   0.0,   5.4,   3.0,   0.6,   3.0,     167
Saugus,02620000,  27.8,  45.1,   0.0,  15.0,   0.8,   0.0,   3.0,   0.8,   3.8,   3.8,     133
Scituate,02640000,  48.3,  42.1,   1.0,   1.0,   0.5,   0.5,   2.4,   0.0,   2.4,   1.9,     209
Seekonk,02650000,  30.8,  31.6,   0.0,  22.6,   6.8,   0.0,   7.5,   0.8,   0.0,   0.0,     133
Sharon,02660000,  47.3,  42.0,   0.4,   0.8,   0.4,   0.4,   1.1,   0.4,   1.1,   6.1,     262
Shawsheen Valley Regional Vocational Technical,08710000,  22.8,  20.2,   0.3,  18.7,   1.8,   8.0,  25.5,   1.2,   0.0,   1.5,     337
Shrewsbury,02710000,  42.6,  38.4,   0.2,   9.6,   0.9,   0.0,   1.1,   0.9,   5.0,   1.1,     437
Silver Lake,07600000,  28.7,  39.5,   2.9,   9.2,   0.6,   0.0,  17.2,   1.6,   0.3,   0.0,     314
Sizer School: A North Central Charter Essential (District),04740000,  21.7,  26.1,   4.3,  26.1,   0.0,   4.3,  13.0,   4.3,   0.0,   0.0,      23
Somerset Berkley Regional School District,07630000,  26.2,  39.8,   1.5,  21.4,   0.5,   0.0,   3.9,   1.0,   0.0,   5.8,     206
Somerville,02740000,  17.9,  19.8,   0.8,  30.4,   3.0,   0.0,  24.7,   0.4,   1.1,   1.9,     263
South Hadley,02780000,  26.3,  25.5,   0.0,  26.3,   2.9,   0.0,  10.2,   2.9,   0.0,   5.8,     137
South Middlesex Regional Vocational Technical,08290000,  14.1,  14.7,   0.6,  34.6,   5.1,   7.7,  20.5,   0.6,   0.0,   1.9,     156
South Shore Charter Public (District),04880000,  32.1,  37.7,   0.0,  13.2,   1.9,   0.0,  15.1,   0.0,   0.0,   0.0,      53
South Shore Regional Vocational Technical,08730000,  25.9,   2.7,   0.0,  17.7,   0.7,   4.1,  36.1,   8.8,   0.7,   3.4,     147
Southbridge,02770000,  14.7,   7.3,   2.8,  36.7,   3.7,   0.0,  20.2,   2.8,   1.8,  10.1,     109
Southeastern Regional Vocational Technical,08720000,  20.3,  17.9,   1.5,  22.7,   5.2,   0.0,  27.6,   4.2,   0.0,   0.6,     330
Southern Berkshire,07650000,  51.2,   9.3,   2.3,  18.6,   0.0,   0.0,  14.0,   0.0,   4.7,   0.0,      43
Southern Worcester County Regional Vocational Technical,08760000,  17.3,  14.5,   4.4,  14.1,   2.8,   0.0,  38.7,   5.6,   0.0,   2.4,     248
Southwick-Tolland-Granville Regional School District,07660000,  24.4,  36.6,   0.0,  19.5,   0.8,   0.0,  12.2,   1.6,   3.3,   1.6,     123
Spencer-E Brookfield,07670000,  18.1,  19.4,   0.0,  30.6,   2.8,   0.0,  20.8,   5.6,   0.0,   2.8,      72
Springfield,02810000,  15.1,  11.1,   0.6,  51.6,   0.4,   0.0,  13.1,   4.1,   1.3,   2.7,"   1,451"
Stoneham,02840000,  40.8,  36.2,   0.0,   9.9,   3.9,   0.0,   2.0,   0.7,   2.0,   4.6,     152
Stoughton,02850000,  26.0,  36.4,   0.8,  15.3,   0.0,   0.0,   7.4,   2.1,   0.0,  12.0,     242
Sturgis Charter Public (District),04890000,  39.2,  39.2,   0.5,  10.2,   1.6,   0.0,   3.2,   1.1,   2.7,   2.2,     186
Sutton,02900000,  40.7,  37.0,   0.0,   7.4,   0.9,   0.0,   8.3,   0.9,   0.0,   4.6,     108
Swampscott,02910000,  33.3,  44.0,   0.0,  11.3,   1.3,   0.0,   5.0,   0.6,   1.9,   2.5,     159
Swansea,02920000,  13.8,  43.1,   0.0,  25.9,   3.4,   0.0,   6.9,   2.6,   0.0,   4.3,     116
TEC Connections Academy Commonwealth Virtual School District,39020000,   0.0,  32.0,   0.0,  22.0,   9.3,   0.0,  26.0,   2.0,   8.0,   0.7,     150
Tantasqua,07700000,  21.5,  27.4,   0.7,  23.6,   1.7,   1.4,  13.5,   6.3,   1.0,   2.8,     288
Taunton,02930000,  21.0,  27.1,   1.1,  30.1,   0.2,   0.0,   9.2,   2.2,   0.0,   9.2,     458
Tewksbury,02950000,  34.9,  34.1,   0.9,  10.9,   3.9,   0.0,   7.0,   5.2,   0.4,   2.6,     229
Tri-County Regional Vocational Technical,08780000,  15.8,  20.6,   1.4,  15.3,   2.4,  10.0,  30.6,   2.9,   0.0,   1.0,     209
Triton,07730000,  24.4,  51.7,   0.0,  10.5,   2.9,   0.0,   3.5,   2.3,   1.7,   2.9,     172
Tyngsborough,03010000,  29.9,  46.5,   0.0,  12.6,   0.0,   0.0,   6.3,   0.8,   0.0,   3.9,     127
Upper Cape Cod Regional Vocational Technical,08790000,  17.9,  16.7,   0.6,  16.7,   6.5,   0.0,  29.2,   7.1,   0.0,   5.4,     168
Uxbridge,03040000,  18.4,  29.6,   1.3,  25.0,   4.6,   0.0,  17.8,   3.3,   0.0,   0.0,     152
Wachusett,07750000,  38.7,  38.3,   0.0,  14.7,   2.3,   0.0,   3.1,   0.8,   1.2,   0.8,     483
Wakefield,03050000,  37.0,  37.4,   0.4,  11.3,   3.8,   0.0,   8.7,   0.8,   0.8,   0.0,     265
Walpole,03070000,  42.3,  42.3,   0.4,   6.5,   2.5,   0.0,   4.3,   0.7,   0.0,   1.1,     279
Waltham,03080000,  26.2,  31.7,   0.0,  21.0,   4.0,   0.0,  11.0,   3.5,   1.4,   1.2,     347
Ware,03090000,  16.4,  23.6,   0.0,  29.1,   0.0,   0.0,  23.6,   3.6,   0.0,   3.6,      55
Wareham,03100000,  16.7,  29.2,   0.0,  20.1,   4.2,   0.0,  22.2,   1.4,   0.0,   6.3,     144
Watertown,03140000,  44.7,  34.0,   0.0,   9.4,   0.6,   0.6,   1.3,   0.0,   1.3,   8.2,     159
Wayland,03150000,  63.0,  30.1,   0.5,   0.9,   1.9,   0.0,   0.9,   0.0,   2.3,   0.5,     216
Webster,03160000,  31.8,  22.7,   1.1,  26.1,   0.0,   0.0,  10.2,   2.3,   0.0,   5.7,      88
Wellesley,03170000,  60.5,  30.2,   0.3,   1.8,   2.0,   0.0,   0.5,   0.0,   1.0,   3.8,     397
West Boylston,03220000,  35.6,  33.9,   0.0,  18.6,   5.1,   0.0,   5.1,   0.0,   1.7,   0.0,      59
West Bridgewater,03230000,  40.2,  31.5,   1.1,  12.0,   4.3,   1.1,   5.4,   1.1,   0.0,   3.3,      92
West Springfield,03320000,  18.1,  19.4,   0.0,  44.1,   1.4,   0.0,   6.6,   4.9,   2.4,   3.1,     288
Westborough,03210000,  45.4,  43.1,   0.0,   3.3,   1.1,   0.0,   1.5,   0.0,   3.7,   1.9,     269
Westfield,03250000,  22.5,  21.1,   0.2,  27.6,   0.7,   0.0,  18.4,   3.4,   0.4,   5.6,     445
Westford,03260000,  41.1,  42.9,   0.0,   4.4,   0.0,   0.3,   1.3,   0.5,   0.0,   9.6,     387
Weston,03300000,  73.8,  19.5,   0.7,   0.7,   0.7,   0.0,   2.0,   0.7,   0.7,   1.3,     149
Westport,03310000,  18.5,  35.4,   1.5,  32.3,   0.0,   0.0,  10.8,   0.0,   1.5,   0.0,      65
Westwood,03350000,  53.7,  39.0,   0.0,   3.3,   2.4,   0.0,   0.8,   0.0,   0.8,   0.0,     246
Weymouth,03360000,  22.6,  30.0,   0.0,  21.3,   2.1,   1.7,  13.5,   3.1,   1.4,   4.3,     483
Whitman-Hanson,07800000,  30.0,  30.3,   3.7,  20.5,   3.7,   0.0,   6.4,   4.4,   1.0,   0.0,     297
Whittier Regional Vocational Technical,08850000,  15.0,  16.3,   1.3,  23.7,   2.3,   0.0,  28.3,   3.0,   0.3,   9.7,     300
Wilmington,03420000,  41.3,  34.6,   0.0,   7.9,   2.5,   0.0,   6.3,   1.7,   1.3,   4.6,     240
Winchendon,03430000,   3.2,  17.5,   0.0,  49.2,   0.0,   0.0,  17.5,   7.9,   1.6,   3.2,      63
Winchester,03440000,  57.1,  34.2,   0.0,   3.4,   0.3,   0.3,   2.5,   0.6,   0.3,   1.2,     322
Winthrop,03460000,  42.9,  24.8,   2.9,  17.1,   0.0,   0.0,   0.0,   1.0,   1.9,   9.5,     105
Woburn,03470000,  32.0,  31.2,   0.0,  17.8,   3.0,   0.9,   6.8,   1.8,   0.3,   6.2,     337
Worcester,03480000,  16.3,  25.0,   0.6,  37.7,   1.6,   0.0,  11.8,   2.0,   0.2,   4.8,"   1,747"
State Totals,00000000,  29.3,  31.1,   0.5,  19.1,   2.0,   0.4,   9.0,   2.1,   1.6,   5.0,"  67,914"
