2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Burlington,00480000,  37.6,  42.7,   0.0,   9.4,   2.6,   0.4,   3.0,   0.9,   1.3,   2.1,     234
Cambridge,00490000,  36.6,  33.5,   0.0,  11.9,   2.8,   0.2,   4.2,   0.0,   4.4,   6.3,     495
Canton,00500000,  37.7,  44.6,   0.0,   9.6,   1.2,   0.0,   1.9,   1.9,   2.3,   0.8,     260
Cape Cod Regional Vocational Technical,08150000,   6.6,   8.0,   0.0,  24.1,  14.6,   0.0,  32.1,   5.8,   5.8,   2.9,     137
Carver,00520000,  30.5,  36.2,   0.0,  20.0,   0.0,   0.0,   6.7,   1.0,   0.0,   5.7,     105
Central Berkshire,06350000,  29.9,  28.2,   0.9,  29.9,   0.9,   0.0,  10.3,   0.0,   0.0,   0.0,     117
Chelmsford,00560000,  38.9,  44.2,   0.0,   9.2,   2.4,   0.0,   2.9,   0.8,   0.8,   0.8,     380
Chelsea,00570000,   8.3,  21.3,   0.0,  38.2,   2.0,   0.0,  11.6,   2.0,   5.3,  11.3,     301
Chicopee,00610000,  17.5,  11.1,   0.0,  33.5,   2.5,   0.0,  16.0,   2.7,   0.0,  16.7,     514
City on a Hill Charter Public School Circuit Street (District),04370000,  31.3,  43.8,   3.1,   9.4,   0.0,   0.0,   3.1,   3.1,   6.3,   0.0,      32
City on a Hill Charter Public School Dudley Square (District),35040000,  28.3,  41.3,   0.0,  30.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      46
City on a Hill Charter Public School New Bedford (District),35070000,  14.8,  37.0,   0.0,  11.1,   3.7,   0.0,   0.0,   7.4,   0.0,  25.9,      27
Clinton,00640000,  21.7,  30.2,   0.0,  28.3,   6.6,   1.9,   5.7,   2.8,   0.0,   2.8,     106
Codman Academy Charter Public (District),04380000,  56.0,  20.0,   0.0,  16.0,   0.0,   4.0,   0.0,   0.0,   0.0,   4.0,      25
Cohasset,00650000,  58.5,  36.2,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0,   4.3,   0.0,      94
Community Charter School of Cambridge (District),04360000,  53.1,  42.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   4.1,      49
Concord-Carlisle,06400000,  69.2,  21.0,   0.0,   2.4,   0.9,   0.3,   0.3,   0.0,   1.2,   4.6,     328
