2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Brockton,440000,12.4,1.1,3.4,81.3,0.2,0.1,1.5,79.4,20.6,"1,847.30",18.7
Brooke Charter School (District),4280000,17,2.6,13,66.9,0,0,0.4,81.7,18.3,228.9,33.1
Brookfield,450000,0,0,0,100,0,0,0,96.2,3.8,43.6,0
Brookline,460000,6.6,5.1,2.6,85,0.1,0.2,0.5,78.8,21.2,"1,242.00",15
Burlington,480000,0.2,2,1.1,96.3,0,0,0.5,83.4,16.6,567.7,3.7
Cambridge,490000,13.1,5,6.3,74.9,0.2,0.2,0.2,79.9,20.1,"1,320.50",25.1
Canton,500000,3.2,1.6,2.3,91.9,0,0,1.1,83.2,16.8,443.7,8.1
Cape Cod Lighthouse Charter (District),4320000,0,0,0,99.4,0,0,0.6,84.9,15.1,36.3,0.6
Cape Cod Regional Vocational Technical,8150000,0.9,0,0,99.1,0,0,0,56.5,43.5,111.3,0.9
Carlisle,510000,1,3.2,0,95.9,0,0,0,83.6,16.4,103.7,4.1
Carver,520000,2.6,0.9,0.9,94.6,0.5,0.5,0,81.9,18.1,214.6,5.4
Central Berkshire,6350000,0,0.4,0,98.7,0,0,0.9,80.5,19.5,233.6,1.3
Chelmsford,560000,0.3,1.7,0.5,97.4,0,0,0.1,84.4,15.6,751.2,2.6
Chelsea,570000,1.3,0.9,20,77.2,0,0.4,0.1,82.2,17.8,743.1,22.8
Chesterfield-Goshen,6320000,0,0,0,100,0,0,0,91.8,8.2,30.6,0
Chicopee,610000,1.5,0.6,4.1,93.5,0.1,0.1,0.1,81.5,18.5,"1,175.60",6.5
Christa McAuliffe Charter Public (District),4180000,4.2,0,2.4,90.6,0,0,2.8,64.3,35.7,71.5,9.4
City on a Hill Charter Public School Circuit Street (District),4370000,19.1,3.8,5.3,69.9,0,0,1.8,71.3,28.7,56.4,30.1
City on a Hill Charter Public School Dudley Square (District),35040000,22.9,7.7,5.6,63.8,0,0,0,63.4,36.6,54,36.2
City on a Hill Charter Public School New Bedford (District),35070000,17.7,4.8,8.5,68.9,0,0,0,74.2,25.8,35.1,31.1
Clarksburg,630000,0,0,0,100,0,0,0,89.2,10.8,32.8,0
Clinton,640000,1.2,0.4,1.8,95.9,0.4,0.4,0,83.8,16.2,260.3,4.1
Codman Academy Charter Public (District),4380000,41.2,4.1,2.8,48.5,1.4,2.1,0,69.7,30.3,72.5,51.5
Cohasset,650000,1,0.2,0.5,98.3,0,0,0,78.5,21.5,210.2,1.7
Collegiate Charter School of Lowell (District),35030000,3,7.6,10.6,78.8,0,0,0,80.3,19.7,66,21.2
Community Charter School of Cambridge (District),4360000,15.8,2.9,20.1,57,0,0,4.3,67.7,32.3,69.7,43
Community Day Charter Public School - Gateway (District),4260000,2.8,2.6,15.9,78.7,0,0,0,90,10,52.9,21.3
Community Day Charter Public School - Prospect (District),4400000,1.5,0.2,18.5,79.7,0,0,0,82.1,17.9,66,20.3
Community Day Charter Public School - R. Kingman Webster (District),4310000,2.9,2.7,20.1,74.3,0,0,0,85.5,14.5,50.9,25.7
Concord,670000,1.6,2.7,1.4,94,0,0.3,0,88.7,11.3,350.7,6
Concord-Carlisle,6400000,1.8,1.4,3.7,93.1,0,0,0,61.9,38.1,190.7,6.9
Conservatory Lab Charter (District),4390000,22.5,2.6,11.3,62.3,0,0,1.3,70.5,29.5,75.6,37.7
Conway,680000,0,0,0,100,0,0,0,88,12,40.1,0
Danvers,710000,0,0.6,1,98.1,0,0,0.2,81.1,18.9,476.9,1.9
Dartmouth,720000,0.4,0,0,98.9,0,0,0.7,80.4,19.6,453.7,1.1
Dedham,730000,1.2,1.3,1.3,95.7,0,0,0.4,84,16,451.7,4.3
Deerfield,740000,0,0,0,100,0,0,0,89.7,10.3,84.3,0
Dennis-Yarmouth,6450000,1.2,0,1.6,96.4,0,0,0.8,83.9,16.1,516.7,3.6
Dighton-Rehoboth,6500000,0.5,0,0.7,98.2,0,0,0.6,81,19,380.3,1.8
Douglas,770000,0,0.5,0.6,98.9,0,0,0,83.3,16.7,198.4,1.1
Dover,780000,1.8,0,2.3,95.9,0,0,0,91.3,8.7,87.2,4.1
Dover-Sherborn,6550000,1.7,1,3.4,93.8,0,0,0,69.1,30.9,174,6.2
Dracut,790000,0.3,0.5,0.8,98.4,0,0,0,82.7,17.3,385.4,1.6
Dudley Street Neighborhood Charter School (District),4070000,49.3,3.9,9.9,36.8,0,0,0,93.4,6.6,30.4,63.2
Dudley-Charlton Reg,6580000,0,0,1.2,97.7,0.7,0,0.5,79.3,20.7,434.2,2.3
Duxbury,820000,0.3,0.8,0.3,98.7,0,0,0,81.5,18.5,379.4,1.3
East Bridgewater,830000,0.4,0,0,99.6,0,0,0,79.2,20.8,278.9,0.4
East Longmeadow,870000,0.5,0.8,2.5,95.4,0,0,0.8,82.2,17.8,381.2,4.6
Eastham,850000,0,0,0,100,0,0,0,89.7,10.3,43.6,0
Easthampton,860000,0.5,0,1.8,97.3,0,0,0.5,82.1,17.9,219.7,2.7
Easton,880000,0.9,0.2,1.3,96.4,0,0,1.1,82.2,17.8,452.6,3.6
Edgartown,890000,1.7,0.2,0,98,0,0,0,83.1,16.9,85.4,2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,38.7,2.1,16.8,38.1,0,0,4.2,56.8,43.2,47.5,61.9
Erving,910000,0,0,0,95.7,0,0,4.3,87.8,12.2,46.4,4.3
Essex North Shore Agricultural and Technical School District,8170000,1.1,0.5,0,98.4,0,0,0,60.5,39.5,187.5,1.6
Everett,930000,3.4,1.9,4.4,89.3,0.2,0.2,0.6,76.6,23.4,878.1,10.7
Excel Academy Charter (District),4100000,3.9,2,15.2,78.9,0,0,0,73,27,194.1,21.1
Fairhaven,940000,0.8,0.4,0.3,97.2,0,0,1.2,77.9,22.1,243,2.8
Fall River,950000,2,1,2.1,93.8,0,0,1.1,81.5,18.5,"1,454.30",6.2
Falmouth,960000,3.2,0.6,1.2,94.4,0,0,0.6,82.2,17.8,517,5.6
Farmington River Reg,6620000,0,0,0,100,0,0,0,88.1,11.9,30.1,0
Fitchburg,970000,2.5,0.3,7.2,89.4,0,0,0.7,79.9,20.1,651.7,10.6
Florida,980000,0,0,0,100,0,0,0,85.1,14.9,25.5,0
