2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Old Colony Regional Vocational Technical,8550000,0,1.2,0,97.6,0,0,1.2,58.3,41.7,84,2.4
Old Rochester,7400000,0,0,0.6,99.4,0,0,0,66.3,33.7,154.9,0.6
Old Sturbridge Academy Charter Public School (District),35150000,0,0,10.6,89.4,0,0,0,89.4,10.6,18.8,10.6
Orange,2230000,0,0,1.1,98.9,0,0,0,91.6,8.4,87.5,1.1
Orleans,2240000,0,0,0,100,0,0,0,88.3,11.7,44.8,0
Oxford,2260000,0.9,0.5,0.9,97.7,0,0,0,81,19,215.4,2.3
Palmer,2270000,0,0,0,98.1,0,0.5,1.4,80.7,19.3,212.2,1.9
Pathfinder Regional Vocational Technical,8600000,0.9,0,0,99.1,0,0,0,48.6,51.4,112,0.9
Paulo Freire Social Justice Charter School (District),35010000,17.5,5.3,35.1,40.4,0,1.8,0,71.9,28.1,57,59.6
Peabody,2290000,0,0.3,0.6,98.9,0,0,0.3,80.4,19.6,757.8,1.1
Pelham,2300000,7.8,0,8.3,83.9,0,0,0,85.4,14.6,26.8,16.1
Pembroke,2310000,0.3,0,0,99.7,0,0,0,84.1,15.9,335.1,0.3
Pentucket,7450000,0,0,0.6,98.8,0,0,0.6,81.3,18.7,346.7,1.2
Petersham,2340000,0,0,0,100,0,0,0,92.2,7.8,21.6,0
Phoenix Academy Public Charter High School Springfield (District),35080000,48.2,8,8,35.7,0,0,0,64.3,35.7,24.9,64.3
Phoenix Charter Academy (District),4930000,8.1,6.9,13.9,71.1,0,0,0,71.4,28.6,43.3,28.9
Pioneer Charter School of Science (District),4940000,2.8,3.1,3.3,89.7,0,0,1.1,76.9,23.1,90.2,10.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,10.4,20.1,2.2,67.2,0,0,0,55.9,44.1,45.5,32.8
Pioneer Valley,7500000,0,0,0.4,99.6,0,0,0,88.2,11.8,161.7,0.4
Pioneer Valley Chinese Immersion Charter (District),4970000,2.2,39.1,0,57.5,0,0,1.1,79.8,20.2,90.5,42.5
Pioneer Valley Performing Arts Charter Public (District),4790000,4.5,1.5,7.5,83,0.6,0,3,59.8,40.2,67.1,17
Pittsfield,2360000,1.7,0.7,1.5,95,0,0,1.1,79.9,20.1,851.5,5
Plainville,2380000,0,2.6,1.7,94.8,0,0,0.9,95,5,115.4,5.2
Plymouth,2390000,0.5,0.8,0.7,97.9,0,0.1,0,81.5,18.5,"1,069.70",2.1
Plympton,2400000,0,0,0,100,0,0,0,96.7,3.3,32.3,0
Prospect Hill Academy Charter (District),4870000,13.1,3.9,7.7,74.3,0,0,1,76.9,23.1,178,25.7
Provincetown,2420000,0,0,0,97.5,0,0,2.5,80.6,19.4,39.9,2.5
Quabbin,7530000,0.7,0.7,1,96.8,0,0.4,0.4,85,15,274.7,3.2
Quaboag Regional,7780000,0,0.5,0,99.5,0,0,0,83.7,16.3,189.7,0.5
Quincy,2430000,0.3,4.2,0.2,93.8,0.2,0,1.4,81.2,18.8,"1,153.00",6.2
Ralph C Mahar,7550000,1,1,3.1,94.9,0,0,0,70.5,29.5,97.6,5.1
Randolph,2440000,14.5,3.8,4.3,75.1,0.2,0,2,80.3,19.7,441.4,24.9
Reading,2460000,0.2,0.5,0.2,98.6,0.2,0,0.2,85.2,14.8,530.1,1.4
Revere,2480000,1,1.2,3.2,93.7,0.2,0.1,0.6,79.2,20.8,816.5,6.3
Richmond,2490000,4.3,0,0,95.7,0,0,0,89.1,10.9,35,4.3
Rising Tide Charter Public (District),4830000,2.3,1.1,3.4,93.1,0,0,0,71.5,28.5,87.6,6.9
River Valley Charter (District),4820000,0,0,0,95.7,0,0,4.3,81.9,18.1,46.9,4.3
Rochester,2500000,3,0,0,97,0,0,0,83.9,16.1,66.6,3
Rockland,2510000,0.6,0,0.9,98.1,0,0,0.3,87.5,12.5,320.4,1.9
Rockport,2520000,0,0,0.6,99.4,0,0,0,79.8,20.2,155.4,0.6
Rowe,2530000,0,0,6.3,93.7,0,0,0,81.3,18.7,15.8,6.3
Roxbury Preparatory Charter (District),4840000,24.6,6.8,10.2,56.2,0,0,2.2,63.5,36.5,175.9,43.8
Sabis International Charter (District),4410000,10.6,1.3,10.4,77.7,0,0,0,73.2,26.8,135.1,22.3
Salem,2580000,0.8,0.4,6.5,92.3,0,0,0,81.1,18.9,746.8,7.7
Salem Academy Charter (District),4850000,4.3,0,13,81.2,0,1.4,0,66.3,33.7,69,18.8
Sandwich,2610000,0,0.8,1.2,97.8,0,0,0.3,86.2,13.8,378.5,2.2
Saugus,2620000,0.3,0,1.7,97.4,0,0.3,0.3,80,20,356.5,2.6
Savoy,2630000,0,0,7.9,92.1,0,0,0,97.2,2.8,12.7,7.9
Scituate,2640000,0.2,0.7,0,99,0,0,0,83.6,16.4,406.8,1
Seekonk,2650000,0.4,0.4,0,98.9,0,0,0.4,82.7,17.3,267.6,1.1
Seven Hills Charter Public (District),4860000,10.8,1.1,13,74,1.1,0,0,79.4,20.6,92.4,26
Sharon,2660000,1.1,1.9,0.5,96.3,0.2,0,0,81.9,18.1,424.1,3.7
Shawsheen Valley Regional Vocational Technical,8710000,0,0,1.3,98.2,0,0.5,0,59.8,40.2,191.4,1.8
Sherborn,2690000,1.7,0,0,97.2,0,0,1.1,93.5,6.5,70.9,2.8
Shrewsbury,2710000,0.5,1.7,1.8,95.2,0.3,0,0.6,86.2,13.8,798.1,4.8
Shutesbury,2720000,0,2.8,2.8,91,0,0,3.4,90.8,9.2,35.4,9
Silver Hill Horace Mann Charter (District),4770000,0,0,1.7,98.3,0,0,0,89.6,10.4,57.9,1.7
Silver Lake,7600000,0,0,0,100,0,0,0,70.8,29.2,223,0
Sizer School: A North Central Charter Essential (District),4740000,0,1.7,4.9,93.4,0,0,0,72,28,59.1,6.6
Somerset,2730000,0.4,0,0,99.6,0,0,0,87.8,12.2,229.1,0.4
Somerset Berkley Regional School District,7630000,0,0,3.2,96.8,0,0,0,65.1,34.9,126.7,3.2
Somerville,2740000,4.7,1.9,9.8,82.5,0.3,0,0.8,77.4,22.6,755.6,17.5
South Hadley,2780000,0.4,0.7,0.4,98.5,0,0,0,78.2,21.8,272.2,1.5
South Middlesex Regional Vocational Technical,8290000,0.7,0.7,6,92.5,0,0,0,52.1,47.9,133.7,7.5
South Shore Charter Public (District),4880000,5.5,1.5,0.8,92.2,0,0,0,71.1,28.9,123.8,7.8
South Shore Regional Vocational Technical,8730000,0,0,1.1,98.9,0,0,0,50.9,49.1,95.2,1.1
Southampton,2750000,0,0,1.2,96,0,0,2.8,88.4,11.6,71.3,4
Southborough,2760000,0.5,0,0.8,97.4,0.8,0.4,0.1,88.7,11.3,249.7,2.6
Southbridge,2770000,1.4,0,7.8,90.8,0,0,0,76.2,23.8,346.5,9.2
Southeastern Regional Vocational Technical,8720000,7,2,2.5,88,0,0,0.5,59.4,40.6,200.5,12
Southern Berkshire,7650000,1.3,0.7,1.9,94.8,0.7,0,0.7,77.1,22.9,149.1,5.2
Southern Worcester County Regional Vocational Technical,8760000,0,0,1.2,98.8,0,0,0,55.8,44.2,165,1.2
Southwick-Tolland-Granville Regional School District,7660000,0,0.8,1.6,96.8,0,0,0.8,84.4,15.6,249.3,3.2
Spencer-E Brookfield,7670000,0,0,0,99.5,0,0,0.5,81.2,18.8,212.8,0.5
Springfield,2810000,14.5,1,15,69.4,0,0.1,0.1,78.6,21.4,"3,572.40",30.6
Springfield Preparatory Charter School (District),35100000,24.3,0,7.5,68.2,0,0,0,87.5,12.5,32.1,31.8
Stoneham,2840000,0.6,1.2,0,97.9,0,0,0.3,82.1,17.9,337.5,2.1
Stoughton,2850000,0.6,1,0.5,96.7,0.2,0.4,0.5,82.4,17.6,463.5,3.3
Sturbridge,2870000,0,0,0,100,0,0,0,91.9,8.1,131.1,0
Sturgis Charter Public (District),4890000,0,2.2,1.9,95.9,0,0,0,65.8,34.2,134.7,4.1
Sudbury,2880000,1.9,0.3,0.6,96,0,0,1.3,85.2,14.8,375.3,4
Sunderland,2890000,1.5,1.5,3,94,0,0,0,86.8,13.2,66.8,6
Sutton,2900000,1.4,0.5,0,98.1,0,0,0,81.4,18.6,208.2,1.9
Swampscott,2910000,0.6,0.3,1.2,97.9,0,0,0,81.9,18.1,339.7,2.1
Swansea,2920000,0.8,0.4,0.4,98.4,0,0,0,72.3,27.7,244,1.6
TEC Connections Academy Commonwealth Virtual School District,39020000,2.5,5.2,1.3,91,0,0,0,70,30,76.9,9
Tantasqua,7700000,1.3,0,0.9,97.4,0,0,0.4,65.5,34.5,231.6,2.6
Taunton,2930000,1.5,0.4,1.4,96.5,0,0,0.1,82.5,17.5,913.6,3.5
Tewksbury,2950000,0.6,1.3,0.8,97.1,0.2,0,0,82.9,17.1,478.3,2.9
Tisbury,2960000,1.8,0.2,5.2,91.5,0,0,1.3,86.4,13.6,77.5,8.5
Topsfield,2980000,0,0,0.8,99.2,0,0,0,92,8,102.8,0.8
Tri-County Regional Vocational Technical,8780000,0,0.7,0,99.3,0,0,0,61.4,38.6,139.1,0.7
Triton,7730000,0.8,0,0.2,99,0,0,0,77.2,22.8,386.3,1
Truro,3000000,0,0,2.8,97.2,0,0,0,85.1,14.9,36.2,2.8
Tyngsborough,3010000,0,0.5,0.3,99.3,0,0,0,76,24,220,0.7
UP Academy Charter School of Boston (District),4800000,16.4,6.6,8.2,68.9,0,0,0,63.9,36.1,61,31.1
UP Academy Charter School of Dorchester (District),35050000,22.9,2.3,6.9,67.9,0,0,0,80.5,19.5,86.9,32.1
Up-Island Regional,7740000,0.5,0,1.4,96.9,0,0,1.1,87.4,12.6,87.5,3.1
Upper Cape Cod Regional Vocational Technical,8790000,0,0,0,99,1,0,0,40.3,59.7,100.4,1
Uxbridge,3040000,0,0,0.5,99.5,0,0,0,80.6,19.4,215,0.5
Veritas Preparatory Charter School (District),4980000,8.4,0,14.7,74.7,0,0,2.1,83.2,16.8,47.5,25.3
Wachusett,7750000,0.3,0.1,0.6,98.9,0,0,0,82.3,17.7,896.5,1.1
Wakefield,3050000,0,0.9,1.1,97.8,0.2,0,0,78.8,21.2,453.8,2.2
Wales,3060000,0,0,0,100,0,0,0,94.5,5.5,20.5,0
Walpole,3070000,0,0.6,0.9,98.5,0,0,0,83.3,16.7,483.7,1.5
Waltham,3080000,2.2,1.2,5.2,90.7,0,0.2,0.6,79.9,20.1,864.2,9.3
Ware,3090000,0.6,0,3.4,96.1,0,0,0,83.1,16.9,177.7,3.9
Wareham,3100000,1.1,0.3,0,94.9,0,0,3.7,82.7,17.3,348.7,5.1
Watertown,3140000,0.6,0.8,0.2,98.1,0,0,0.2,77.5,22.5,479.6,1.9
Wayland,3150000,1.4,1.8,1.3,94.8,0,0.2,0.5,79.2,20.8,433.4,5.2
Webster,3160000,1.5,0,1.1,97.1,0,0,0.4,83.3,16.7,271.8,2.9
Wellesley,3170000,1.8,2.2,2.2,92.4,0.1,0,1.4,80.8,19.2,853.3,7.6
Wellfleet,3180000,0,0,0,100,0,0,0,92.4,7.6,32.9,0
West Boylston,3220000,0.7,0.7,1.5,95.6,0,0,1.5,78.7,21.3,135.7,4.4
West Bridgewater,3230000,0,0,0,99.4,0,0,0.6,82.9,17.1,154.7,0.6
West Springfield,3320000,0.7,0.3,2,96.5,0.2,0,0.3,80,20,600.8,3.5
Westborough,3210000,0.4,2.1,0.5,96.2,0.2,0.2,0.5,85.2,14.8,561.5,3.8
Westfield,3250000,0.4,1.2,1.6,96.1,0.3,0,0.4,83.4,16.6,803,3.9
Westford,3260000,0.1,2.4,1.2,96,0,0,0.2,84.4,15.6,672.6,4
Westhampton,3270000,0,0,0,100,0,0,0,90.5,9.5,30.6,0
Weston,3300000,3.2,3.8,3.6,88.5,0.2,0.3,0.5,76.4,23.6,349.4,11.5
Westport,3310000,0,0,0,100,0,0,0,78.7,21.3,230,0
Westwood,3350000,1.1,1.2,1.5,95.8,0,0,0.4,79.7,20.3,474.6,4.2
Weymouth,3360000,0.4,0.5,0.6,98.1,0.1,0,0.2,79.5,20.5,800,1.9
Whately,3370000,0,0,0,100,0,0,0,91.3,8.7,32.2,0
Whitman-Hanson,7800000,0.7,0.2,0.9,98,0,0,0.2,80.4,19.6,428.3,2
Whittier Regional Vocational Technical,8850000,0,0,0.7,99.3,0,0,0,52.9,47.1,143.4,0.7
Williamsburg,3400000,0,0,0,100,0,0,0,92.4,7.6,30.6,0
Williamstown,3410000,0,2.2,0.5,96,0,0,1.4,95.8,4.2,73.7,4
Wilmington,3420000,0.3,0.9,0.9,97.3,0.2,0,0.4,83.7,16.3,460.2,2.7
Winchendon,3430000,1.2,0,0.6,98.2,0,0,0,82.8,17.2,165.7,1.8
Winchester,3440000,0.8,0.3,1,97.5,0,0,0.3,83.9,16.1,580.4,2.5
Winthrop,3460000,0.4,0.8,0,98.8,0,0,0,79.5,20.5,246.6,1.2
Woburn,3470000,0.3,0.5,1.2,98,0,0,0,81.9,18.1,646.4,2
Worcester,3480000,3.8,1.4,9.5,85.2,0,0.2,0,79.5,20.5,"3,270.70",14.8
Worthington,3490000,0,0,0,100,0,0,0,90.9,9.1,14.3,0
Wrentham,3500000,0,2.4,0.6,96.9,0,0,0,95,5,157,3.1
State Totals,0,3.9,1.5,4.1,89.9,0.1,0.1,0.5,79.8,20.2,"132,765.20",10.1
