2017-18 SAT Performance Report - Economically Disadvantaged,,,,
District Name,District Code,sat_tests_taken_lowincome,reading_writing_lowincome,math_lowincome
Monomoy Regional School District,7120000,21,558,559
Monson,1910000,8,,
Montachusett Regional Vocational Technical,8320000,41,484,469
Mount Greylock,7150000,12,555,548
Mystic Valley Regional Charter (District),4700000,29,557,563
Nantucket,1970000,30,522,482
Narragansett,7200000,10,525,522
Nashoba,7250000,8,,
Nashoba Valley Regional Vocational Technical,8520000,24,524,495
Natick,1980000,38,545,553
Nauset,6600000,53,581,560
Needham,1990000,30,563,573
New Bedford,2010000,99,463,467
Newburyport,2040000,16,532,534
Newton,2070000,125,564,585
Norfolk County Agricultural,9150000,23,541,540
North Adams,2090000,21,488,474
North Andover,2110000,29,516,489
North Attleborough,2120000,32,528,539
North Brookfield,2150000,3,,
North Middlesex,7350000,14,609,545
North Reading,2170000,12,543,503
Northampton,2100000,34,556,543
Northampton-Smith Vocational Agricultural,4060000,9,,
Northboro-Southboro,7300000,27,560,557
Northbridge,2140000,24,524,508
Northeast Metropolitan Regional Vocational Technical,8530000,62,481,465
Northern Berkshire Regional Vocational Technical,8510000,18,513,485
Norton,2180000,14,524,535
Norwell,2190000,10,550,544
Norwood,2200000,46,517,525
Old Colony Regional Vocational Technical,8550000,7,,
Old Rochester,7400000,22,558,558
Oxford,2260000,23,477,487
Palmer,2270000,16,546,551
Pathfinder Regional Vocational Technical,8600000,19,514,480
Paulo Freire Social Justice Charter School (District),35010000,36,461,450
Peabody,2290000,75,507,509
Pembroke,2310000,23,551,571
Pentucket,7450000,19,543,555
Phoenix Academy Public Charter High School Springfield (District),35080000,14,471,432
Phoenix Charter Academy (District),4930000,2,,
Pioneer Charter School of Science (District),4940000,32,559,600
Pioneer Charter School of Science II (PCSS-II) (District),35060000,13,564,645
Pioneer Valley,7500000,4,,
Pioneer Valley Chinese Immersion Charter (District),4970000,5,,
Pioneer Valley Performing Arts Charter Public (District),4790000,9,,
Pittsfield,2360000,76,498,501
Plymouth,2390000,130,508,495
Prospect Hill Academy Charter (District),4870000,41,497,501
Quabbin,7530000,20,556,530
Quaboag Regional,7780000,20,577,552
Quincy,2430000,248,517,546
Ralph C Mahar,7550000,18,548,527
Randolph,2440000,65,480,505
Reading,2460000,22,540,525
Revere,2480000,246,485,489
Rising Tide Charter Public (District),4830000,10,564,485
Rockland,2510000,25,518,518
Rockport,2520000,7,,
Roxbury Preparatory Charter (District),4840000,34,498,525
Sabis International Charter (District),4410000,43,499,500
Salem,2580000,122,442,437
