2018 Advanced Course Completion Report (District)  - Female,,,,,,,,,,
District Name,District Code,#_11_12_student_female,# _advanced_students_female,%_complete_advanced_female,%_ELA_female,%_math_female,%_science_tech_female,%_history_socialscience_female,%_arts_female,%_other_subjects_female
Westport,03310000,          76,          58,  76.3,  44.7,  57.9,  25.0,  15.8,   9.2,   1.0
Westwood,03350000,         263,         196,  74.5,  32.7,  63.5,  12.2,  51.0,   3.8,  14.0
Weymouth,03360000,         459,         457,  99.6,  68.8,  90.8,  67.1,  44.2,  27.7,  43.0
Whitman-Hanson,07800000,         317,         229,  72.2,  48.6,  54.9,  25.6,  33.1,   0.0,   3.0
Whittier Regional Vocational Technical,08850000,         284,         194,  68.3,  48.6,  68.0,  45.4,  45.4,  16.9,  45.0
Wilmington,03420000,         231,         173,  74.9,  25.1,  72.3,  22.9,  17.3,   0.4,   4.0
Winchendon,03430000,          78,          48,  61.5,  42.3,  42.3,  15.4,  32.1,   0.0,   0.0
Winchester,03440000,         296,         295,  99.7,  49.3,  95.3,  85.1,  60.5,  19.6,  99.0
Winthrop,03460000,         125,         103,  82.4,  43.2,  81.6,  32.8,  25.6,   0.0,   1.0
Woburn,03470000,         351,         256,  72.9,   9.7,  60.7,  33.9,  21.4,   1.1,   6.0
Worcester,03480000,"       1,717","       1,063",  61.9,  21.4,  43.9,  20.9,  17.1,   3.1,  11.0
State Totals,00000000,"      70,308","      48,601",  69.1,  24.7,  58.9,  25.9,  24.7,   3.8,  12.0
