2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Deerfield,740000,52,52,100,19.2,78.8,1.9,0
Dennis-Yarmouth,6450000,348,344,98.9,37.2,58.7,3.2,0.9
Dighton-Rehoboth,6500000,266,256,96.2,16.4,83.2,0.4,0
Douglas,770000,117,115,98.3,15.7,80.9,3.5,0
Dover,780000,57,57,100,1.8,96.5,1.8,0
Dover-Sherborn,6550000,141,107,75.9,9.3,87.9,2.8,0
Dracut,790000,266,256,96.2,12.1,82.8,4.7,0.4
Dudley Street Neighborhood Charter School (District),4070000,25,25,100,,,,
Dudley-Charlton Reg,6580000,305,305,100,17.4,82,0.7,0
Duxbury,820000,257,253,98.4,15.8,83.4,0.4,0.4
East Bridgewater,830000,181,181,100,7.7,90.6,1.1,0.6
East Longmeadow,870000,256,249,97.3,25.7,73.9,0,0.4
Eastham,850000,30,30,100,76.7,23.3,0,0
Easthampton,860000,139,139,100,7.9,87.8,3.6,0.7
Easton,880000,330,312,94.5,13.1,85.6,1.3,0
Edgartown,890000,65,65,100,21.5,78.5,0,0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,42,38,90.5,57.9,42.1,0,0
Erving,910000,27,27,100,22.2,77.8,0,0
Essex North Shore Agricultural and Technical School District,8170000,158,155,98.1,,,,
Everett,930000,609,603,99,5.8,91.4,2.7,0.2
Excel Academy Charter (District),4100000,,,,,,,
Fairhaven,940000,178,172,96.6,13.4,77.9,8.7,0
Fall River,950000,950,868,91.4,9.1,72.5,18,0.5
Falmouth,960000,364,364,100,15.7,83.2,1.1,0
Farmington River Reg,6620000,21,21,100,14.3,85.7,0,0
Fitchburg,970000,465,455,97.8,13.6,80.2,6.2,0
Florida,980000,19,15,78.9,,,,
Four Rivers Charter Public (District),4130000,,,,,,,
Foxborough,990000,254,253,99.6,20.2,77.5,2,0.4
Foxborough Regional Charter (District),4460000,,,,,,,
Framingham,1000000,953,757,79.4,12.7,82.3,4.8,0.3
Francis W. Parker Charter Essential (District),4780000,,,,,,,
Franklin,1010000,484,461,95.2,15.2,81.8,3,0
Franklin County Regional Vocational Technical,8180000,66,66,100,9.1,87.9,3,0
