2017-18  Graduates Attending Institutions of Higher Education (District) - Afr. Amer./Black - All Colleges and Universities,,,,
District Name,District Code,Black High School Graduates (#),Black Attending Coll./Univ. (#),Black Attending Coll./Univ. (%)
Old Colony Regional Vocational Technical,08550000,1,,
Old Rochester,07400000,3,,
Oxford,02260000,2,,
Palmer,02270000,1,,
Peabody,02290000,14,,
Pembroke,02310000,1,,
Phoenix Academy Public Charter High School Springfield (District),35080000,2,,
Phoenix Charter Academy (District),04930000,4,,
Pioneer Charter School of Science (District),04940000,7,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,15,15,100
Pioneer Valley Chinese Immersion Charter (District),04970000,2,,
Pioneer Valley Performing Arts Charter Public (District),04790000,3,,
Pittsfield,02360000,36,23,63.9
Plymouth,02390000,13,,
Prospect Hill Academy Charter (District),04870000,37,37,100
Quabbin,07530000,1,,
Quaboag Regional,07780000,1,,
Quincy,02430000,39,27,69.2
Randolph,02440000,82,58,70.7
Reading,02460000,4,,
Revere,02480000,26,16,61.5
Rising Tide Charter Public (District),04830000,1,,
Rockland,02510000,4,,
Rockport,02520000,1,,
Sabis International Charter (District),04410000,45,36,80
Salem,02580000,15,6,40
Salem Academy Charter (District),04850000,4,,
Saugus,02620000,5,,
Scituate,02640000,2,,
Seekonk,02650000,1,,
Sharon,02660000,18,14,77.8
Shawsheen Valley Regional Vocational Technical,08710000,4,,
Shrewsbury,02710000,9,,
Silver Lake,07600000,3,,
Somerset Berkley Regional School District,07630000,1,,
Somerville,02740000,40,32,80
South Hadley,02780000,6,,
South Middlesex Regional Vocational Technical,08290000,11,,
South Shore Charter Public (District),04880000,13,,
South Shore Regional Vocational Technical,08730000,1,,
Southbridge,02770000,5,,
Southeastern Regional Vocational Technical,08720000,113,69,61.1
Southern Worcester County Regional Vocational Technical,08760000,2,,
Southwick-Tolland-Granville Regional School District,07660000,1,,
Spencer-E Brookfield,07670000,1,,
Springfield,02810000,340,219,64.4
Stoneham,02840000,3,,
Stoughton,02850000,53,38,71.7
Sturgis Charter Public (District),04890000,4,,
