2017 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Dracut,00790000,"39,722,159.40","39,972,482.72","250,323.31",101,"37,207,996.85",107,
Dudley-Charlton Reg,06580000,"39,686,350.00","40,584,633.80","898,283.80",102,"37,500,027.00",108,
Duxbury,00820000,"29,525,104.24","38,664,083.83","9,138,979.60",131,"29,421,665.88",131,
East Bridgewater,00830000,"22,204,943.21","23,909,863.65","1,704,920.44",108,"20,397,715.37",117,
East Longmeadow,00870000,"26,007,420.22","35,053,219.88","9,045,799.66",135,"26,003,641.13",135,
Eastham,00850000,"1,852,793.00","4,297,937.00","2,445,144.00",232,"1,797,116.27",239,
Easthampton,00860000,"19,770,653.00","19,966,274.60","195,621.60",101,"18,091,522.21",110,
Easton,00880000,"35,661,589.00","44,293,809.46","8,632,220.46",124,"34,160,203.24",130,
Edgartown,00890000,"4,012,060.00","10,345,365.51","6,333,305.51",258,"4,012,060.08",258,
Erving,00910000,"2,335,487.00","4,975,748.83","2,640,261.83",213,"2,249,261.63",221,
Essex North Shore Agricultural and Technical School District,08170000,"14,380,155.00","15,172,379.80","792,224.80",106,"14,380,155.00",106,
Everett,00930000,"90,695,818.00","94,413,105.90","3,717,287.90",104,"87,583,038.24",108,
Fairhaven,00940000,"19,026,409.85","19,549,972.38","523,562.53",103,"18,309,668.06",107,
Fall River,00950000,"134,822,501.60","134,690,083.60","-132,418.01",100,"133,322,501.00",101,
Falmouth,00960000,"35,716,152.00","53,730,510.00","18,014,358.00",150,"35,716,152.02",150,
Farmington River Reg,06620000,"2,484,384.00","3,818,133.34","1,333,749.34",154,"2,464,478.00",155,
Fitchburg,00970000,"64,655,059.44","64,846,646.04","191,586.60",100,"64,368,039.00",101,
Florida,00980000,"1,031,722.00","1,643,719.00","611,997.00",159,"894,111.97",184,
Foxborough,00990000,"30,062,350.00","40,764,475.87","10,702,125.87",136,"26,222,277.01",155,
