2017 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Richmond,02490000,"1,369,472.00","3,699,119.29","2,329,647.29",270,"1,203,251.38",307,
Rochester,02500000,"4,534,215.00","6,310,861.77","1,776,646.77",139,"4,400,657.96",143,
Rockland,02510000,"26,065,027.00","31,602,644.56","5,537,617.56",121,"25,814,155.98",122,
Rockport,02520000,"7,848,747.00","15,109,290.00","7,260,543.00",193,"7,673,923.81",197,
Rowe,02530000,"669,883.00","1,872,323.18","1,202,440.18",280,"642,285.43",292,
Salem,02580000,"52,987,392.19","70,083,228.81","17,095,836.62",132,"52,561,026.71",133,
Sandwich,02610000,"30,262,350.00","42,044,326.00","11,781,976.00",139,"27,982,398.59",150,
Saugus,02620000,"28,749,880.02","40,695,349.68","11,945,469.66",142,"27,795,391.63",146,
Savoy,02630000,"824,788.00","941,619.15","116,831.15",114,"644,284.77",146,
Scituate,02640000,"28,519,126.00","40,298,298.89","11,779,172.89",141,"27,740,691.56",145,
Seekonk,02650000,"19,214,123.97","27,747,070.00","8,532,946.03",144,"18,466,575.15",150,
Sharon,02660000,"33,560,004.00","49,391,908.66","15,831,904.66",147,"32,581,200.06",152,
Shawsheen Valley Regional Vocational Technical,08710000,"21,760,196.73","25,619,170.76","3,858,974.03",118,"20,610,764.00",124,
Sherborn,02690000,"3,485,015.00","7,136,302.48","3,651,287.48",205,"3,478,451.78",205,
Shrewsbury,02710000,"62,098,082.00","72,795,136.95","10,697,054.95",117,"56,301,993.69",129,
Shutesbury,02720000,"1,243,885.00","2,310,228.03","1,066,343.03",186,"1,115,064.60",207,
Silver Lake,07600000,"20,063,434.00","23,885,541.21","3,822,107.21",119,"20,069,649.00",119,
Somerset,02730000,"16,558,627.00","21,829,616.46","5,270,989.46",132,"16,558,627.16",132,
Somerset Berkley Regional School District,07630000,"10,019,595.00","12,994,350.67","2,974,755.67",130,"10,019,595.00",130,
Somerville,02740000,"71,964,413.00","92,885,617.16","20,921,204.16",129,"62,011,654.56",150,
South Hadley,02780000,"20,850,348.00","24,747,422.72","3,897,074.72",119,"19,049,378.10",130,
South Middlesex Regional Vocational Technical,08290000,"11,978,398.00","15,970,023.46","3,991,625.46",133,"11,942,604.00",134,
South Shore Regional Vocational Technical,08730000,"9,836,290.00","11,487,656.21","1,651,366.21",117,"9,836,290.00",117,
Southampton,02750000,"5,586,144.00","5,793,877.63","207,733.63",104,"4,702,769.24",123,
Southborough,02760000,"12,362,521.00","22,677,133.21","10,314,612.21",183,"11,260,409.13",201,
Southbridge,02770000,"27,951,570.00","28,172,552.12","220,982.12",101,"27,951,569.61",101,
Southeastern Regional Vocational Technical,08720000,"23,532,615.00","23,568,965.00","36,350.00",100,"23,532,615.00",100,
Southern Berkshire,07650000,"8,088,068.00","13,613,111.64","5,525,043.64",168,"7,411,694.00",184,
Southern Worcester County Regional Vocational Technical,08760000,"18,553,560.00","17,863,861.95","-689,698.05",96,"17,712,277.00",101,
Southwick-Tolland-Granville Regional School District,07660000,"20,174,294.94","20,598,332.34","424,037.40",102,"16,154,792.00",128,
Spencer-E Brookfield,07670000,"21,392,920.50","21,448,959.00","56,038.50",100,"18,292,027.00",117,
Springfield,02810000,"356,553,652.00","356,553,650.80",-1.16,100,"356,553,651.80",100,
Stoneham,02840000,"23,911,223.00","31,852,328.00","7,941,105.00",133,"23,858,093.31",134,
Stoughton,02850000,"38,325,838.00","49,886,626.28","11,560,788.28",130,"38,325,837.80",130,
Sturbridge,02870000,"8,568,351.00","11,213,976.00","2,645,625.00",131,"8,568,351.21",131,
Sudbury,02880000,"25,618,572.00","39,341,064.05","13,722,492.05",154,"25,153,175.96",156,
Sunderland,02890000,"2,352,297.67","2,503,874.00","151,576.33",106,"1,863,761.31",134,
Sutton,02900000,"15,150,884.00","17,301,534.99","2,150,650.99",114,"13,322,264.81",130,
Swampscott,02910000,"20,368,467.00","31,983,185.20","11,614,718.20",157,"20,368,467.03",157,
Swansea,02920000,"20,188,469.00","23,411,989.05","3,223,520.05",116,"19,920,849.29",118,
Tantasqua,07700000,"18,521,079.00","20,440,885.90","1,919,806.90",110,"18,521,079.00",110,
Taunton,02930000,"90,109,715.67","94,188,104.31","4,078,388.64",105,"89,152,710.00",106,
Tewksbury,02950000,"39,836,646.00","51,215,997.00","11,379,351.00",129,"33,549,032.42",153,
Tisbury,02960000,"3,769,020.00","8,247,425.24","4,478,405.24",219,"3,769,019.75",219,
Topsfield,02980000,"5,502,341.00","9,266,685.78","3,764,344.78",168,"5,219,302.48",178,
Tri-County Regional Vocational Technical,08780000,"15,835,860.00","16,097,131.11","261,271.11",102,"15,221,337.00",106,
Triton,07730000,"29,352,095.00","36,001,221.80","6,649,126.80",123,"24,821,868.00",145,
Truro,03000000,"1,912,666.00","5,858,023.54","3,945,357.54",306,"1,912,666.25",306,
Tyngsborough,03010000,"18,271,043.00","21,953,061.47","3,682,018.47",120,"15,994,837.79",137,
Up-Island Regional,07740000,"3,775,369.00","10,731,163.63","6,955,794.63",284,"3,590,852.00",299,
Upper Cape Cod Regional Vocational Technical,08790000,"11,606,912.00","12,504,307.77","897,395.77",108,"11,535,664.00",108,
Uxbridge,03040000,"20,061,894.00","25,473,325.96","5,411,431.96",127,"18,410,939.78",138,
Wachusett,07750000,"66,244,797.00","77,246,096.65","11,001,299.65",117,"65,958,496.00",117,
Wakefield,03050000,"34,230,684.00","46,549,264.14","12,318,580.14",136,"34,230,683.75",136,
Wales,03060000,"1,585,578.00","1,932,522.00","346,944.00",122,"1,585,577.72",122,
Walpole,03070000,"38,508,765.71","50,650,758.28","12,141,992.57",132,"36,843,723.37",137,
Waltham,03080000,"62,750,465.00","103,950,490.00","41,200,024.96",166,"62,274,785.54",167,
Ware,03090000,"14,839,037.00","15,716,870.13","877,833.13",106,"14,839,037.08",106,
Wareham,03100000,"30,062,506.14","35,995,111.31","5,932,605.17",120,"29,850,414.40",121,
Watertown,03140000,"27,633,494.00","49,094,010.41","21,460,516.41",178,"27,574,866.38",178,
Wayland,03150000,"24,686,281.00","43,107,782.84","18,421,501.84",175,"24,640,382.59",175,
Webster,03160000,"22,136,766.00","24,534,398.49","2,397,632.49",111,"22,136,766.25",111,
Wellesley,03170000,"49,005,991.00","85,640,883.68","36,634,892.68",175,"49,005,990.89",175,
Wellfleet,03180000,"1,077,720.00","3,271,755.67","2,194,035.67",304,"1,067,714.34",306,
West Boylston,03220000,"9,788,411.00","12,952,344.86","3,163,933.86",132,"8,692,760.01",149,
West Bridgewater,03230000,"10,285,489.00","13,570,020.64","3,284,531.64",132,"10,285,489.06",132,
West Springfield,03320000,"44,295,065.00","48,891,014.34","4,595,949.34",110,"44,295,065.43",110,
Westborough,03210000,"33,333,468.00","52,670,808.11","19,337,340.11",158,"33,283,538.02",158,
Westfield,03250000,"60,438,031.49","68,191,418.72","7,753,387.23",113,"59,795,241.40",114,
Westford,03260000,"50,383,688.00","61,957,971.87","11,574,283.87",123,"45,233,495.41",137,
Westhampton,03270000,"1,433,800.00","2,245,328.00","811,528.00",157,"1,360,673.00",165,
Weston,03300000,"20,900,053.00","45,824,806.00","24,924,753.00",219,"20,900,052.87",219,
Westport,03310000,"16,893,211.00","19,439,768.41","2,546,557.41",115,"14,911,266.00",130,
Westwood,03350000,"29,456,989.91","48,292,571.51","18,835,581.60",164,"29,301,469.67",165,
Weymouth,03360000,"75,338,479.00","79,036,085.67","3,697,606.67",105,"69,159,899.61",114,
Whately,03370000,"970,925.09","1,961,535.29","990,610.20",202,"852,415.71",230,
Whitman-Hanson,07800000,"41,211,054.00","42,954,085.02","1,743,031.02",104,"38,333,512.00",112,
Whittier Regional Vocational Technical,08850000,"19,322,789.00","20,608,271.00","1,285,482.00",107,"19,322,789.00",107,
