2017-18  Graduates Attending Institutions of Higher Education (District) - Economically Disadvantaged - All Colleges and Universities,,,,
District Name,District Code,Low Income High School Graduates (#),Low Income Attending Coll./Univ. (#),Low Income Attending Coll./Univ. (%)
Weston,03300000,15,12,80
Westport,03310000,22,13,59.1
Westwood,03350000,17,13,76.5
Weymouth,03360000,154,89,57.8
Whitman-Hanson,07800000,82,46,56.1
Whittier Regional Vocational Technical,08850000,119,62,52.1
Wilmington,03420000,44,31,70.5
Winchendon,03430000,34,13,38.2
Winchester,03440000,34,29,85.3
Winthrop,03460000,31,20,64.5
Woburn,03470000,101,64,63.4
Worcester,03480000,1204,641,53.2
State Totals,00000000,24212,14185,58.6
