2017-18 SAT Performance Report - Female,,,,,
District Name,District Code,sat_tests_taken_female,reading_writing_female,math_female,math_female
Marshfield,01710000,     256,568,,548
Martha's Vineyard,07000000,      88,550,,521
Martha's Vineyard Charter (District),04660000,       7,,,
Masconomet,07050000,     172,578,,573
Mashpee,01720000,      58,558,,539
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      14,544,,506
Maynard,01740000,      59,566,,528
Medfield,01750000,     138,593,,600
Medford,01760000,     208,546,,530
Medway,01770000,     121,579,,574
Melrose,01780000,     185,561,,535
Mendon-Upton,07100000,     113,580,,552
Methuen,01810000,     183,537,,524
Middleborough,01820000,     111,538,,531
Milford,01850000,     141,546,,519
Millbury,01860000,      56,542,,544
Millis,01870000,      79,574,,549
Milton,01890000,     185,578,,590
Minuteman Regional Vocational Technical,08300000,      35,551,,500
Mohawk Trail,07170000,      38,576,,539
Monomoy Regional School District,07120000,      59,583,,568
Monson,01910000,      34,561,,555
Montachusett Regional Vocational Technical,08320000,     119,525,,509
Mount Greylock,07150000,      57,612,,574
Mystic Valley Regional Charter (District),04700000,      66,579,,580
Nantucket,01970000,      86,534,,509
Narragansett,07200000,      36,539,,523
Nashoba,07250000,     158,604,,592
Nashoba Valley Regional Vocational Technical,08520000,      55,506,,491
Natick,01980000,     227,578,,567
Nauset,06600000,     153,594,,572
Needham,01990000,     221,618,,610
New Bedford,02010000,     102,492,,477
Newburyport,02040000,     126,583,,569
Newton,02070000,     503,626,,626
Norfolk County Agricultural,09150000,     102,541,,538
North Adams,02090000,      42,513,,484
North Andover,02110000,     254,584,,561
North Attleborough,02120000,     166,578,,572
North Brookfield,02150000,       8,,,
North Middlesex,07350000,     116,588,,545
North Reading,02170000,     133,576,,561
Northampton,02100000,     139,600,,574
Northampton-Smith Vocational Agricultural,04060000,      16,498,,459
Northboro-Southboro,07300000,     251,595,,587
Northbridge,02140000,      85,555,,528
Northeast Metropolitan Regional Vocational Technical,08530000,     108,475,,457
Northern Berkshire Regional Vocational Technical,08510000,      29,518,,486
Norton,02180000,      88,561,,544
Norwell,02190000,     125,615,,588
Norwood,02200000,     155,561,,558
