2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
City on a Hill Charter Public School Dudley Square (District),35040000,114,14.5,54.5,45.5,19.6,23.9,54.1
City on a Hill Charter Public School New Bedford (District),35070000,82,15.7,54.4,45.2,18,30.4,65
Clarksburg,630000,108,15.5,51.3,48.7,0,24.6,29.8
Clinton,640000,765,17.8,46.9,53.1,9.1,22.4,33.9
Codman Academy Charter Public (District),4380000,137,15.2,49.3,50.7,6.3,18.8,50.7
Cohasset,650000,876,19.2,48.3,51.7,0.2,13.6,4.3
Collegiate Charter School of Lowell (District),35030000,212,27.5,51,49,20.6,13.7,35.7
Community Charter School of Cambridge (District),4360000,193,13.2,51.8,48.2,2.5,17.7,29.9
Community Day Charter Public School - Gateway (District),4260000,108,20,47.8,52.2,28.8,10.9,45.9
Community Day Charter Public School - Prospect (District),4400000,126,21.3,50.5,49.5,40.5,12.5,47.5
Community Day Charter Public School - R. Kingman Webster (District),4310000,108,20.1,50.6,49.4,27.5,9.7,50
Concord,670000,"1,130",15.6,49,50.9,2.5,17.2,5.7
Concord-Carlisle,6400000,886,16,52,47.9,0.4,16.2,5.5
Conservatory Lab Charter (District),4390000,74,18,54.5,45.5,17,13.2,43.3
Conway,680000,103,16.4,44.3,55.7,0,20.7,27.1
Danvers,710000,"1,737",18.5,48.5,51.5,1.1,16.4,15.3
Dartmouth,720000,"1,869",18.3,47.1,52.9,2.8,15.4,21.2
Dedham,730000,"1,278",16.8,48.3,51.7,7.7,23.2,22
Deerfield,740000,287,18,50.6,49.4,0.7,22.5,17.8
Dennis-Yarmouth,6450000,"1,337",16.4,48.4,51.6,9,19.1,38.8
Dighton-Rehoboth,6500000,"1,455",19.4,47.9,52.1,0.2,15.3,14.2
Douglas,770000,528,18.6,48.9,51.1,0.5,19.2,14.6
Dover,780000,205,18.1,44.2,55.8,4,14.7,2
Dover-Sherborn,6550000,707,16.9,49.3,50.6,0.6,14.6,3.9
