2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Sturbridge,2870000,236,23,44.1,55.9,0.7,12.7,15.6
Sturgis Charter Public (District),4890000,518,14.3,57.6,42.4,0.1,13.5,13.5
Sudbury,2880000,"1,054",20,47.9,52.1,1.6,16.7,5.4
Sunderland,2890000,169,17.5,41.9,58.1,7.6,22.9,30.9
Sutton,2900000,490,19.9,50.5,49.5,1.3,16.4,9.4
Swampscott,2910000,"1,309",16.2,49.2,50.8,4.2,16.9,14.4
Swansea,2920000,"1,152",17.5,48.4,51.6,0.2,13.4,18.5
TEC Connections Academy Commonwealth Virtual School District,39020000,460,41,58.2,41.8,1,19.8,41.2
Tantasqua,7700000,"1,255",14.5,49.5,50.5,0.2,10.5,17.8
Taunton,2930000,"3,350",19.8,48.9,51.1,4.8,19.7,42.5
Tewksbury,2950000,"1,427",20,49.3,50.7,1.9,16.7,14.1
Tisbury,2960000,212,13.5,46.5,53.5,24.8,15.7,24.5
Topsfield,2980000,165,16.9,50.5,49.5,0.3,17,4.5
Tri-County Regional Vocational Technical,8780000,573,16.4,43,56.8,0.3,26.7,18.3
Triton,7730000,"1,212",18.5,48.8,51.2,1.2,15.8,19.2
Truro,3000000,74,14.8,55.7,44.3,0,17,28.3
Tyngsborough,3010000,"1,045",17.9,47.8,52.2,2,15.8,12.5
UP Academy Charter School of Boston (District),4800000,142,22.1,48.6,51.4,25.8,20.6,62.5
UP Academy Charter School of Dorchester (District),35050000,210,23.9,49.1,50.9,26.5,19.1,61.5
Up-Island Regional,7740000,203,15,44.5,55.5,4.8,25.4,17.8
Upper Cape Cod Regional Vocational Technical,8790000,324,15.2,37.5,62.5,0,17.3,21.8
Uxbridge,3040000,645,19.2,46.5,53.5,1.5,16.9,19.5
Veritas Preparatory Charter School (District),4980000,90,27.7,52.6,47.4,9.7,23.4,68.2
Wachusett,7750000,"3,170",18.7,50.1,49.9,1.6,14.6,9.4
Wakefield,3050000,"1,406",18.4,49.3,50.7,2,16.9,12.5
Wales,3060000,39,20.7,44.4,55.6,0,18.8,26.3
Walpole,3070000,"1,357",19.4,49.8,50.2,3.2,13.8,9.1
Waltham,3080000,"3,308",16.2,47,53,22.6,15.2,31.9
Ware,3090000,392,19.7,49.4,50.6,1.3,20.1,50
Wareham,3100000,"1,362",14.7,48,52,1,25.2,50.3
Watertown,3140000,"1,397",16.5,49,50.9,11.8,20.7,24.2
Wayland,3150000,"1,345",17.3,48.5,51.5,3.8,18.2,5.6
Webster,3160000,676,19.2,49.4,50.6,8,20.4,50.5
Wellesley,3170000,"2,000",17.5,50.6,49.4,2.4,16,5.8
Wellfleet,3180000,82,13.5,50.4,49.6,1.7,19,33.1
West Boylston,3220000,565,15.5,51.1,48.9,3.5,15.2,19.8
West Bridgewater,3230000,819,18.6,51.4,48.6,1.4,9.6,15.2
West Springfield,3320000,"1,841",17.5,48.4,51.6,12.4,18.6,46
Westborough,3210000,"1,942",17.7,49.5,50.5,9.5,14.7,8.2
Westfield,3250000,"2,790",17.5,48.8,51.1,5.8,19.1,36
Westford,3260000,"2,306",18.2,48.8,51.2,1.3,14,5.5
Westhampton,3270000,50,15.6,46,53.2,0.8,24.2,14.5
Weston,3300000,965,17.2,49.1,50.9,3.1,16.5,5.1
Westport,3310000,760,16.1,45.4,54.6,0.9,17.2,22.9
Westwood,3350000,"1,477",18,49,51,1,17.3,4.8
Weymouth,3360000,"2,441",18.5,48.6,51.4,3.9,18.1,27.3
Whately,3370000,105,17.7,51.1,48.9,3.6,13.9,20.4
Whitman-Hanson,7800000,"1,416",21.3,48.7,51.3,1,14.6,18.3
Whittier Regional Vocational Technical,8850000,620,15,45.2,54.8,1,22,28.6
Williamsburg,3400000,73,16.7,49.4,50.6,4.2,21.1,21.1
Williamstown,3410000,200,16.6,48.4,51.6,0.4,13,16.3
Wilmington,3420000,"1,907",17.5,49.4,50.6,1.2,18,9
Winchendon,3430000,462,19.1,46.9,53.1,0.8,18.5,41.2
Winchester,3440000,"2,432",19.4,49.2,50.8,3.7,17,4.8
Winthrop,3460000,720,21,48.3,51.7,6.9,16.3,26.2
Woburn,3470000,"2,775",16.4,50.6,49.4,7.6,16.1,24.7
Worcester,3480000,"11,525",16.9,48.7,51.3,34.4,19.9,57.3
Worthington,3490000,50,6.9,58.7,41.3,0,23.8,39.7
Wrentham,3500000,421,19.9,47.9,52.1,1.5,16,10.5
State Totals,0,"453,583",18.1,48.7,51.3,10.5,17.7,30.7
