2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Norwood,2200000,10.5,7.8,11.7,67.3,0,0.3,2.5,50.9,49.1,32.7
Oak Bluffs,2210000,4.9,1.6,23.7,60.8,1.6,0.5,6.8,49.3,50.7,39.2
Old Colony Regional Vocational Technical,8550000,1.9,0.7,1.9,94.1,0.2,0,1.3,63.4,36.6,5.9
Old Rochester,7400000,1.9,2.1,1.4,91.5,0.1,0,3,50,50,8.5
Old Sturbridge Academy Charter Public School (District),35150000,6.9,0.6,10.6,81.9,0,0,0,53.8,46.3,18.1
Orange,2230000,1.4,0.5,7.6,87.2,0.3,0,3,54.7,45.3,12.8
Orleans,2240000,3.1,2.2,5.8,87.4,0,0,1.3,52,48,12.6
Oxford,2260000,2.4,1.4,10.6,80.5,0.2,0.1,4.7,51.9,48.1,19.5
Palmer,2270000,3,2.4,11.1,79.1,0,0.1,4.3,50,50,20.9
Pathfinder Regional Vocational Technical,8600000,0.5,0.7,5.5,89.9,0.2,0,3.3,62.4,37.6,10.1
Paulo Freire Social Justice Charter School (District),35010000,3.7,0,89.6,6.3,0,0.4,0,45.2,54.8,93.7
Peabody,2290000,3.7,1.7,14.1,78.6,0,0,1.9,51.1,48.9,21.4
Pelham,2300000,0.8,3.9,9.4,81.9,0,0,3.9,52,48,18.1
Pembroke,2310000,0.7,0.9,0.4,96.3,0.1,0.1,1.5,51.6,48.3,3.7
Pentucket,7450000,0.4,1.5,3.9,92.5,0,0,1.6,52.8,47.2,7.5
Petersham,2340000,0,0.9,4.3,90.5,0,0,4.3,51.7,48.3,9.5
Phoenix Academy Public Charter High School Springfield (District),35080000,24.1,1.5,64,4.4,0.5,0,5.4,52.2,47.8,95.6
Phoenix Charter Academy (District),4930000,13.7,1,78.7,6.1,0.5,0,0,54.3,45.7,93.9
Pioneer Charter School of Science (District),4940000,28,8.8,29.6,31.1,1.6,0.1,0.6,47.8,52.2,68.9
Pioneer Charter School of Science II (PCSS-II) (District),35060000,33.3,14.3,23.5,26.6,0.3,0,2,46.8,53.2,73.4
Pioneer Valley,7500000,0.6,0.4,2,93.1,0.1,0,3.8,49.7,50.3,6.9
Pioneer Valley Chinese Immersion Charter (District),4970000,7.3,18.1,5.5,56,0,0,13.2,46.7,53.1,44
Pioneer Valley Performing Arts Charter Public (District),4790000,9.5,2.2,14.2,67.3,0.2,0,6.5,30.9,68.8,32.7
Pittsfield,2360000,10.7,1.4,13.1,65.9,0.3,0.1,8.7,51,49,34.1
Plainville,2380000,2.7,4.7,6.4,84.3,0.4,0,1.6,51.8,48.2,15.7
Plymouth,2390000,2,1.3,4.8,87.5,0.2,0,4.2,52,48,12.5
Plympton,2400000,0,0.5,1.9,95.2,0.5,0,1.9,50.2,49.8,4.8
Prospect Hill Academy Charter (District),4870000,54.7,7.8,20.7,13.4,0.4,0.2,2.8,51.2,48.8,86.6
Provincetown,2420000,25.8,0,15,51.7,0,0,7.5,49.2,50.8,48.3
Quabbin,7530000,0.5,0.7,4.9,91.5,0.1,0.1,2.2,49.5,50.5,8.5
Quaboag Regional,7780000,0.8,0.1,6.8,89.5,0,0,2.7,50.7,49.3,10.5
Quincy,2430000,6.6,39,5.8,45.1,0.2,0.4,3,52,48,54.9
Ralph C Mahar,7550000,2,1.7,8.6,83.9,0,0,3.8,48.2,51.8,16.1
Randolph,2440000,50.2,17,14.2,12.6,0.4,0.3,5.4,54.4,45.6,87.4
Reading,2460000,2.6,5.2,2.3,87.6,0.1,0,2.1,52,48,12.4
Revere,2480000,3.8,5,53.6,35.2,0.3,0,2.1,51,49,64.8
Richmond,2490000,1.1,0,6.1,89.9,0,0,2.8,46.9,53.1,10.1
Rising Tide Charter Public (District),4830000,1.4,2.6,2.4,88.5,0.3,0,4.8,50,49.8,11.5
River Valley Charter (District),4820000,0.7,2.8,2.4,89.6,0.3,0,4.2,41.3,58.7,10.4
Rochester,2500000,1.6,0,1.4,90.6,0,0,6.4,52.8,47.2,9.4
Rockland,2510000,5,1.1,13,77.4,0,0,3.5,50.5,49.5,22.6
Rockport,2520000,0.3,1.4,1.2,96.9,0,0,0.1,52.3,47.7,3.1
Rowe,2530000,0,0,5.6,88.7,0,0,5.6,47.9,52.1,11.3
Roxbury Preparatory Charter (District),4840000,57.2,0.8,39.5,1.1,0.2,0.1,0.9,50.9,49.1,98.9
Sabis International Charter (District),4410000,30,4.1,39.4,21.3,0,0,5.2,50.7,49.3,78.7
Salem,2580000,6.8,2.9,38.4,47,0.1,0,4.9,51.9,48,53
Salem Academy Charter (District),4850000,8.6,5.1,40.8,42.9,0,0,2.5,45.9,54.1,57.1
Sandwich,2610000,1.1,2.2,2.6,92.7,0.6,0.1,0.7,49.9,50.1,7.3
Saugus,2620000,4.2,5,16.3,71.5,0.5,0.1,2.3,51.2,48.8,28.5
Savoy,2630000,3.3,0,3.3,93.3,0,0,0,50,50,6.7
Scituate,2640000,2.7,1.1,1.2,93.4,0,0,1.5,50.5,49.5,6.6
Seekonk,2650000,1.8,2.8,4.2,88.1,0,0,2.9,49.9,50.1,11.9
Seven Hills Charter Public (District),4860000,46.5,0,43.2,7.3,0,0,3,52.5,47.5,92.7
Sharon,2660000,4.9,28.4,4.7,56.7,0.1,0.1,5.1,51.5,48.5,43.3
Shawsheen Valley Regional Vocational Technical,8710000,1.4,0.8,4.7,91.1,0.2,0,1.8,58.1,41.9,8.9
Sherborn,2690000,2.9,7.6,3.3,80,0,0,6.2,52,48,20
Shrewsbury,2710000,2.3,29.7,8.3,55.7,0.4,0,3.6,49.9,50,44.3
Shutesbury,2720000,1.6,0.8,7.4,82.8,0.8,0,6.6,44.3,55.7,17.2
Silver Hill Horace Mann Charter (District),4770000,3.9,2,23.2,68.9,0,0,2,49.6,50.4,31.1
Silver Lake,7600000,1.4,1,1,96,0,0.2,0.5,52.3,47.7,4
Sizer School: A North Central Charter Essential (District),4740000,5.3,1.4,20.9,69.4,0,0,3.1,53.2,46.8,30.6
Somerset,2730000,1.2,0.5,4.4,91.4,0,0,2.5,51.8,48.2,8.6
Somerset Berkley Regional School District,7630000,1.3,0.1,3,92.8,0.1,0,2.7,49.2,50.8,7.2
Somerville,2740000,10,7.1,42.1,36.9,0.1,0,3.9,53.3,46.7,63.1
South Hadley,2780000,1.7,2.4,12.9,80.9,0.1,0.1,2,49.2,50.8,19.1
South Middlesex Regional Vocational Technical,8290000,6,0.1,43.4,46.2,1.1,0,3.1,59.6,40.4,53.8
South Shore Charter Public (District),4880000,26.4,4.6,2.7,59.3,0.4,0.1,6.4,49.2,50.8,40.7
South Shore Regional Vocational Technical,8730000,1.8,1.1,4.6,89.7,0,0,2.8,66.5,33.5,10.3
Southampton,2750000,0.2,1,5.3,90.8,0.2,0.2,2.3,52.1,47.9,9.2
Southborough,2760000,0.8,17.9,5.3,70.5,0.2,0.2,5.2,50.6,49.4,29.5
Southbridge,2770000,1.8,1.6,54.7,39.8,0.3,0,1.7,50.6,49.4,60.2
Southeastern Regional Vocational Technical,8720000,34.1,1.5,11.8,47.4,0,0,5.1,51.3,48.6,52.6
Southern Berkshire,7650000,1.2,0,6.2,87.2,0.7,0,4.7,51.7,48.3,12.8
Southern Worcester County Regional Vocational Technical,8760000,0.7,0.6,9.2,88.2,0.1,0,1.2,58.9,41.1,11.8
Southwick-Tolland-Granville Regional School District,7660000,1.8,0.8,4.6,90.6,0.1,0,2,51.3,48.7,9.4
Spencer-E Brookfield,7670000,1.6,1,9.4,84.5,0.2,0,3.3,52.7,47.2,15.5
Springfield,2810000,19.6,2.4,65,11.2,0.1,0,1.7,52.4,47.6,88.8
Springfield Preparatory Charter School (District),35100000,23.7,2.3,65.6,6.5,0,0,1.9,49.3,50.7,93.5
Stoneham,2840000,2.2,4.8,7.6,81.6,0.2,0,3.5,49.5,50.5,18.4
Stoughton,2850000,21.5,6.3,10.8,56.1,0.2,0.3,4.7,51.6,48.4,43.9
Sturbridge,2870000,0.9,1.3,4.8,89,0.4,0.1,3.4,55.6,44.4,11
Sturgis Charter Public (District),4890000,2.3,3.6,4.7,84.9,0.5,0,4,42.4,57.6,15.1
Sudbury,2880000,3.2,9.2,3.5,77.3,0,0.2,6.7,52.2,47.8,22.7
Sunderland,2890000,5,9.2,9.2,66.4,0,0,10.1,57.6,42.4,33.6
Sutton,2900000,0.7,1.3,2,91.8,0.1,0,4.1,49.7,50.3,8.2
Swampscott,2910000,3.3,3,10.1,81,0.2,0.1,2.3,50.9,49.1,19
Swansea,2920000,0.9,1,1.8,94.6,0.2,0,1.5,51.8,48.2,5.4
Tantasqua,7700000,0.7,0.9,5.1,90.5,0.2,0,2.5,50.5,49.5,9.5
Taunton,2930000,15.2,1.4,11.8,66.1,0.2,0.2,5.1,50.9,49.1,33.9
TEC Connections Academy Commonwealth Virtual School District,39020000,5.6,2.9,13.9,70,0.5,0.3,6.8,41.5,58.4,30
Tewksbury,2950000,2.8,3.3,3.7,89.1,0,0.1,1,50.6,49.4,10.9
Tisbury,2960000,3.3,0.7,25.5,59.8,2.3,0,8.5,52.9,47.1,40.2
Topsfield,2980000,0.6,1.6,1.6,93.2,0.6,0,2.4,49.3,50.7,6.8
Tri-County Regional Vocational Technical,8780000,0.5,0.7,5.3,88.9,0.2,0.1,4.3,56.9,42.9,11.1
Triton,7730000,1.1,1.7,2.9,92.2,0.2,0.2,1.7,51.3,48.7,7.8
Truro,3000000,3.9,0,12.6,68.9,0,0,14.6,43.7,56.3,31.1
Tyngsborough,3010000,3.2,6.1,4.4,83,0.2,0,3.1,52.1,47.9,17
UP Academy Charter School of Boston (District),4800000,45.4,6.6,41.2,3.8,0.2,0.6,2.2,52,48,96.2
UP Academy Charter School of Dorchester (District),35050000,54,2,40.3,1.2,0.4,0,2,51.6,48.4,98.8
Up-Island Regional,7740000,1,0.7,6.7,80.9,3.5,0,7.2,54.5,45.5,19.1
Upper Cape Cod Regional Vocational Technical,8790000,4.5,2.1,2.1,85.6,0.6,0,5.2,62.1,37.9,14.4
Uxbridge,3040000,1.4,1.3,4.3,90.4,0.3,0.1,2.1,53,46.9,9.6
Veritas Preparatory Charter School (District),4980000,16.8,0.6,76.7,4.3,0,0,1.6,46.6,53.4,95.7
Wachusett,7750000,2,3,5.1,87.4,0.1,0.1,2.3,49.9,50.1,12.6
Wakefield,3050000,2.5,3.4,5.8,84.9,0.2,0.2,3,50.6,49.4,15.1
Wales,3060000,1.2,0.6,3.1,91.3,0.6,0,3.1,57.1,42.9,8.7
Walpole,3070000,3.4,6.2,5.2,82.5,0.3,0,2.4,50.1,49.9,17.5
Waltham,3080000,9.6,5.6,39.6,42.7,0.1,0.1,2.4,52.9,47.1,57.3
Ware,3090000,1.9,0.5,6.7,86.5,0.1,0.3,4,50,50,13.5
Wareham,3100000,7.7,1.1,7,72.9,1.1,0.1,10.1,51.8,48.2,27.1
Watertown,3140000,3.7,8.4,15,67.1,0.5,0.1,5.3,50.8,49.2,32.9
Wayland,3150000,5.3,15.6,4.3,69,0,0.3,5.5,51.5,48.5,31
Webster,3160000,4.7,2,25.4,60.9,0.2,0.2,6.5,51.3,48.7,39.1
Wellesley,3170000,4.1,13.6,5,70.6,0,0,6.7,49.3,50.7,29.4
Wellfleet,3180000,0.9,1.8,5.4,83.9,0,0,8,50,50,16.1
West Boylston,3220000,2.2,1.8,10.1,81.5,0.1,0,4.3,48.6,51.4,18.5
West Bridgewater,3230000,4.4,1.1,3,87.2,0.2,0.2,4,48.6,51.4,12.8
West Springfield,3320000,3.7,7.8,17.3,68.3,0.1,0,2.7,51.5,48.5,31.7
Westborough,3210000,1.9,32.6,5.8,56.6,0.1,0.1,3,50.5,49.5,43.4
Westfield,3250000,2.4,3.3,14.4,77.8,0.1,0.1,2,51.5,48.5,22.2
Westford,3260000,0.9,25.8,1.6,68,0,0,3.7,51,49,32
Westhampton,3270000,0,0.8,4.1,93.4,0,0,1.6,53.3,46.7,6.6
Weston,3300000,6.4,16.1,6.3,65.9,0.2,0,5.1,50.9,49.1,34.1
Westport,3310000,0.5,0.7,3.1,90.8,0.3,0,4.6,54.5,45.5,9.2
Westwood,3350000,2.4,9.6,3.5,81.1,0,0,3.4,50.7,49.2,18.9
Weymouth,3360000,6.2,5.9,8.8,75,0.2,0.1,3.7,51.3,48.7,25
Whately,3370000,0,0.7,5.7,90,0,0,3.6,48.6,51.4,10
Whitman-Hanson,7800000,2.2,1.1,4.3,89.3,0.4,0.1,2.6,51.6,48.4,10.7
Whittier Regional Vocational Technical,8850000,1.4,1,18.9,75.3,0.2,0,3.1,54.5,45.5,24.7
Williamsburg,3400000,1.8,1.2,3.7,93.3,0,0,0,49.7,50.3,6.7
Williamstown,3410000,1.8,3.3,6.3,80.5,0,0,8.1,52.3,47.7,19.5
Wilmington,3420000,1.8,4.8,4.1,86,0.1,0.1,3.1,50.9,49.1,14
Winchendon,3430000,1.5,2.6,6.5,85.2,0.2,0.1,3.9,53.4,46.6,14.8
Winchester,3440000,1.1,17.1,3.4,73.1,0.2,0,5,50.7,49.3,26.9
Winthrop,3460000,1.2,1,15.2,80.3,0.2,0,2,51.5,48.5,19.7
Woburn,3470000,7.2,7.2,9.7,72.5,0.5,0.1,2.8,49.4,50.6,27.5
Worcester,3480000,15.9,7.1,42.6,30.2,0.2,0,4.2,51.5,48.5,69.8
Worthington,3490000,0,0,1.6,93.5,1.6,0,3.2,38.7,61.3,6.5
Wrentham,3500000,1.3,2.9,4.3,86.6,0.3,0.1,4.5,51.8,48.2,13.4
State Totals,0,9,6.9,20,60.1,0.2,0.1,3.6,51.3,48.7,39.9
