2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Brooke Charter School (District),4280000,54.3,1.8,37.4,4.7,0.2,0,1.6,48.6,51.4,95.3
Brookfield,450000,0.3,0,4.5,90.7,0.3,0,4.2,49.8,50.2,9.3
Brookline,460000,5.8,19.8,10.6,54.2,0,0.1,9.4,51,48.9,45.8
Burlington,480000,6,16.9,6,66.9,0.3,0,4,50.3,49.7,33.1
Cambridge,490000,25.2,12.4,13.7,39.9,0.3,0.2,8.4,50.7,49.3,60.1
Canton,500000,10.1,10.6,5,69.2,0,0.2,4.8,50.2,49.7,30.8
Cape Cod Lighthouse Charter (District),4320000,2.9,0.8,4.1,86.4,0,0,5.8,45.5,54.5,13.6
Cape Cod Regional Vocational Technical,8150000,6.3,0.7,9.7,76.3,1.9,0.2,5.1,64.1,35.9,23.7
Carlisle,510000,0.5,11.4,3.6,75.6,0,0,8.9,54.6,45.4,24.4
Carver,520000,1.1,0.4,1.3,95.8,0.2,0.1,1.1,49.7,50.3,4.2
Central Berkshire,6350000,0.7,1.2,3.2,91.3,0.2,0,3.4,51.7,48.3,8.7
Chelmsford,560000,2.9,14.5,5.4,74.2,0.1,0.1,2.8,51.6,48.4,25.8
Chelsea,570000,5.1,1.3,86.2,6.4,0.1,0,0.8,52.5,47.5,93.6
Chesterfield-Goshen,6320000,0.7,0,2.2,95.6,1.5,0,0,49.3,50.7,4.4
Chicopee,610000,3.9,1.6,36.9,54.4,0.1,0.1,3,53,47,45.6
Christa McAuliffe Charter Public (District),4180000,4.6,5.6,21.3,60,0.8,0.3,7.6,52.9,47.1,40
City on a Hill Charter Public School Circuit Street (District),4370000,68.9,0,27.2,2.8,0,0,1.1,47.7,51.6,97.2
City on a Hill Charter Public School Dudley Square (District),35040000,69.9,2.6,25,0.4,0,0.4,1.8,45.6,54.4,99.6
City on a Hill Charter Public School New Bedford (District),35070000,13.6,1.3,46.2,34.3,0,0,4.7,46.2,53.4,65.7
Clarksburg,630000,0,0.5,1,93.8,0,0,4.7,49.2,50.8,6.2
Clinton,640000,4,1.4,24.3,68.4,0.1,0.1,1.8,53.4,46.6,31.6
Codman Academy Charter Public (District),4380000,76.8,0,21.2,0.3,0.3,0.6,0.9,51,49,99.7
Cohasset,650000,3,2.4,1.2,92,0.2,0,1.2,51.5,48.5,8
Collegiate Charter School of Lowell (District),35030000,18.8,22.9,37.2,15.5,0.1,0,5.4,49.7,50.3,84.5
Community Charter School of Cambridge (District),4360000,63.3,4.1,22.5,5.2,0.8,0,4.1,49.3,50.7,94.8
Community Day Charter Public School - Gateway (District),4260000,1.3,0.6,95.6,2.5,0,0,0,51.3,48.8,97.5
Community Day Charter Public School - Prospect (District),4400000,0.5,0.5,96.3,2.8,0,0,0,49.5,50.5,97.2
Community Day Charter Public School - R. Kingman Webster (District),4310000,1.6,1.3,93.1,4.1,0,0,0,49.1,50.9,95.9
Concord,670000,4,6.7,6.1,76.6,0.1,0,6.5,50.6,49.4,23.4
Concord-Carlisle,6400000,4.1,8.9,4.5,78.7,0,0,3.8,47.9,52,21.3
Conservatory Lab Charter (District),4390000,49.1,2.9,35.6,9.3,0,0,3.1,45.3,54.7,90.7
Conway,680000,0,0,4.3,94.2,0,0,1.4,55.8,44.2,5.8
Danvers,710000,2,2.7,7.2,85.2,0.2,0.1,2.6,51.3,48.7,14.8
Dartmouth,720000,1.4,0.5,3.2,89,0,0,5.8,53,47,11
Dedham,730000,7.1,2.7,14.6,71.3,0.2,0,4.1,51.7,48.3,28.7
Deerfield,740000,0.5,1.2,6.5,85.3,0,0,6.5,48.6,51.4,14.7
Dennis-Yarmouth,6450000,9.2,2.3,11.1,68.8,2.1,0.2,6.3,51.8,48.2,31.2
Dighton-Rehoboth,6500000,1.1,1.2,4.4,89.8,0.1,0,3.3,52,48,10.2
Douglas,770000,0.2,1.2,3.4,92.6,0.1,0.2,2.3,51.2,48.8,7.4
Dover,780000,3.7,15.4,3.9,72.6,0,0.2,4.3,55.5,44.5,27.4
Dover-Sherborn,6550000,2.3,8.8,2.9,81.5,0.2,0,4.2,50.5,49.5,18.5
Dracut,790000,5.9,6.1,8.3,77.7,0.1,0.1,1.8,50.9,49.1,22.3
Dudley Street Neighborhood Charter School (District),4070000,62.3,0,35.9,0.7,0,0,1.1,47.5,52.5,99.3
Dudley-Charlton Reg,6580000,1.7,1.3,8,86.1,0.2,0.1,2.6,50.9,49.1,13.9
Duxbury,820000,0.3,1.4,2.3,93,0.1,0,3,50.3,49.7,7
East Bridgewater,830000,3,0.7,2.2,90.8,0.4,0.1,2.9,50.5,49.5,9.2
East Longmeadow,870000,2.9,5.4,7.1,81.9,0.2,0.1,2.4,51.6,48.4,18.1
Eastham,850000,5.8,2.3,1.7,87.2,0.6,0,2.3,49.4,50.6,12.8
Easthampton,860000,1.4,3.8,12.2,79.6,0.3,0.1,2.7,51,49,20.4
Easton,880000,5.7,3.1,4.7,83.1,0.3,0.1,3,49.9,50.1,16.9
Edgartown,890000,3.2,0.3,19.6,69.8,2.6,0,4.4,47.5,52.5,30.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,42.4,1.8,48.7,3.9,0.3,0,2.9,38.4,61.6,96.1
Erving,910000,0,0,3.5,85.9,0,0,10.6,50.7,49.3,14.1
Essex North Shore Agricultural and Technical School District,8170000,1.2,1.4,11.6,82.3,0.3,0.1,3,41.6,58.2,17.7
Everett,930000,16.5,4.9,52.1,24.4,0.4,0.1,1.7,51.3,48.7,75.6
Excel Academy Charter (District),4100000,6.9,1.4,79.1,10.7,1,0.4,0.5,49.2,50.8,89.3
Fairhaven,940000,1.5,1.8,5.8,86.7,0.5,0,3.6,50,50,13.3
Fall River,950000,7.8,4.1,26,53.5,0.2,0.1,8.2,51.5,48.5,46.5
Falmouth,960000,4.9,2.2,5.6,79.9,1.2,0.1,6.2,51.1,48.8,20.1
Farmington River Reg,6620000,0,0.8,1.7,96.7,0,0,0.8,60.3,39.7,3.3
Fitchburg,970000,5.9,4.9,50.5,31.4,0,0.1,7.1,51.3,48.7,68.6
Florida,980000,1.3,0,0,98.8,0,0,0,50,50,1.2
Four Rivers Charter Public (District),4130000,0.5,1.4,7.7,85.6,0,0,5,50,50,14.4
Foxborough,990000,4.4,4,4.8,84.1,0.4,0.1,2.3,52.2,47.8,15.9
Foxborough Regional Charter (District),4460000,42.1,10.2,4.9,37.2,0.3,0.1,5.2,47.1,52.9,62.8
Framingham,1000000,7,5.1,27.1,56.8,0.1,0.1,3.8,50.7,49.3,43.2
Francis W. Parker Charter Essential (District),4780000,0.5,1.8,2.8,90.2,0,0,4.8,46,53.8,9.8
Franklin,1010000,1.6,5.2,2.9,87.8,0.2,0.5,1.8,51.7,48.3,12.2
Franklin County Regional Vocational Technical,8180000,1.2,0.2,2.7,95.7,0,0,0.2,69.4,30.6,4.3
Freetown-Lakeville,6650000,1.4,0.9,1.6,94.1,0.1,0.1,1.8,50.6,49.4,5.9
Frontier,6700000,1.6,2.7,5,87.8,0,0.2,2.7,53.8,46.2,12.2
Gardner,1030000,2.7,1.7,17.6,70,0.2,0,7.8,51.8,48.1,30
Gateway,6720000,0.8,0.2,3.9,92.4,0.4,0.1,2.2,51.9,48.1,7.6
Georgetown,1050000,0.9,1.2,1.9,94.5,0.1,0.1,1.3,50.7,49.3,5.5
Gill-Montague,6740000,1,0.3,11,80.6,0.2,0.2,6.7,50.6,49.4,19.4
