2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Carver,520000,13,0.8,11,0.7,326,20.5,598,37.6,377,23.9
Central Berkshire,6350000,18,1.1,8,0.5,230,14.3,653,40.6,506,31.6
Chelmsford,560000,628,12.6,202,4,842,16.6,1489,29.3,643,12.9
Chelsea,570000,5229,82.7,2357,37.3,992,15.3,5238,80.9,4193,66.3
Chesterfield-Goshen,6320000,0,0,0,0,31,22.8,60,44.1,35,25.7
Chicopee,610000,975,12.9,455,6,1398,18.5,4637,61.3,4065,53.9
Christa McAuliffe Charter Public (District),4180000,40,10.1,15,3.8,88,22.3,157,39.7,73,18.5
City on a Hill Charter Public School Circuit Street (District),4370000,87,30.7,38,13.4,65,23,202,71.4,158,55.8
City on a Hill Charter Public School Dudley Square (District),35040000,100,36.8,52,19.1,59,21.7,209,76.8,158,58.1
City on a Hill Charter Public School New Bedford (District),35070000,81,34.3,41,17.4,70,29.7,188,79.7,162,68.6
Clarksburg,630000,0,0,0,0,47,24.1,96,49.2,67,34.7
Clinton,640000,427,22.7,161,8.6,405,21.1,979,51.1,683,36.3
Codman Academy Charter Public (District),4380000,46,13.3,21,6.1,70,20.3,230,66.7,183,53
Cohasset,650000,9,0.6,4,0.3,207,13,273,17.1,81,5.1
Collegiate Charter School of Lowell (District),35030000,345,45.5,146,19.2,83,10.9,466,61.4,321,42.3
Community Charter School of Cambridge (District),4360000,121,33.2,12,3.3,64,17.5,178,48.8,131,35.9
Community Day Charter Public School - Gateway (District),4260000,237,74.1,93,29.1,24,7.5,253,79.1,164,51.3
Community Day Charter Public School - Prospect (District),4400000,288,72,159,39.8,40,10,314,78.5,215,53.8
Community Day Charter Public School - R. Kingman Webster (District),4310000,192,60,88,27.5,29,9.1,243,75.9,167,52.2
Concord,670000,141,6.7,55,2.6,367,17.1,511,23.8,142,6.7
Concord-Carlisle,6400000,65,5.1,3,0.2,246,18.8,301,23,76,6
Conservatory Lab Charter (District),4390000,72,16,57,12.7,51,11.3,276,61.3,206,45.8
Conway,680000,0,0,0,0,26,18.8,48,34.8,35,25.4
Danvers,710000,73,2.1,31,0.9,581,16.6,1027,29.3,559,16.1
Dartmouth,720000,184,5,93,2.5,535,14.4,1227,33,809,22
Dedham,730000,363,13.7,188,7.1,611,22.6,1107,41,601,22.6
Deerfield,740000,10,2.5,4,1,71,17.7,121,30.2,73,18.2
Dennis-Yarmouth,6450000,509,16.7,260,8.5,604,19.5,1717,55.5,1272,41.6
Dighton-Rehoboth,6500000,29,1,6,0.2,417,14.3,753,25.7,445,15.3
