2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Salem,2580000,1064,28.8,477,12.9,848,22.5,2341,62.2,1808,48.9
Salem Academy Charter (District),4850000,106,22.3,19,4,70,14.7,199,41.9,146,30.7
Sandwich,2610000,37,1.4,28,1.1,483,18.4,811,30.9,415,16.1
Saugus,2620000,413,16,151,5.8,442,16.9,1150,43.8,740,28.6
Savoy,2630000,0,0,0,0,10,16.7,35,58.3,30,50
Scituate,2640000,56,1.9,17,0.6,401,13.3,652,21.6,319,10.7
Seekonk,2650000,121,6,61,3,335,16.4,601,29.5,282,14.1
Seven Hills Charter Public (District),4860000,309,46.3,195,29.2,102,15.3,521,78.1,414,62.1
Sharon,2660000,902,25.5,148,4.2,482,13.5,845,23.6,280,7.9
Shawsheen Valley Regional Vocational Technical,8710000,14,1.1,0,0,330,24.9,473,35.7,201,15.2
Sherborn,2690000,23,5.5,5,1.2,62,14.6,83,19.6,23,5.5
Shrewsbury,2710000,2006,32.3,223,3.6,839,13.4,1643,26.2,633,10.2
Shutesbury,2720000,0,0,0,0,22,17.9,51,41.5,37,30.3
Silver Hill Horace Mann Charter (District),4770000,58,10.4,42,7.5,93,16.6,235,42,164,29.3
Silver Lake,7600000,8,0.4,3,0.2,276,14.9,512,27.7,316,17.1
Sizer School: A North Central Charter Essential (District),4740000,5,1.4,4,1.1,90,25.1,174,48.5,121,33.7
Somerset,2730000,44,2.5,19,1.1,325,17.9,663,36.6,421,23.5
Somerset Berkley Regional School District,7630000,15,1.5,1,0.1,138,13.4,241,23.5,134,13.4
Somerville,2740000,2364,48.6,989,20.3,1059,21.4,2994,60.6,2095,43
South Hadley,2780000,121,6.4,80,4.2,301,15.8,727,38.1,495,26.2
South Middlesex Regional Vocational Technical,8290000,168,23,67,9.2,321,43.9,511,69.9,296,40.5
South Shore Charter Public (District),4880000,298,32.1,128,13.8,155,16.7,408,44,170,18.3
South Shore Regional Vocational Technical,8730000,5,0.8,0,0,208,32,324,49.8,171,26.3
Southampton,2750000,15,2.9,11,2.1,102,19.8,149,29,68,13.3
Southborough,2760000,134,10.2,69,5.2,214,16.1,338,25.4,70,5.3
Southbridge,2770000,696,34.7,477,23.8,432,21.2,1623,79.7,1421,70.9
Southeastern Regional Vocational Technical,8720000,357,25,15,1.1,261,18.3,751,52.6,547,38.3
Southern Berkshire,7650000,26,3.8,14,2.1,93,13.6,281,41.2,225,33
Southern Worcester County Regional Vocational Technical,8760000,6,0.5,0,0,156,13.9,392,34.9,290,25.8
Southwick-Tolland-Granville Regional School District,7660000,50,3.3,38,2.5,286,18.7,533,34.9,333,21.9
Spencer-E Brookfield,7670000,32,2.3,26,1.9,317,22.7,669,47.8,471,34.5
Springfield,2810000,7010,27.4,4007,15.6,5664,21.9,21367,82.7,19739,77.1
Springfield Preparatory Charter School (District),35100000,70,32.6,54,25.1,26,12.1,173,80.5,154,71.6
Stoneham,2840000,289,12.3,83,3.5,448,18.8,814,34.2,407,17.4
Stoughton,2850000,551,15.3,243,6.8,536,14.7,1567,43,1037,28.9
Sturbridge,2870000,7,0.8,3,0.3,108,12,222,24.6,145,16.1
Sturgis Charter Public (District),4890000,26,3.2,2,0.2,97,11.9,204,25,120,14.7
Sudbury,2880000,109,4,40,1.5,461,16.9,608,22.3,150,5.6
Sunderland,2890000,31,13,19,8,40,16.8,111,46.6,73,30.7
Sutton,2900000,26,1.8,14,1,252,17.6,363,25.3,140,9.9
Swampscott,2910000,219,9.9,87,3.9,367,16.4,676,30.2,324,14.7
Swansea,2920000,30,1.4,8,0.4,255,12.2,597,28.6,413,19.9
Tantasqua,7700000,16,0.9,4,0.2,220,12.2,502,27.9,349,19.5
Taunton,2930000,834,10.3,349,4.3,1546,18.9,4456,54.4,3616,44.7
TEC Connections Academy Commonwealth Virtual School District,39020000,64,4.2,3,0.2,295,19.2,793,51.6,633,41.2
Tewksbury,2950000,118,3.4,65,1.9,597,16.9,1035,29.2,524,15.1
Tisbury,2960000,103,33.7,82,26.8,41,13.4,153,50,90,29.4
Topsfield,2980000,6,0.9,2,0.3,104,16.3,123,19.3,27,4.3
Tri-County Regional Vocational Technical,8780000,5,0.5,4,0.4,304,30.8,434,44,205,20.8
Triton,7730000,82,3.2,27,1.1,412,15.9,833,32.1,529,20.6
Truro,3000000,0,0,0,0,22,20.8,50,47.2,34,33
Tyngsborough,3010000,72,4.5,33,2,268,16.4,443,27.1,210,13
UP Academy Charter School of Boston (District),4800000,271,54,127,25.3,108,21.5,407,81.1,345,68.7
UP Academy Charter School of Dorchester (District),35050000,193,26.1,191,25.8,145,19.6,589,79.7,493,66.7
Up-Island Regional,7740000,24,5.9,19,4.7,99,24.4,172,42.5,82,20.3
Upper Cape Cod Regional Vocational Technical,8790000,0,0,0,0,127,17.8,284,39.7,188,26.3
Uxbridge,3040000,55,3.1,32,1.8,253,14.2,555,31.1,357,20.2
Veritas Preparatory Charter School (District),4980000,77,23.9,38,11.8,59,18.3,247,76.7,231,71.7
Wachusett,7750000,189,2.6,108,1.5,1036,14.4,1718,23.8,732,10.2
Wakefield,3050000,147,4.2,62,1.8,579,16.3,949,26.8,449,12.8
Wales,3060000,0,0,0,0,23,14.3,63,39.1,48,29.8
Walpole,3070000,349,9.2,103,2.7,561,14.5,929,24.1,413,10.9
Waltham,3080000,2592,46.3,1243,22.2,902,15.9,2968,52.3,1931,34.5
Ware,3090000,24,2,10,0.8,243,19.9,691,56.5,613,50.5
Wareham,3100000,48,2.1,26,1.1,618,26.2,1456,61.7,1198,51.8
Watertown,3140000,882,33.8,339,13,548,20.6,1191,44.8,624,23.9
Wayland,3150000,251,9.3,87,3.2,527,19.2,698,25.5,143,5.3
Webster,3160000,204,11,156,8.4,441,23.2,1179,62,985,53.1
Wellesley,3170000,330,6.6,113,2.3,809,16,1141,22.5,289,5.8
Wellfleet,3180000,3,2.7,2,1.8,25,22.3,47,42,35,31.3
West Boylston,3220000,43,4.7,31,3.4,157,17.1,301,32.8,177,19.5
West Bridgewater,3230000,20,1.5,16,1.2,140,10.6,328,24.9,207,15.9
West Springfield,3320000,1258,30.6,435,10.6,776,18.6,2373,57,1916,46.6
Westborough,3210000,1007,25.6,374,9.5,593,15,1218,30.8,343,8.7
Westfield,3250000,503,9.2,296,5.4,1068,19.3,2700,48.8,2047,37.4
Westford,3260000,668,13.2,82,1.6,718,14,1032,20.1,279,5.5
Westhampton,3270000,1,0.8,1,0.8,28,22.8,41,33.3,17,13.9
Weston,3300000,203,9.7,56,2.7,344,16.2,502,23.6,98,4.7
Westport,3310000,35,2.4,14,1,268,18.6,534,37.1,354,24.8
Westwood,3350000,149,4.8,30,1,523,16.7,663,21.1,160,5.1
Weymouth,3360000,647,10.7,217,3.6,1122,18.4,2535,41.5,1695,28.1
Whately,3370000,6,4.3,5,3.6,18,12.9,41,29.3,26,18.6
Whitman-Hanson,7800000,58,1.5,30,0.8,587,14.9,1199,30.3,777,19.9
Whittier Regional Vocational Technical,8850000,60,4.8,12,1,295,23.5,594,47.4,373,29.7
Williamsburg,3400000,6,3.7,5,3.1,30,18.4,61,37.4,34,20.9
Williamstown,3410000,3,0.7,3,0.7,58,12.7,128,27.9,91,19.9
Wilmington,3420000,78,2.3,28,0.8,660,19.4,917,27,333,10
Winchendon,3430000,40,3.1,12,0.9,245,18.8,671,51.6,547,42.5
Winchester,3440000,729,15.6,165,3.5,798,16.9,1160,24.6,239,5.1
Winthrop,3460000,433,21.4,160,7.9,332,16.3,882,43.3,559,27.6
Woburn,3470000,828,18,341,7.4,731,15.7,1920,41.2,1216,26.4
Worcester,3480000,14010,55.4,8717,34.4,4856,18.8,19977,77.5,15052,59.5
Worthington,3490000,0,0,0,0,15,24.2,33,53.2,25,40.3
Wrentham,3500000,24,2.3,16,1.5,160,15.2,258,24.5,113,10.8
State Totals,0,199679,20.9,97334,10.2,171061,17.7,449584,46.6,305203,32
