2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white,%_completedadvanced_nonwhite
Dudley-Charlton Reg,6580000,494,290,58.7,17,49.6,36.4,7.9,0.2,8,41.3
Duxbury,820000,509,506,99.4,63.1,91,51.7,54.4,3.7,54,0.6
East Bridgewater,830000,294,191,65,22.8,55.1,14.3,0,2.4,3,35
East Longmeadow,870000,363,263,72.5,7.2,60.9,17.1,25.9,4.1,6,27.5
Easthampton,860000,175,93,53.1,52,30.3,4.6,0.6,1.7,1,46.9
Easton,880000,511,343,67.1,2.3,61.8,29.7,34.6,1.4,2,32.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,10,7,70,50,60,10,0,0,0,30
Essex North Shore Agricultural and Technical School District,8170000,550,348,63.3,27.5,52,34.7,26.7,0,23,36.7
Everett,930000,290,146,50.3,12.4,39,7.6,18.3,0,3,49.7
Excel Academy Charter (District),4100000,8,6,75,37.5,75,62.5,12.5,0,13,25
Fairhaven,940000,244,154,63.1,18,58.2,9.8,7,0,0,36.9
Fall River,950000,630,269,42.7,6.5,40.3,8.3,5.9,1.6,2,57.3
Falmouth,960000,313,201,64.2,14.7,62.6,18.2,29.1,5.1,10,35.8
Fitchburg,970000,291,183,62.9,26.1,43.6,33.7,28.2,22.3,14,37.1
Four Rivers Charter Public (District),4130000,66,43,65.2,0,62.1,1.5,7.6,4.5,3,34.8
Foxborough,990000,358,232,64.8,19.6,46.6,14.8,39.7,1.1,7,35.2
Foxborough Regional Charter (District),4460000,52,48,92.3,32.7,80.8,38.5,28.8,5.8,25,7.7
Framingham,1000000,640,515,80.5,16.4,59.2,24.7,25.2,1.3,5,19.5
Francis W. Parker Charter Essential (District),4780000,117,98,83.8,0,78.6,49.6,0,0,0,16.2
Franklin,1010000,796,791,99.4,48.7,95.4,46.7,55.5,30.8,60,0.6
Franklin County Regional Vocational Technical,8180000,218,103,47.2,28.9,42.7,26.1,25.7,1.4,28,52.8
Freetown-Lakeville,6650000,353,220,62.3,24.4,53.5,25.8,31.7,2.8,5,37.7
Frontier,6700000,163,128,78.5,17.8,74.2,16,30.7,0,1,21.5
Gardner,1030000,191,145,75.9,18.3,74.3,22,6.3,1.6,0,24.1
Gateway,6720000,79,52,65.8,24.1,53.2,29.1,20.3,0,1,34.2
Georgetown,1050000,190,106,55.8,11.1,52.6,3.2,12.1,0,5,44.2
Gill-Montague,6740000,95,62,65.3,33.7,54.7,12.6,12.6,3.2,18,34.7
Global Learning Charter Public (District),4960000,47,30,63.8,0,51.1,29.8,0,0,0,36.2
Gloucester,1070000,332,174,52.4,19.6,46.1,16,13,0,3,47.6
Grafton,1100000,341,157,46,22.3,30.2,14.7,19.6,0,4,54
Granby,1110000,92,70,76.1,40.2,54.3,17.4,20.7,1.1,15,23.9
Greater Fall River Regional Vocational Technical,8210000,537,295,54.9,43.8,54.7,43.6,43.6,0.2,43,45.1
Greater Lawrence Regional Vocational Technical,8230000,109,75,68.8,33,49.5,56.9,26.6,0,27,31.2
Greater Lowell Regional Vocational Technical,8280000,452,437,96.7,88.9,92.7,59.1,30.5,1.3,43,3.3
Greater New Bedford Regional Vocational Technical,8250000,675,540,80,48.1,56.3,53.2,66.2,0,20,20
Greenfield,1140000,120,58,48.3,35,37.5,27.5,27.5,1.7,9,51.7
Groton-Dunstable,6730000,378,313,82.8,20.4,77.2,40.2,11.4,1.6,8,17.2
Hadley,1170000,67,55,82.1,41.8,68.7,32.8,29.9,0,6,17.9
Hamilton-Wenham,6750000,250,199,79.6,10,74,30,31.2,0,24,20.4
Hampden Charter School of Science East (District),4990000,26,20,76.9,15.4,53.8,30.8,38.5,0,0,23.1
Hampden-Wilbraham,6800000,502,363,72.3,16.1,68.1,29.5,17.3,1.6,4,27.7
Hampshire,6830000,184,152,82.6,6.5,61.4,58.7,11.4,0,10,17.4
Hanover,1220000,391,387,99,78,89.5,64.5,54.7,31.2,75,1
Harvard,1250000,169,151,89.3,4.1,88.8,26.6,28.4,0,11,10.7
Hatfield,1270000,48,34,70.8,18.8,60.4,33.3,16.7,0,0,29.2
Haverhill,1280000,529,287,54.3,5.7,45.4,13.4,17.2,0,5,45.7
Hingham,1310000,558,552,98.9,37.5,96.4,78.1,30.8,2.9,46,1.1
Holbrook,1330000,60,55,91.7,56.7,90,18.3,60,26.7,35,8.3
Holliston,1360000,333,266,79.9,19.5,71.2,30.3,30.9,0,16,20.1
Holyoke,1370000,155,100,64.5,49,48.4,32.3,41.3,0,0,35.5
Hopedale,1380000,160,109,68.1,2.5,63.1,14.4,26.9,2.5,6,31.9
Hopkinton,1390000,477,371,77.8,19.7,59.3,38.2,32.5,14.5,10,22.2
Hudson,1410000,314,188,59.9,23.9,51.9,11.1,24.2,0.6,5,40.1
