2017-18 Advanced Placement Performance - All Subjects - White,,,,,,,,,
District Name,District Code,tests_taken_white,score=1_white,score=2_white,score=3_white,score=4_white,score=5_white,%_score_1-2_white,%_score_3-5_white
Falmouth,00960000,     209,      19,      40,      56,      61,      33,  28.2,  71.8
Fitchburg,00970000,     235,     114,      63,      35,      13,      10,  75.3,  24.7
Foxborough,00990000,     381,      20,      59,     125,     110,      67,  20.7,  79.3
Foxborough Regional Charter (District),04460000,      98,      10,      26,      29,      21,      12,  36.7,  63.3
Framingham,01000000,     499,       6,      60,     128,     148,     157,  13.2,  86.8
Francis W. Parker Charter Essential (District),04780000,       8,,,,,,,
Franklin,01010000,     765,      69,     130,     196,     206,     164,  26.0,  74.0
Franklin County Regional Vocational Technical,08180000,      65,      32,      21,       8,       4,       0,  81.5,  18.5
Freetown-Lakeville,06650000,     338,      17,      83,     101,      96,      41,  29.6,  70.4
Frontier,06700000,     144,       7,      29,      41,      41,      26,  25.0,  75.0
Gardner,01030000,     177,      38,      64,      41,      23,      11,  57.6,  42.4
Gateway,06720000,      52,      13,      17,      15,       5,       2,  57.7,  42.3
Georgetown,01050000,      71,       0,       7,      21,      22,      21,   9.9,  90.1
Gill-Montague,06740000,      18,       1,       7,       6,       4,       0,  44.4,  55.6
Gloucester,01070000,     226,      29,      63,      76,      42,      16,  40.7,  59.3
Grafton,01100000,     231,      12,      62,      65,      60,      32,  32.0,  68.0
Granby,01110000,      42,       4,      15,      15,       5,       3,  45.2,  54.8
Greater Fall River Regional Vocational Technical,08210000,      23,       1,       9,       3,       5,       5,  43.5,  56.5
Greater Lawrence Regional Vocational Technical,08230000,       4,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      50,       5,      27,      15,       3,       0,  64.0,  36.0
Greater New Bedford Regional Vocational Technical,08250000,      81,      20,      29,      24,       4,       4,  60.5,  39.5
Greenfield,01140000,     104,       7,      44,      28,      19,       6,  49.0,  51.0
Groton-Dunstable,06730000,     318,       8,      35,      97,     102,      76,  13.5,  86.5
Hadley,01170000,      62,       2,      11,      18,      22,       9,  21.0,  79.0
Hamilton-Wenham,06750000,     337,      42,      63,      93,      98,      41,  31.2,  68.8
Hampden Charter School of Science East (District),04990000,      48,      10,       9,      14,       8,       7,  39.6,  60.4
Hampden-Wilbraham,06800000,     237,       4,      34,      66,      72,      61,  16.0,  84.0
Hampshire,06830000,     112,       4,      32,      38,      27,      11,  32.1,  67.9
Hanover,01220000,     438,      32,     115,     128,     101,      62,  33.6,  66.4
Harvard,01250000,     184,       2,       9,      47,      60,      66,   6.0,  94.0
Hatfield,01270000,      27,       1,      14,      11,       1,       0,  55.6,  44.4
Haverhill,01280000,     399,      45,     111,     114,      91,      38,  39.1,  60.9
Hingham,01310000,     448,       5,      24,     106,     152,     161,   6.5,  93.5
Holbrook,01330000,      40,      12,      16,       8,       2,       2,  70.0,  30.0
Holliston,01360000,     384,      24,      83,      96,     121,      60,  27.9,  72.1
Holyoke,01370000,     215,      72,      83,      39,      19,       2,  72.1,  27.9
Hopedale,01380000,     116,       6,      17,      43,      23,      27,  19.8,  80.2
Hopkinton,01390000,     891,      23,      81,     200,     264,     323,  11.7,  88.3
Hudson,01410000,     275,      15,      42,      96,      75,      47,  20.7,  79.3
Hull,01420000,      93,       6,      28,      28,      17,      14,  36.6,  63.4
Innovation Academy Charter (District),04350000,       7,,,,,,,
Ipswich,01440000,     176,       5,      38,      47,      55,      31,  24.4,  75.6
KIPP Academy Lynn Charter (District),04290000,      29,       2,       8,       7,       7,       5,  34.5,  65.5
King Philip,06900000,     734,      42,     137,     243,     208,     104,  24.4,  75.6
Lawrence,01490000,       9,,,,,,,
Lee,01500000,      62,      18,      19,      11,      12,       2,  59.7,  40.3
Leicester,01510000,     131,      19,      50,      35,      19,       8,  52.7,  47.3
Lenox,01520000,      88,      19,      19,      27,      13,      10,  43.2,  56.8
Leominster,01530000,     380,      36,     103,     123,      83,      35,  36.6,  63.4
Lexington,01550000,     686,      10,      34,     112,     210,     320,   6.4,  93.6
Lincoln-Sudbury,06950000,     298,       2,       8,      34,      80,     174,   3.4,  96.6
Littleton,01580000,     163,       3,      13,      44,      65,      38,   9.8,  90.2
Longmeadow,01590000,     402,       6,      43,     100,     149,     104,  12.2,  87.8
Lowell,01600000,     311,      38,      94,      93,      57,      29,  42.4,  57.6
Ludlow,01610000,     260,      40,      74,      69,      54,      23,  43.8,  56.2
Lunenburg,01620000,     193,      13,      46,      78,      37,      19,  30.6,  69.4
Lynn,01630000,     258,      85,      77,      63,      28,       5,  62.8,  37.2
Lynnfield,01640000,     416,      22,      71,     131,     117,      75,  22.4,  77.6
MATCH Charter Public School (District),04690000,       6,,,,,,,
Ma Academy for Math and Science,04680000,      18,       0,       0,       2,      10,       6,    .0, 100.0
Malden,01650000,     191,      58,      50,      35,      31,      17,  56.5,  43.5
Manchester Essex Regional,06980000,     319,      21,      51,      85,      91,      71,  22.6,  77.4
Mansfield,01670000,     388,      25,      65,     145,      96,      57,  23.2,  76.8
Marblehead,01680000,     546,      19,      84,     164,     164,     115,  18.9,  81.1
Marlborough,01700000,     362,      73,     121,      86,      61,      21,  53.6,  46.4
Marshfield,01710000,     483,      40,     102,     173,     123,      45,  29.4,  70.6
Martha's Vineyard,07000000,     232,      26,      49,      88,      41,      28,  32.3,  67.7
Masconomet,07050000,     395,      10,      46,      97,     144,      98,  14.2,  85.8
Mashpee,01720000,     189,      41,      58,      53,      22,      15,  52.4,  47.6
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      11,       1,       4,       4,       2,       0,  45.5,  54.5
Maynard,01740000,     135,      14,      44,      51,      21,       5,  43.0,  57.0
Medfield,01750000,     509,      42,      83,     137,     137,     110,  24.6,  75.4
Medford,01760000,     154,       3,       8,      48,      56,      39,   7.1,  92.9
Medway,01770000,     506,      25,      94,     147,     153,      87,  23.5,  76.5
Melrose,01780000,     635,      61,     121,     165,     182,     106,  28.7,  71.3
Mendon-Upton,07100000,     355,      38,      84,     103,      89,      41,  34.4,  65.6
Methuen,01810000,     402,      61,      94,     114,      86,      47,  38.6,  61.4
Middleborough,01820000,     245,      33,      72,      84,      40,      16,  42.9,  57.1
Milford,01850000,     298,      42,      81,      84,      67,      24,  41.3,  58.7
Millbury,01860000,     113,      18,      34,      33,      20,       8,  46.0,  54.0
Millis,01870000,     166,       7,      27,      63,      45,      24,  20.5,  79.5
Milton,01890000,     492,      11,      50,     141,     158,     132,  12.4,  87.6
Minuteman Regional Vocational Technical,08300000,      16,       3,       4,       3,       4,       2,  43.8,  56.3
Mohawk Trail,07170000,      75,       5,      23,      17,      22,       8,  37.3,  62.7
Monomoy Regional School District,07120000,     174,      12,      42,      66,      34,      20,  31.0,  69.0
Monson,01910000,      77,       5,      24,      19,      20,       9,  37.7,  62.3
Montachusett Regional Vocational Technical,08320000,     116,      16,      47,      34,      15,       4,  54.3,  45.7
Mount Greylock,07150000,     259,      21,      56,      52,      70,      60,  29.7,  70.3
Nantucket,01970000,     162,      12,      36,      53,      33,      28,  29.6,  70.4
Narragansett,07200000,     170,      39,      68,      32,      15,      16,  62.9,  37.1
Nashoba,07250000,     522,      23,      57,     137,     148,     157,  15.3,  84.7
Nashoba Valley Regional Vocational Technical,08520000,     143,      44,      70,      20,       6,       3,  79.7,  20.3
Natick,01980000,     792,      53,     108,     183,     221,     227,  20.3,  79.7
Nauset,06600000,     559,      24,      79,     135,     182,     139,  18.4,  81.6
Needham,01990000,     594,       8,      44,     117,     192,     233,   8.8,  91.2
New Bedford,02010000,     202,      46,      60,      57,      27,      12,  52.5,  47.5
Newburyport,02040000,     356,      12,      45,     111,     119,      69,  16.0,  84.0
Newton,02070000,"   1,392",       8,      81,     249,     452,     602,   6.4,  93.6
North Adams,02090000,     231,     129,      71,      18,      10,       3,  86.6,  13.4
North Andover,02110000,     459,      13,      57,     132,     156,     101,  15.3,  84.7
North Attleborough,02120000,     364,      10,      39,     114,     109,      92,  13.5,  86.5
North Brookfield,02150000,      45,       8,      19,      10,       7,       1,  60.0,  40.0
North Middlesex,07350000,     314,      50,      99,      94,      57,      14,  47.5,  52.5
North Reading,02170000,     430,      31,      91,     142,     108,      58,  28.4,  71.6
Northampton,02100000,     511,      48,      84,     131,     127,     121,  25.8,  74.2
Northampton-Smith Vocational Agricultural,04060000,      11,       5,       5,       1,       0,       0,  90.9,   9.1
Northboro-Southboro,07300000,     580,      23,      47,     129,     200,     181,  12.1,  87.9
Northbridge,02140000,     217,      52,      64,      62,      29,      10,  53.5,  46.5
Northeast Metropolitan Regional Vocational Technical,08530000,      20,      12,       5,       3,       0,       0,  85.0,  15.0
Northern Berkshire Regional Vocational Technical,08510000,      31,      17,      11,       3,       0,       0,  90.3,   9.7
Norton,02180000,     297,      25,      72,      98,      67,      35,  32.7,  67.3
Norwell,02190000,     430,      19,      90,     152,     105,      64,  25.3,  74.7
Norwood,02200000,     163,      18,      32,      58,      32,      23,  30.7,  69.3
Old Rochester,07400000,     438,      47,      98,     148,      91,      54,  33.1,  66.9
Oxford,02260000,     163,      44,      64,      37,      12,       6,  66.3,  33.7
Palmer,02270000,      84,      18,      18,      26,      13,       9,  42.9,  57.1
Pathfinder Regional Vocational Technical,08600000,      48,      20,      24,       4,       0,       0,  91.7,   8.3
Peabody,02290000,     407,      55,     128,     122,      74,      28,  45.0,  55.0
Pembroke,02310000,     467,      49,      95,     153,     119,      51,  30.8,  69.2
Pentucket,07450000,     300,      15,      50,     108,      75,      52,  21.7,  78.3
Pioneer Charter School of Science (District),04940000,      39,       0,       7,      18,       9,       5,  17.9,  82.1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      34,       4,       4,       2,      14,      10,  23.5,  76.5
Pioneer Valley,07500000,      45,      10,      12,      16,       6,       1,  48.9,  51.1
Pioneer Valley Chinese Immersion Charter (District),04970000,       1,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       8,,,,,,,
Pittsfield,02360000,     441,      75,     160,     116,      61,      29,  53.3,  46.7
Plymouth,02390000,     999,     218,     310,     238,     160,      73,  52.9,  47.1
Prospect Hill Academy Charter (District),04870000,      54,      14,       9,      11,      10,      10,  42.6,  57.4
Quabbin,07530000,     132,      27,      50,      31,      20,       4,  58.3,  41.7
Quaboag Regional,07780000,     176,      18,      33,      51,      49,      25,  29.0,  71.0
Quincy,02430000,     320,      22,      52,     101,      98,      47,  23.1,  76.9
Ralph C Mahar,07550000,      79,      18,      24,      26,       8,       3,  53.2,  46.8
Randolph,02440000,      24,       4,      10,       6,       4,       0,  58.3,  41.7
Reading,02460000,     336,      18,      42,      96,     111,      69,  17.9,  82.1
Revere,02480000,     213,      35,      31,      51,      56,      40,  31.0,  69.0
Rising Tide Charter Public (District),04830000,      51,       3,      16,      15,      10,       7,  37.3,  62.7
Rockland,02510000,     187,      46,      54,      51,      27,       9,  53.5,  46.5
Rockport,02520000,      97,      14,      35,      29,      10,       9,  50.5,  49.5
Roxbury Preparatory Charter (District),04840000,       2,,,,,,,
Sabis International Charter (District),04410000,      42,       5,      12,       8,      16,       1,  40.5,  59.5
Salem,02580000,     196,      47,      35,      60,      42,      12,  41.8,  58.2
Salem Academy Charter (District),04850000,      66,      25,      17,       8,       9,       7,  63.6,  36.4
Sandwich,02610000,     296,      54,      70,      73,      64,      35,  41.9,  58.1
Saugus,02620000,     236,      94,      74,      40,      19,       9,  71.2,  28.8
Scituate,02640000,     490,      45,     126,     146,     114,      59,  34.9,  65.1
Seekonk,02650000,     271,      52,      77,      73,      46,      23,  47.6,  52.4
Sharon,02660000,     357,       4,      21,      72,     130,     130,   7.0,  93.0
Shrewsbury,02710000,     426,       7,      21,      81,     156,     161,   6.6,  93.4
Silver Lake,07600000,     560,      25,     105,     204,     164,      62,  23.2,  76.8
Somerset Berkley Regional School District,07630000,     358,      13,      70,     120,     114,      41,  23.2,  76.8
Somerville,02740000,     248,      29,      49,      67,      57,      46,  31.5,  68.5
South Hadley,02780000,     245,      27,      68,      70,      53,      27,  38.8,  61.2
South Middlesex Regional Vocational Technical,08290000,      40,       3,      16,      10,       7,       4,  47.5,  52.5
South Shore Charter Public (District),04880000,      48,       8,      20,      15,       1,       4,  58.3,  41.7
Southbridge,02770000,      49,      23,      12,       9,       5,       0,  71.4,  28.6
Southeastern Regional Vocational Technical,08720000,     134,      66,      41,      18,       8,       1,  79.9,  20.1
Southern Berkshire,07650000,      37,       7,       9,      11,       9,       1,  43.2,  56.8
Southern Worcester County Regional Vocational Technical,08760000,     136,      31,      45,      39,      12,       9,  55.9,  44.1
Southwick-Tolland-Granville Regional School District,07660000,     135,      31,      51,      31,      19,       3,  60.7,  39.3
Spencer-E Brookfield,07670000,      54,       7,      20,      17,       9,       1,  50.0,  50.0
Springfield,02810000,     275,     105,      88,      53,      21,       8,  70.2,  29.8
Stoneham,02840000,     199,      15,      46,      66,      50,      22,  30.7,  69.3
Stoughton,02850000,     169,      21,      41,      75,      23,       9,  36.7,  63.3
Sutton,02900000,     266,      45,      90,      70,      42,      19,  50.8,  49.2
Swampscott,02910000,     317,      13,      50,      97,      99,      58,  19.9,  80.1
Swansea,02920000,     226,      46,      74,      76,      25,       5,  53.1,  46.9
TEC Connections Academy Commonwealth Virtual School District,39020000,      53,       6,      15,      11,      11,      10,  39.6,  60.4
Tantasqua,07700000,     327,      13,      86,     100,      81,      47,  30.3,  69.7
Taunton,02930000,     441,     110,     142,     111,      55,      23,  57.1,  42.9
Tewksbury,02950000,     297,      32,      62,      84,      61,      58,  31.6,  68.4
Tri-County Regional Vocational Technical,08780000,     120,      18,      47,      34,      14,       7,  54.2,  45.8
Triton,07730000,     257,      31,      60,      75,      54,      37,  35.4,  64.6
