2017-18 Advanced Placement Performance - All Subjects - Hispanic/Latino,,,,,,,,,
District Name,District Code,tests_taken_hispanic,score=1_hispanic,score=2_hispanic,score=3_hispanic,score=4_hispanic,score=5_hispanic,%_score_1-2_hispanic,%_score_3-5_hispanic
Gloucester,01070000,       3,,,,,,,
Grafton,01100000,      10,       1,       2,       1,       3,       3,  30.0,  70.0
Granby,01110000,       3,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,       5,,,,,,,
Greater Lawrence Regional Vocational Technical,08230000,       5,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      17,       1,      11,       5,       0,       0,  70.6,  29.4
Greater New Bedford Regional Vocational Technical,08250000,      18,       6,       7,       4,       1,       0,  72.2,  27.8
Greenfield,01140000,      10,       2,       1,       6,       0,       1,  30.0,  70.0
Groton-Dunstable,06730000,       5,,,,,,,
Hadley,01170000,       4,,,,,,,
Hamilton-Wenham,06750000,       9,,,,,,,
Hampden Charter School of Science East (District),04990000,      29,       6,      13,       6,       4,       0,  65.5,  34.5
Hampden-Wilbraham,06800000,      12,       2,       0,       3,       7,       0,  16.7,  83.3
Hanover,01220000,       1,,,,,,,
Harvard,01250000,      10,       1,       1,       2,       2,       4,  20.0,  80.0
Hatfield,01270000,       2,,,,,,,
Haverhill,01280000,      26,       7,       9,       8,       2,       0,  61.5,  38.5
Hingham,01310000,       3,,,,,,,
Holbrook,01330000,      18,       7,       5,       4,       1,       1,  66.7,  33.3
Holliston,01360000,       2,,,,,,,
Holyoke,01370000,     180,      83,      60,      25,      10,       2,  79.4,  20.6
Hopedale,01380000,       1,,,,,,,
Hopkinton,01390000,      14,       1,       2,       1,       5,       5,  21.4,  78.6
Hudson,01410000,      10,       0,       4,       2,       2,       2,  40.0,  60.0
Ipswich,01440000,       6,,,,,,,
KIPP Academy Lynn Charter (District),04290000,     195,      59,      62,      45,      26,       3,  62.1,  37.9
King Philip,06900000,       5,,,,,,,
Lawrence,01490000,     261,     107,      57,      43,      34,      20,  62.8,  37.2
Lee,01500000,       1,,,,,,,
Leicester,01510000,       3,,,,,,,
Lenox,01520000,       6,,,,,,,
Leominster,01530000,      41,       8,      13,       9,       9,       2,  51.2,  48.8
