2017-18 SAT Performance Report - High Needs,,,,,
District Name,District Code,sat_tests_taken_highneeds,reading_writing_highneeds,math_highneeds,math_highneeds
Mansfield,01670000,      38,517,,518
Marblehead,01680000,      75,538,,517
Marlborough,01700000,      61,503,,499
Marshfield,01710000,      87,532,,520
Martha's Vineyard,07000000,      67,506,,492
Martha's Vineyard Charter (District),04660000,       6,,,
Masconomet,07050000,      63,523,,495
Mashpee,01720000,      26,542,,518
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      10,526,,460
Maynard,01740000,      15,529,,495
Medfield,01750000,      31,512,,519
Medford,01760000,     111,504,,508
Medway,01770000,      34,529,,502
Melrose,01780000,      73,482,,470
Mendon-Upton,07100000,      34,532,,508
Methuen,01810000,      90,493,,487
Middleborough,01820000,      42,525,,519
Milford,01850000,      72,506,,486
Millbury,01860000,      25,501,,519
Millis,01870000,      18,497,,498
Milton,01890000,      65,515,,527
Minuteman Regional Vocational Technical,08300000,      42,544,,504
Mohawk Trail,07170000,      17,534,,515
Monomoy Regional School District,07120000,      22,550,,554
Monson,01910000,       8,,,
Montachusett Regional Vocational Technical,08320000,      49,474,,459
Mount Greylock,07150000,      14,539,,529
Mystic Valley Regional Charter (District),04700000,      40,554,,564
Nantucket,01970000,      44,511,,474
Narragansett,07200000,      13,496,,494
Nashoba,07250000,      30,535,,526
Nashoba Valley Regional Vocational Technical,08520000,      47,509,,496
Natick,01980000,      79,522,,531
Nauset,06600000,      65,564,,543
Needham,01990000,      72,549,,542
New Bedford,02010000,     112,453,,458
Newburyport,02040000,      23,530,,520
Newton,02070000,     311,562,,581
Norfolk County Agricultural,09150000,      39,512,,517
North Adams,02090000,      23,487,,478
North Andover,02110000,      48,511,,489
North Attleborough,02120000,      41,508,,510
North Brookfield,02150000,       3,,,
North Middlesex,07350000,      22,559,,512
North Reading,02170000,      39,522,,500
Northampton,02100000,      52,548,,527
Northampton-Smith Vocational Agricultural,04060000,      13,495,,470
Northboro-Southboro,07300000,      72,510,,500
Northbridge,02140000,      28,510,,501
Northeast Metropolitan Regional Vocational Technical,08530000,      68,479,,465
Northern Berkshire Regional Vocational Technical,08510000,      20,503,,475
Norton,02180000,      26,497,,493
Norwell,02190000,      38,538,,524
Norwood,02200000,      69,514,,522
Old Colony Regional Vocational Technical,08550000,      15,456,,460
Old Rochester,07400000,      40,521,,506
Oxford,02260000,      23,477,,487
Palmer,02270000,      18,533,,541
Pathfinder Regional Vocational Technical,08600000,      23,501,,478
Paulo Freire Social Justice Charter School (District),35010000,      39,462,,448
Peabody,02290000,     100,503,,496
Pembroke,02310000,      36,531,,537
Pentucket,07450000,      27,529,,532
Phoenix Academy Public Charter High School Springfield (District),35080000,      15,465,,431
Phoenix Charter Academy (District),04930000,       2,,,
Pioneer Charter School of Science (District),04940000,      38,541,,578
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      17,533,,613
Pioneer Valley,07500000,       5,,,
Pioneer Valley Chinese Immersion Charter (District),04970000,       5,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,      17,535,,476
Pittsfield,02360000,      90,495,,500
Plymouth,02390000,     195,488,,476
Prospect Hill Academy Charter (District),04870000,      50,485,,489
Quabbin,07530000,      26,547,,522
Quaboag Regional,07780000,      22,571,,544
Quincy,02430000,     315,505,,544
Ralph C Mahar,07550000,      18,548,,527
Randolph,02440000,      72,472,,500
Reading,02460000,      73,521,,513
Revere,02480000,     281,475,,481
Rising Tide Charter Public (District),04830000,      27,523,,471
Rockland,02510000,      27,511,,513
Rockport,02520000,      13,525,,479
Roxbury Preparatory Charter (District),04840000,      45,488,,497
Sabis International Charter (District),04410000,      53,496,,489
Salem,02580000,     159,441,,433
Salem Academy Charter (District),04850000,      33,510,,498
Sandwich,02610000,      32,491,,485
Saugus,02620000,      52,484,,477
Scituate,02640000,      35,538,,521
Seekonk,02650000,      27,531,,511
Sharon,02660000,      55,533,,548
Shawsheen Valley Regional Vocational Technical,08710000,      45,511,,496
Shrewsbury,02710000,      84,536,,557
Silver Lake,07600000,      45,539,,528
Sizer School: A North Central Charter Essential (District),04740000,       9,,,
Somerset Berkley Regional School District,07630000,      31,565,,555
Somerville,02740000,     106,488,,495
South Hadley,02780000,      16,523,,519
South Middlesex Regional Vocational Technical,08290000,      43,452,,448
South Shore Charter Public (District),04880000,      25,506,,481
South Shore Regional Vocational Technical,08730000,      25,515,,503
