2017-18 Advanced Placement Performance - All Subjects - Afr. Amer./Black,,,,,,,,,
District Name,District Code,tests_taken_black,score=1_black,score=2_black,score=3_black,score=4_black,score=5_black,%_score_1-2_black,%_score_3-5_black
Lexington,01550000,       8,,,,,,,
Lincoln-Sudbury,06950000,       5,,,,,,,
Littleton,01580000,       3,,,,,,,
Longmeadow,01590000,       9,,,,,,,
Lowell,01600000,      46,      13,      21,       8,       4,       0,  73.9,  26.1
Ludlow,01610000,       7,,,,,,,
Lunenburg,01620000,       4,,,,,,,
Lynn,01630000,      64,      22,      23,      15,       4,       0,  70.3,  29.7
MATCH Charter Public School (District),04690000,      61,      15,      23,      16,       5,       2,  62.3,  37.7
Malden,01650000,     114,      44,      29,      23,      13,       5,  64.0,  36.0
Mansfield,01670000,       6,,,,,,,
Marblehead,01680000,      10,       1,       7,       2,       0,       0,  80.0,  20.0
Marlborough,01700000,      11,       3,       3,       3,       2,       0,  54.5,  45.5
Marshfield,01710000,       2,,,,,,,
Martha's Vineyard,07000000,       6,,,,,,,
Masconomet,07050000,       1,,,,,,,
Mashpee,01720000,       5,,,,,,,
Maynard,01740000,       2,,,,,,,
Medfield,01750000,       1,,,,,,,
Medford,01760000,      22,       0,       3,       7,       8,       4,  13.6,  86.4
Medway,01770000,      12,       3,       2,       2,       4,       1,  41.7,  58.3
Melrose,01780000,      37,       9,      15,       7,       5,       1,  64.9,  35.1
Mendon-Upton,07100000,       7,,,,,,,
Methuen,01810000,       2,,,,,,,
Milford,01850000,      10,       1,       3,       4,       2,       0,  40.0,  60.0
Millis,01870000,       2,,,,,,,
Milton,01890000,      57,       3,      11,      17,      19,       7,  24.6,  75.4
Monomoy Regional School District,07120000,       2,,,,,,,
Nantucket,01970000,      17,       0,       9,       5,       1,       2,  52.9,  47.1
Nashoba,07250000,       4,,,,,,,
Natick,01980000,       7,,,,,,,
Nauset,06600000,       6,,,,,,,
Needham,01990000,       6,,,,,,,
New Bedford,02010000,      40,      12,      13,      12,       1,       2,  62.5,  37.5
Newburyport,02040000,       4,,,,,,,
Newton,02070000,      19,       3,       3,       3,       4,       6,  31.6,  68.4
North Adams,02090000,       8,,,,,,,
North Andover,02110000,       5,,,,,,,
North Attleborough,02120000,       7,,,,,,,
North Middlesex,07350000,       3,,,,,,,
North Reading,02170000,       3,,,,,,,
Northampton,02100000,      10,       2,       6,       0,       1,       1,  80.0,  20.0
Northboro-Southboro,07300000,       5,,,,,,,
Northbridge,02140000,       2,,,,,,,
Norton,02180000,       5,,,,,,,
Norwell,02190000,       1,,,,,,,
Norwood,02200000,      12,       1,       4,       5,       2,       0,  41.7,  58.3
Old Rochester,07400000,       2,,,,,,,
Oxford,02260000,       2,,,,,,,
Palmer,02270000,       3,,,,,,,
Peabody,02290000,      15,       4,       5,       2,       3,       1,  60.0,  40.0
Pembroke,02310000,       2,,,,,,,
Pentucket,07450000,       1,,,,,,,
Pioneer Charter School of Science (District),04940000,      11,       1,       2,       1,       6,       1,  27.3,  72.7
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      34,       6,       3,      14,      10,       1,  26.5,  73.5
Pioneer Valley,07500000,       2,,,,,,,
Pittsfield,02360000,      40,      12,      15,       9,       2,       2,  67.5,  32.5
Plymouth,02390000,      12,       1,       8,       0,       3,       0,  75.0,  25.0
Prospect Hill Academy Charter (District),04870000,      78,      31,      28,      14,       5,       0,  75.6,  24.4
Quincy,02430000,      19,       1,       3,      10,       4,       1,  21.1,  78.9
Randolph,02440000,      87,      42,      27,      14,       4,       0,  79.3,  20.7
Revere,02480000,      28,       5,       9,       6,       6,       2,  50.0,  50.0
Rockland,02510000,       2,,,,,,,
Rockport,02520000,       1,,,,,,,
Roxbury Preparatory Charter (District),04840000,     285,     135,      85,      56,       7,       2,  77.2,  22.8
Sabis International Charter (District),04410000,      28,       6,      16,       5,       1,       0,  78.6,  21.4
Salem,02580000,       9,,,,,,,
Salem Academy Charter (District),04850000,      14,       6,       2,       3,       1,       2,  57.1,  42.9
Saugus,02620000,       6,,,,,,,
Scituate,02640000,       1,,,,,,,
Seekonk,02650000,       1,,,,,,,
Sharon,02660000,      17,       0,       0,       9,       7,       1,    .0, 100.0
Shrewsbury,02710000,      10,       0,       1,       1,       7,       1,  10.0,  90.0
Silver Lake,07600000,       4,,,,,,,
Sizer School: A North Central Charter Essential (District),04740000,       1,,,,,,,
Somerset Berkley Regional School District,07630000,       2,,,,,,,
Somerville,02740000,      44,       7,      14,      12,       9,       2,  47.7,  52.3
South Hadley,02780000,       5,,,,,,,
South Middlesex Regional Vocational Technical,08290000,       4,,,,,,,
South Shore Charter Public (District),04880000,      23,       3,      12,       7,       1,       0,  65.2,  34.8
Southbridge,02770000,       5,,,,,,,
Southeastern Regional Vocational Technical,08720000,      49,      27,      13,       6,       3,       0,  81.6,  18.4
Southern Worcester County Regional Vocational Technical,08760000,       1,,,,,,,
Southwick-Tolland-Granville Regional School District,07660000,       2,,,,,,,
Springfield,02810000,     253,     156,      54,      33,       9,       1,  83.0,  17.0
Stoneham,02840000,       6,,,,,,,
Stoughton,02850000,      27,       9,       8,       8,       2,       0,  63.0,  37.0
Sutton,02900000,       3,,,,,,,
Swampscott,02910000,       9,,,,,,,
Swansea,02920000,       1,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,       1,,,,,,,
Tantasqua,07700000,       1,,,,,,,
Taunton,02930000,      54,      19,      17,       9,       4,       5,  66.7,  33.3
Tewksbury,02950000,       5,,,,,,,
Tyngsborough,03010000,       1,,,,,,,
Wachusett,07750000,       8,,,,,,,
Walpole,03070000,       2,,,,,,,
Waltham,03080000,      23,       4,       6,      11,       1,       1,  43.5,  56.5
Ware,03090000,       2,,,,,,,
Wareham,03100000,       4,,,,,,,
Watertown,03140000,       3,,,,,,,
Wayland,03150000,       7,,,,,,,
Webster,03160000,       4,,,,,,,
Wellesley,03170000,      18,       0,       2,       4,       7,       5,  11.1,  88.9
West Boylston,03220000,       2,,,,,,,
West Bridgewater,03230000,       2,,,,,,,
West Springfield,03320000,      10,       3,       3,       1,       2,       1,  60.0,  40.0
Westborough,03210000,       5,,,,,,,
Westfield,03250000,       5,,,,,,,
Westford,03260000,       1,,,,,,,
Weston,03300000,      13,       1,       4,       2,       6,       0,  38.5,  61.5
Westwood,03350000,       5,,,,,,,
Weymouth,03360000,       9,,,,,,,
Whitman-Hanson,07800000,      12,       4,       2,       5,       1,       0,  50.0,  50.0
Wilmington,03420000,       3,,,,,,,
Winchendon,03430000,       3,,,,,,,
Winchester,03440000,       9,,,,,,,
Winthrop,03460000,       1,,,,,,,
Woburn,03470000,      28,       5,       9,       7,       4,       3,  50.0,  50.0
Worcester,03480000,     500,     256,     143,      67,      24,      10,  79.8,  20.2
State Totals,00000000,"   5,495","   2,106","   1,607","   1,090",     502,     190,  67.6,  32.4
